start,iteration,value,g_norm
3,1,-4.867569375418e-01,1.556782e-01
3,2,-5.014666006561e-01,1.424217e-02
3,3,-5.137056531402e-01,2.130435e-01
3,4,-5.141733315458e-01,1.977083e-01
3,5,-5.630649425859e-01,3.960981e-01
3,6,-5.672853954056e-01,3.940669e-01
3,7,-6.046873502330e-01,5.250485e-01
3,8,-6.395071218268e-01,1.338188e-01
3,9,-6.439556649983e-01,6.025450e-02
3,10,-6.457433341081e-01,1.844771e-01
3,11,-6.526243449423e-01,2.220275e-01
3,12,-6.564809366984e-01,2.063946e-01
3,13,-6.601130574305e-01,9.503112e-02
3,14,-6.622196870151e-01,6.040847e-03
3,15,-6.622312709981e-01,1.648686e-03
3,16,-6.622324843067e-01,1.343066e-03
3,17,-6.622331044451e-01,1.023102e-03
3,18,-6.622346362898e-01,3.446910e-03
3,19,-6.626321606165e-01,1.566232e-02
3,20,-6.626683305533e-01,1.795609e-02
3,21,-6.627693557184e-01,9.470737e-03
3,22,-6.627890302506e-01,6.899849e-03
3,23,-6.627958216548e-01,9.656567e-04
3,24,-6.627960565483e-01,7.634542e-05
3,25,-6.627960592016e-01,1.083967e-05
3,26,-6.627960592187e-01,1.536800e-06
3,27,-6.627960592197e-01,6.517461e-08
