start,kind,iteration,value,g_norm
1,warm,0,-3.524643115719e-01,4.137767e-01
1,warm,1,-5.409890606388e-01,2.288044e-01
1,warm,2,-6.002970016497e-01,4.311830e-01
1,warm,3,-6.229292281193e-01,2.735121e-01
1,warm,4,-6.379200701602e-01,1.128517e-01
1,warm,5,-6.431111944182e-01,1.315022e-01
1,warm,6,-6.518963027451e-01,1.271769e-01
1,warm,7,-6.610070551036e-01,1.323197e-01
1,warm,8,-6.646384441714e-01,1.602164e-01
1,warm,9,-6.726802350189e-01,1.646422e-01
1,warm,10,-6.801576009162e-01,1.633753e-01
1,warm,11,-6.851258990003e-01,8.123681e-02
1,warm,12,-6.874175091904e-01,5.454303e-02
1,warm,13,-6.884002934896e-01,1.499040e-02
1,warm,14,-6.887066127812e-01,1.048935e-02
1,warm,15,-6.889530005182e-01,1.114088e-02
1,warm,16,-6.890115314836e-01,7.579592e-04
1,warm,17,-6.890118193983e-01,5.977766e-05
1,warm,18,-6.890118207355e-01,1.673420e-06
1,warm,19,-6.890118207369e-01,1.181722e-07
2,random,0,-4.799500930219e-01,2.082034e-01
2,random,1,-5.027641629189e-01,1.340794e-02
2,random,2,-5.035287150794e-01,1.291912e-02
2,random,3,-5.051358964113e-01,5.494864e-02
2,random,4,-5.071895004579e-01,3.057158e-02
2,random,5,-5.085875805644e-01,2.115567e-02
2,random,6,-5.089246661962e-01,1.444395e-02
2,random,7,-5.096490901208e-01,1.563328e-02
2,random,8,-5.571454238260e-01,1.701556e-01
2,random,9,-5.571918969719e-01,1.788212e-01
2,random,10,-5.589464002741e-01,2.186182e-01
2,random,11,-5.719910986670e-01,1.230418e-01
2,random,12,-5.764921890986e-01,5.539856e-02
2,random,13,-6.330540151645e-01,2.447810e-01
2,random,14,-6.341065897685e-01,2.636788e-01
2,random,15,-6.463694291069e-01,1.095520e-01
2,random,16,-6.520657286098e-01,5.015722e-02
2,random,17,-6.567639334113e-01,1.235466e-01
2,random,18,-6.621588964800e-01,1.630196e-01
2,random,19,-6.664797195227e-01,1.775457e-01
2,random,20,-6.706369456220e-01,1.750744e-01
2,random,21,-6.780062457173e-01,2.035137e-01
2,random,22,-6.852886491561e-01,1.191657e-01
2,random,23,-6.877630425690e-01,7.106911e-02
2,random,24,-6.893134017219e-01,3.701187e-02
2,random,25,-6.900036238401e-01,9.650468e-03
2,random,26,-6.900452599540e-01,3.149652e-03
2,random,27,-6.900498809173e-01,1.865088e-04
2,random,28,-6.900498965484e-01,1.077365e-05
2,random,29,-6.900498966188e-01,6.421549e-07
3,random,0,-4.999713843377e-01,1.398051e-02
3,random,1,-5.088440391311e-01,8.896654e-02
3,random,2,-5.091460820545e-01,8.149207e-02
3,random,3,-6.028734114387e-01,4.090681e-01
3,random,4,-6.076264595608e-01,4.670789e-01
3,random,5,-6.164089978477e-01,3.070211e-01
3,random,6,-6.453181757165e-01,2.695083e-01
3,random,7,-6.586496246756e-01,1.128681e-01
3,random,8,-6.610828786225e-01,2.451981e-02
3,random,9,-6.612888267681e-01,5.502079e-03
3,random,10,-6.613160185419e-01,6.581796e-03
3,random,11,-6.613864512507e-01,9.555687e-03
3,random,12,-6.613960168503e-01,1.564921e-03
3,random,13,-6.613992141672e-01,3.702203e-03
3,random,14,-6.618494769659e-01,7.755299e-02
3,random,15,-6.624732968460e-01,3.563443e-02
3,random,16,-6.648727401731e-01,6.970167e-02
3,random,17,-6.651358890880e-01,6.070365e-02
3,random,18,-6.696897592635e-01,7.738402e-02
3,random,19,-6.709306365646e-01,6.489082e-02
3,random,20,-6.723018419531e-01,2.194053e-02
3,random,21,-6.725836315002e-01,8.448893e-03
3,random,22,-6.726465053459e-01,6.027810e-03
3,random,23,-6.726549404204e-01,1.255019e-03
3,random,24,-6.726555386833e-01,6.296619e-04
3,random,25,-6.726558526104e-01,1.543334e-04
3,random,26,-6.726558568848e-01,4.311725e-05
3,random,27,-6.726558575634e-01,1.298363e-06
3,random,28,-6.726558575641e-01,2.903900e-08
