start,kind,iteration,value,g_norm
1,warm,1,-8.273122659725e-01,2.651291e-01
1,warm,2,-8.293278514072e-01,2.226562e-01
1,warm,3,-8.285811590556e-01,2.082672e-01
1,warm,4,-8.289645197363e-01,1.673889e-01
1,warm,5,-8.293079542208e-01,1.686401e-01
1,warm,6,-8.319347864394e-01,1.415558e-01
1,warm,7,-8.303473562299e-01,8.645630e-02
1,warm,8,-8.309767855867e-01,1.415863e-01
1,warm,9,-8.333330166435e-01,2.631836e-01
1,warm,10,-8.334167562301e-01,1.678772e-01
1,warm,11,-8.337469953947e-01,1.330261e-01
1,warm,12,-8.339241378042e-01,9.277344e-02
1,warm,13,-8.355599173917e-01,2.182617e-01
1,warm,14,-8.357074094097e-01,1.943359e-01
1,warm,15,-8.357074094097e-01,1.943359e-01
