# MaxCut k=2 D=8 sweep — 2026-04-15T19:28:04.030
k,D,p,ctilde,wall_seconds,gamma,beta
2,8,1,0.610777917443,7.3,5.921818183259458,2.748893571890101
2,8,2,0.648038685526,0.2,2.8639652851276036;2.648476139557859,2.629902953982805;2.8674390567906785
2,8,3,0.671137293030,0.1,0.24068634286968735;0.4264476477070769;0.485648109278552,2.136995571236347;1.9602196141061692;1.785718726989889
2,8,4,0.686138839941,0.4,0.21482611735358204;0.38606222117327066;0.4291766237889762;0.49259025126237277,2.1569567405008008;2.014118344309586;1.8962031870714884;1.7484728084390984
2,8,5,0.697213888645,3.6,0.1974211500296609;0.35969386215384314;0.3882971475581622;0.4374484692495531;0.49592879734548667,2.1747079396467095;2.0439960049388937;1.9534197295039373;1.8593545117827097;1.7236668012397625
2,8,6,0.705541440658,24.8,0.18420420749297933;0.339266718345893;0.363095869124096;0.39648383065648274;0.44364070178640563;0.4999517077180195,2.1837775190579203;2.0610935517401296;1.9847563490650328;1.918497702915178;1.8272356574867046;1.7037802839435858
2,8,7,0.712081409313,192.9,0.17364739954284583;0.3238800149618379;0.3447172093276906;0.37126205869748097;0.4004048415247082;0.44935942304171994;0.5034067280598081,2.191297293419175;2.073486597955461;2.005016956160769;1.9546526973167626;1.8879810661836745;1.8030072889757023;1.689336901996766
2,8,8,0.717364943442,1417.9,0.16529684874867084;0.3112906744758235;0.33048625239894597;0.3538073869000685;0.3739895027071444;0.40420495235902415;0.4553030111690446;0.5068571484044156,2.1968432196159036;2.0814155300991146;2.018813057019668;1.9786489280136945;1.9248184488216604;1.8635272531272762;1.7824517118595093;1.6773330534881257
2,8,9,0.721705752477,21432.3,0.15817558035040166;0.3005783465588261;0.31920108150185694;0.340402956121145;0.356301212403633;0.37628870799948294;0.40851096175649526;0.4610753459224247;0.5100073262038455,2.200700284640338;2.0871241717046813;2.0283046823518456;1.9953747043858172;1.9511394040513625;1.901284394787015;1.842143630602853;1.7651199621823992;1.667644207832413
2,8,10,0.725345148977,86.2,0.15216591409848068;0.29161543995811495;0.3097171919081483;0.32996738067407966;0.34282296381549227;0.3580853499175913;0.37890499883746626;0.4130121772300995;0.4664172219519703;0.5127065894048954,2.204225141469695;2.091563819557941;2.0353736972313783;2.0076251112005874;1.9699470516563433;1.9302540606670324;1.8800771375913188;1.8240640427907262;1.7506575128143769;1.6596881599658737
2,8,11,0.728429734896,531.7,0.14690765539404047;0.283571686887145;0.3015838267349777;0.32113815079725544;0.3321622786646132;0.3440833433810688;0.35978198668505734;0.38151102333667014;0.41711543706654985;0.4709059416480999;0.5147021784137771,2.2068253271997578;2.0947527839795304;2.0406472281804326;2.01654250708137;1.983811451903428;1.951219495710903;1.9104995353008487;1.8619163395351483;1.808456608619477;1.7383979032032857;1.6530812682367961
2,8,12,0.731075836176,26498.3,0.1422427004243221;0.2769850649423875;0.2946809379614903;0.31328646639448854;0.32324126235945666;0.3327484412749888;0.3446712764040489;0.36154741838661864;0.38404205562305865;0.4209903601146039;0.47426998718453334;0.5150845752643971,2.2099571588553633;2.0985204090787906;2.0443426269656064;2.023034406061947;1.9940441477431816;1.9667734418559082;1.9331217698823422;1.8940072972936535;1.8465003856017415;1.7954787899805458;1.728377666493041;1.6476874014653418
