# swarm chain: k=3, D=8, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best=0.6206306949  pop=100
# p=1 gen  2: best=0.6206306949  pop=100
# p=1 gen  3: best=0.6206306949  pop=100
# p=1 gen  4: best=0.6206306949  pop=100
# p=1 gen  4: best=0.6206306949  pop=-1
3,8,1,0.620630694864,4890,3.7,0.380218841721639,1.2820052131496886
# p=2 gen  1: best=0.6647332847  pop=100
# p=2 gen  2: best=0.6647332847  pop=100
# p=2 gen  3: best=0.6647332847  pop=100
# p=2 gen  4: best=0.6647332847  pop=100
# p=2 gen  4: best=0.6647332847  pop=-1
3,8,2,0.664733284711,10661,0.7,5.9930767600336035;3.6216362260738832,1.9236648967183365;0.20850517077557795
# p=3 gen  1: best=0.6920627731  pop=100
# p=3 gen  2: best=0.6920627731  pop=100
# p=3 gen  3: best=0.6920627731  pop=100
# p=3 gen  4: best=0.6920627731  pop=100
# p=3 gen  4: best=0.6920627731  pop=-1
3,8,3,0.692062773065,16448,1.3,6.034398983618713;3.5548446654888437;0.470494380535121,1.1960738809506213;2.8640666526333862;1.4001157289724846
# p=4 gen  1: best=0.6984043197  pop=100
# p=4 gen  2: best=0.7020833596  pop=100
# p=4 gen  3: best=0.7021624831  pop=100
# p=4 gen  4: best=0.7021624831  pop=100
# p=4 gen  5: best=0.7106807751  pop=100
# p=4 gen  6: best=0.7106807751  pop=100
# p=4 gen  7: best=0.7106807751  pop=100
# p=4 gen  8: best=0.7106807751  pop=100
# p=4 gen  8: best=0.7106807751  pop=-1
3,8,4,0.710680775126,31757,4.4,2.9183645461354684;3.5154836427682645;2.7269685190392794;3.6092317532588383,1.9513370949932156;1.8714786249279656;1.8158368913750593;0.1461722734662303
# p=5 gen  1: best=0.7245270392  pop=100
# p=5 gen  2: best=0.7245270392  pop=100
# p=5 gen  3: best=0.7245270392  pop=100
# p=5 gen  4: best=0.7245270392  pop=100
# p=5 gen  4: best=0.7245270392  pop=-1
3,8,5,0.724527039229,19785,10.4,2.9360580525802384;3.4908790812287513;2.76405921470579;3.555848126039701;3.6075202109836133,1.954601663869196;1.8800849406129196;1.841198283354099;0.22443535514545632;0.12853646374385638
# p=6 gen  1: best=0.7352526916  pop=100
# p=6 gen  2: best=0.7352526916  pop=100
# p=6 gen  3: best=0.7352526916  pop=100
# p=6 gen  4: best=0.7352526916  pop=100
# p=6 gen  4: best=0.7352526916  pop=-1
3,8,6,0.735252691638,22911,64.2,2.9490949345668613;3.4725489148635287;2.7865280466992606;3.518287335669793;3.5547155423017753;3.6068333081305575,1.9557076208571182;1.8833125151196806;1.8520465440153377;0.2532500155789434;0.20816015518711295;0.11503380436601188
# p=7 gen  1: best=0.7438405127  pop=100
# p=7 gen  2: best=0.7438405127  pop=100
# p=7 gen  3: best=0.7438405127  pop=100
# p=7 gen  4: best=0.7438405127  pop=100
# p=7 gen  4: best=0.7438405127  pop=-1
3,8,7,0.743840512704,23635,278.4,2.959264902488278;3.458470254396137;2.802555579814228;3.496463072320146;3.5155542702990896;3.5544051168207655;3.6067811636139124,1.9558418959757429;1.8843086423043354;1.856561031342801;0.2668864008291243;0.239938019161859;0.19454024350573493;0.10435882782015556
# p=8 gen  1: best=0.7508936882  pop=100
# p=8 gen  2: best=0.7508936882  pop=100
# p=8 gen  3: best=0.7508936882  pop=100
# p=8 gen  4: best=0.7508936882  pop=100
# p=8 gen  4: best=0.7508936882  pop=-1
3,8,8,0.750893798551,24476,1236.6,2.9674391577069428;3.4471129422815414;2.814823402195338;3.481489917684885;3.4935868059441817;3.513231908582132;3.5549633447673106;3.6071719556082185,1.9554482300593927;1.8840192423018158;1.8582038073658078;0.27341638662023776;0.2559132991093104;0.22867208332741648;0.18273551709894958;0.09562034717835012
# p=9 gen  1: best=0.7568042196  pop=100
# p=9 gen  2: best=0.7568152570  pop=100
# p=9 gen  3: best=0.7568152570  pop=100
# p=9 gen  4: best=0.7568152570  pop=100
# p=9 gen  5: best=0.7568152570  pop=100
# p=9 gen  5: best=0.7568152570  pop=-1
3,8,9,0.756815256966,68973,18338.3,2.9742054453156705;3.437580939391182;2.824748625674102;3.4701546374158156;3.4787233124257577;3.490731135484022;3.5118011141296277;3.556237976284962;3.60802010754784,1.95471231775199;1.8829779699018603;1.8582465722826091;0.2762212071345435;0.2643659999469848;0.2466988210007356;0.21866466322209874;0.17233410716650147;0.0883073281232623
# p=10 gen  1: best=0.7619788020  pop=100
