# swarm chain: k=4, D=8, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best=0.6291249318  pop=100
# p=1 gen  2: best=0.6291249318  pop=100
# p=1 gen  3: best=0.6291249318  pop=100
# p=1 gen  4: best=0.6291249318  pop=100
# p=1 gen  4: best=0.6291249318  pop=-1
4,8,1,0.629124931820,4839,3.8,3.5374037653672614,0.2346474278513162
# p=2 gen  1: best=0.6773738825  pop=100
# p=2 gen  2: best=0.6773738825  pop=100
# p=2 gen  3: best=0.6773738825  pop=100
# p=2 gen  4: best=0.6773738825  pop=100
# p=2 gen  4: best=0.6773738825  pop=-1
4,8,2,0.677373882496,10554,0.8,3.4476697971536416;0.4799866413020916,1.8452058126968343;1.7429674359595881
# p=3 gen  1: best=0.7072594747  pop=100
# p=3 gen  2: best=0.7072594747  pop=100
# p=3 gen  3: best=0.7072594747  pop=100
# p=3 gen  4: best=0.7072594747  pop=100
# p=3 gen  4: best=0.7072594747  pop=-1
4,8,3,0.707259474722,14837,1.5,6.01847045686906;5.86681991280869;5.817014883951581,1.2867335740485422;2.9211652154038164;2.9978725217275572
# p=4 gen  1: best=0.7277841522  pop=100
# p=4 gen  2: best=0.7277841522  pop=100
# p=4 gen  3: best=0.7277841522  pop=100
# p=4 gen  4: best=0.7277841522  pop=100
# p=4 gen  4: best=0.7277841522  pop=-1
4,8,4,0.727784152207,17688,2.8,3.3815845242843783;0.3786647744479893;3.5544138428083465;3.6003277058955043,1.8548637317516288;1.80242678361633;1.7705131657428121;0.12506989020701173
# p=5 gen  1: best=0.7430780604  pop=100
# p=5 gen  2: best=0.7430780604  pop=100
# p=5 gen  3: best=0.7430780604  pop=100
# p=5 gen  4: best=0.7430780604  pop=100
# p=5 gen  4: best=0.7430780604  pop=-1
4,8,5,0.743078060375,19608,10.9,3.3646171389705772;0.3557376417388031;3.5199818716626043;3.549249925277161;3.595244418011505,1.8537823484719629;1.804469126295382;1.784189196269446;0.18660391434290244;0.11140960133880186
# p=6 gen  1: best=0.7549724871  pop=100
# p=6 gen  2: best=0.7549724871  pop=100
# p=6 gen  3: best=0.7549724871  pop=100
# p=6 gen  4: best=0.7549724871  pop=100
# p=6 gen  4: best=0.7549724871  pop=-1
4,8,6,0.754972487095,21214,57.0,3.352339875127653;0.33900526035298956;3.4993879146737803;3.5147792411273047;3.544027389492628;3.591959183735246,1.8520534175445738;1.8034135703082375;1.7881785215113273;0.20335979492410416;0.1761317784789435;0.10073655865906313
# p=7 gen  1: best=0.7645200347  pop=100
# p=7 gen  2: best=0.7645212237  pop=100
# p=7 gen  3: best=0.7645212237  pop=100
# p=7 gen  4: best=0.7645212237  pop=100
# p=7 gen  5: best=0.7645212237  pop=100
# p=7 gen  5: best=0.7645212237  pop=-1
4,8,7,0.764521223698,32006,379.2,3.3428887128482394;0.3261709481866949;3.4849343592201407;3.4949883374448882;3.508244447958298;3.540253993097113;3.5898828398561653,1.8500837206100915;1.8014876090082959;1.788282971915118;0.2096167000569304;0.19579910642267118;0.16706079180510822;0.09215533393638238
# p=8 gen  1: best=0.7723870953  pop=100
# p=8 gen  2: best=0.7723870953  pop=100
# p=8 gen  3: best=0.7723870953  pop=100
# p=8 gen  4: best=0.7723870953  pop=100
# p=8 gen  4: best=0.7723870953  pop=-1
4,8,8,0.772391459586,58230,3390.6,3.3353522277926992;0.3158726801619584;3.4738586549851798;3.481396409225797;3.488407749472706;3.502737180215527;3.53788800415673;3.588729537291547,1.8480833512257093;1.7991746251332452;1.7869052514403916;0.2111119730526944;0.20420236219705545;0.18931193325043044;0.1589901508343693;0.08507195652675757
# p=9 gen  1: best=0.7793410839  pop=100
# p=9 gen  2: best=0.7795048703  pop=100
# p=9 gen  3: best=0.7795048703  pop=100
# p=9 gen  4: best=0.7795048703  pop=100
# p=9 gen  5: best=0.7795048703  pop=100
# p=9 gen  5: best=0.7795048703  pop=-1
4,8,9,0.779504870278,80344,21633.7,3.329358819325344;0.3071731133731652;3.465464087793778;3.473763918466827;3.477339998821908;3.483041565764412;3.4982990941403713;3.541902267444925;3.5943783764884767,1.8461253328725955;1.7969623471150518;1.7853513818759628;0.21245992006273307;0.20793672748337766;0.19905336690742223;0.1837554337973091;0.15195030869563733;0.07793558484061096
# p=10 gen  1: best=0.7951855452  pop=100
# p=10 gen  2: best=0.7971667014  pop=100
# p=10 gen  3: best=0.7972549000  pop=100
