# swarm-d64 chain: k=4, D=7, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best_d64=0.6385703467  pop=100
# p=1 gen  2: best_d64=0.6385703467  pop=100
# p=1 gen  3: best_d64=0.6385703467  pop=100
# p=1 gen  4: best_d64=0.6385703467  pop=100
# p=1 gen  4: best_d64=0.6385703467  pop=-1
4,7,1,0.638570346665,5224,5.1,0.4243867844634167,0.23436715393405064
# p=2 gen  1: best_d64=0.6901692402  pop=100
# p=2 gen  2: best_d64=0.6901692402  pop=100
# p=2 gen  3: best_d64=0.6901692402  pop=100
# p=2 gen  4: best_d64=0.6901692402  pop=100
# p=2 gen  4: best_d64=0.6901692402  pop=-1
4,7,2,0.690169240157,11505,0.9,5.9548361807627765;5.7658463648271265,2.8664232999074146;1.3985399315916176
# p=3 gen  1: best_d64=0.7220300541  pop=100
# p=3 gen  2: best_d64=0.7220300541  pop=100
# p=3 gen  3: best_d64=0.7220300541  pop=100
# p=3 gen  4: best_d64=0.7220300541  pop=100
# p=3 gen  4: best_d64=0.7220300541  pop=-1
4,7,3,0.722030054121,16151,1.8,5.9992505968697305;5.834173638504823;5.7786117856946335,2.856953907823379;1.3489733729472453;1.4267349538480822
# p=4 gen  1: best_d64=0.7438133568  pop=100
# p=4 gen  2: best_d64=0.7438133568  pop=100
# p=4 gen  3: best_d64=0.7438133568  pop=100
# p=4 gen  4: best_d64=0.7438133568  pop=100
# p=4 gen  4: best_d64=0.7438133568  pop=-1
4,7,4,0.743813356815,18391,6.6,6.025780096951948;5.874945047419997;5.836350837729066;5.785460252382933,2.857194232669074;1.3381207048786343;1.369246837561465;1.4452018550378793
# p=5 gen  1: best_d64=0.7599801312  pop=100
# p=5 gen  2: best_d64=0.7599801312  pop=100
# p=5 gen  3: best_d64=0.7599801312  pop=100
# p=5 gen  4: best_d64=0.7599801312  pop=100
# p=5 gen  4: best_d64=0.7599801312  pop=-1
4,7,5,0.759980131191,18786,26.8,6.043911945254735;5.899588495239273;5.873812489307809;5.8412007157629136;5.790187261233586,2.858443517392058;1.3364082340628314;1.3561221219450963;1.3820613540083284;1.458773558595775
# p=6 gen  1: best_d64=0.7725130617  pop=100
# p=6 gen  2: best_d64=0.7725130617  pop=100
# p=6 gen  3: best_d64=0.7725130617  pop=100
# p=6 gen  4: best_d64=0.7725130617  pop=100
# p=6 gen  4: best_d64=0.7725130617  pop=-1
4,7,6,0.772513061672,22401,141.5,6.0570192535133;5.917568777160059;5.895955885148392;5.878767186105896;5.846522448996204;5.793209313984998,2.8603038771894282;1.3376688009240798;1.3524380588395852;1.3660121853422402;1.3923393422299388;1.469384120645939
# p=7 gen  1: best_d64=0.7825443745  pop=100
# p=7 gen  2: best_d64=0.7825443745  pop=100
# p=7 gen  3: best_d64=0.7825443745  pop=100
# p=7 gen  4: best_d64=0.7825443745  pop=100
# p=7 gen  4: best_d64=0.7825443745  pop=-1
4,7,7,0.782544374537,22578,625.5,6.067119902743091;5.931360138616851;5.911545354274427;5.9000769366961245;5.885445986477214;5.850472670363046;5.795045871984746,2.8623762256086787;1.3397499094459748;1.3525835757464892;1.35997775712329;1.3734508997191377;1.40125961867735;1.4779101074829302
# p=8 gen  1: best_d64=0.7907724064  pop=100
# p=8 gen  2: best_d64=0.7907724067  pop=100
