# MaxCut k=2 D=9 p=14 optimization progress -- 2026-05-31T01:29:47.604
wall_seconds,evaluations,ctilde,grad_norm,rss_gb
187.1,1,0.714008527641,1.476e-01,52.53
368.8,2,0.709749477172,1.711e-01,52.53
555.3,3,0.719293848311,4.880e-02,52.53
740.7,4,0.720164741028,2.779e-02,52.53
924.5,5,0.713513937926,1.172e-01,52.53
1108.0,6,0.720232640670,2.005e-02,52.53
1290.4,7,0.720581923705,2.248e-02,52.53
1474.0,8,0.717485963694,9.204e-02,52.53
1655.3,9,0.720599431277,2.368e-02,52.53
1837.3,10,0.720806825873,1.453e-02,52.53
2020.1,11,0.720085215925,3.716e-02,52.53
2210.3,12,0.720861598589,1.319e-02,52.53
2392.3,13,0.720975817912,1.120e-02,52.53
2574.1,14,0.720353538031,4.431e-02,52.53
2758.4,15,0.720992917032,1.007e-02,52.53
2943.6,16,0.721079499002,6.149e-03,52.53
3127.0,17,0.720927181362,2.122e-02,52.53
3315.7,18,0.721118559490,8.628e-03,52.53
3497.6,19,0.721210467944,5.471e-03,52.53
3679.1,20,0.720982785330,2.122e-02,52.53
3863.2,21,0.721245476104,7.430e-03,52.53
4046.0,22,0.721245476104,7.430e-03,52.53
4232.0,23,0.721331342663,5.522e-03,52.53
4412.6,24,0.720787408653,4.624e-02,52.53
4597.7,25,0.721342868594,8.727e-03,52.53
4782.5,26,0.721438551266,7.114e-03,52.53
4968.0,27,0.721334717572,1.875e-02,52.53
5155.9,28,0.721496645459,7.903e-03,52.53
5341.9,29,0.721627818158,5.141e-03,52.53
5524.4,30,0.720547974578,2.925e-02,52.53
5709.6,31,0.721641015926,5.419e-03,52.53
5893.2,32,0.721695719056,3.990e-03,52.53
6077.4,33,0.721265669168,2.041e-02,52.53
6260.2,34,0.721699483097,4.450e-03,52.53
6443.6,35,0.721750952473,2.731e-03,52.53
6626.5,36,0.721440056702,2.495e-02,52.53
6811.7,37,0.721756963747,4.615e-03,52.53
7005.3,38,0.721779428862,3.460e-03,52.53
7189.5,39,0.721587519645,2.053e-02,52.53
7371.0,40,0.721780791471,3.601e-03,52.53
7553.2,41,0.721801830394,3.425e-03,52.53
7738.3,42,0.721773493177,9.420e-03,52.53
7921.9,43,0.721812570951,4.131e-03,52.53
8105.4,44,0.721852160561,2.795e-03,52.53
8288.5,45,0.721800243559,7.978e-03,52.53
8472.2,46,0.721874045220,3.196e-03,52.53
8661.5,47,0.721878812949,4.865e-03,52.53
8845.7,48,0.721888213370,2.421e-03,52.53
9027.4,49,0.721895697365,1.354e-03,52.53
9208.2,50,0.721809735052,1.561e-02,52.53
9391.1,51,0.721895827137,1.676e-03,52.53
9578.0,52,0.721900115651,9.813e-04,52.53
9771.9,53,0.721885736366,5.449e-03,52.53
9954.8,54,0.721901260516,1.103e-03,52.53
10136.7,55,0.721903456063,7.703e-04,52.53
10320.5,56,0.721872635873,6.732e-03,52.53
10502.6,57,0.721903461387,7.749e-04,52.53
10686.9,58,0.721904516158,6.270e-04,52.53
10870.4,59,0.721903132570,1.599e-03,52.53
11052.8,60,0.721905050977,8.441e-04,52.53
11237.4,61,0.721905934284,4.812e-04,52.53
11422.4,62,0.721897308092,3.393e-03,52.53
11607.2,63,0.721905965240,6.444e-04,52.53
11792.5,64,0.721906315983,3.203e-04,52.53
11978.7,65,0.721901217440,3.615e-03,52.53
12160.4,66,0.721906316503,3.151e-04,52.53
12346.3,67,0.721906492015,1.988e-04,52.53
12530.0,68,0.721905991503,8.788e-04,52.53
12713.4,69,0.721906547390,2.569e-04,52.53
12898.6,70,0.721906595240,1.715e-04,52.53
13083.4,71,0.721906595367,1.560e-04,52.53
13267.8,72,0.721906612798,1.009e-04,52.53
13455.9,73,0.721906413561,5.498e-04,52.53
13638.8,74,0.721906613093,1.159e-04,52.53
13825.1,75,0.721906624278,1.003e-04,52.53
14009.7,76,0.721906641465,9.533e-05,52.53
14196.8,77,0.721906641733,8.716e-05,52.53
14380.6,78,0.721906646700,1.011e-04,52.53
14563.2,79,0.721906649648,4.756e-05,52.53
14745.1,80,0.721906654161,3.794e-05,52.53
14929.3,81,0.721906656207,7.755e-05,52.53
15112.3,82,0.721906658467,4.719e-05,52.53
15295.9,83,0.721906659455,6.516e-05,52.53
15477.6,84,0.721906660111,3.697e-05,52.53
15667.8,85,0.721906661414,2.655e-05,52.53
15850.8,86,0.721906662902,3.967e-05,52.53
16034.2,87,0.721906663089,2.510e-05,52.53
16219.4,88,0.721906664722,1.541e-05,52.53
16402.3,89,0.721906645509,1.482e-04,52.53
16586.8,90,0.721906664745,1.873e-05,52.53
16774.0,91,0.721906665526,1.376e-05,52.53
16957.1,92,0.721906660535,8.906e-05,52.53
17140.0,93,0.721906665613,1.939e-05,52.53
17323.6,94,0.721906666140,1.475e-05,52.53
