# swarm chain: k=5, D=8, p=1-12, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# gen  1: best=0.6362805163  pop=100
# gen 10: best=0.6362805163  pop=100
5,8,1,0.636280516324,10860,10.8,5.874384082871181,2.941176287673219
# gen  1: best=0.6874090294  pop=100
# gen 10: best=0.6874090294  pop=100
5,8,2,0.687409029390,21587,1.0,5.96225258865148;0.48232773442840327,1.7978450754086406;0.14858443856760128
# gen  1: best=0.7189811355  pop=100
# gen 10: best=0.7189811355  pop=100
5,8,3,0.718981135459,29476,3.4,0.2803521536652686;0.4221070174788741;5.818437187380373,0.23089996470208313;1.7561925452880196;1.6963357601178508
# gen  1: best=0.7300844872  pop=100
# gen 10: best=0.7406690091  pop=100
5,8,4,0.740669009051,34993,10.2,3.3981156555826204;3.527632892459208;2.7277468794552706;3.5958876855896977,2.9131517009457517;1.3797692869001215;1.3998814298244096;1.4604903577721515
# gen  1: best=0.7342333307  pop=100
# gen 10: best=0.7472615370  pop=100
5,8,5,0.747261536971,34733,56.3,3.477863888046527;3.7334203525869096;2.7611393863750706;2.730571579445193;3.5929692966180204,1.6261308176823666;1.377453517212215;2.9562209686275898;1.4039354052248743;1.46526481956474
# gen  1: best=0.7568182679  pop=100
# gen 10: best=0.7569256520  pop=100
5,8,6,0.756925652023,44349,308.9,2.9016836639361503;5.919081610355892;2.1264331964975884;0.6320321274882924;0.4100486688768703;0.44608301019109287,0.22560418372652252;0.19075275985015872;0.0047201648544191385;1.7524386418873072;0.16157130750334178;0.09940696331587298
# gen  1: best=0.7694130631  pop=100
# swarm chain: k=5, D=8, p=1-12, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# gen  1: best=0.6362805163  pop=100
# gen 10: best=0.6362805163  pop=100
5,8,1,0.636280516324,10711,10.8,5.874384082871181,2.941176287673219
# gen  1: best=0.6874090294  pop=100
# gen 10: best=0.6874090294  pop=100
5,8,2,0.687409029390,21559,0.9,5.96225258865148;0.48232773442840327,1.7978450754086406;0.14858443856760128
# gen  1: best=0.7189811355  pop=100
# gen 10: best=0.7189811355  pop=100
5,8,3,0.718981135459,29283,3.1,0.2803521536652686;0.4221070174788741;5.818437187380373,0.23089996470208313;1.7561925452880196;1.6963357601178508
# gen  1: best=0.7300844872  pop=100
# gen 10: best=0.7406690091  pop=100
5,8,4,0.740669009051,35022,9.6,3.3981156555826204;3.527632892459208;2.7277468794552706;3.5958876855896977,2.9131517009457517;1.3797692869001215;1.3998814298244096;1.4604903577721515
# gen  1: best=0.7342333307  pop=100
# gen 10: best=0.7472615370  pop=100
5,8,5,0.747261536971,34932,49.6,3.477863888046527;3.7334203525869096;2.7611393863750706;2.730571579445193;3.5929692966180204,1.6261308176823666;1.377453517212215;2.9562209686275898;1.4039354052248743;1.46526481956474
# gen  1: best=0.7568182679  pop=100
# gen 10: best=0.7569256520  pop=100
5,8,6,0.756925652023,44349,273.6,2.9016836639361503;5.919081610355892;2.1264331964975884;0.6320321274882924;0.4100486688768703;0.44608301019109287,0.22560418372652252;0.19075275985015872;0.0047201648544191385;1.7524386418873072;0.16157130750334178;0.09940696331587298
# gen  1: best=0.7694130631  pop=100
# gen 10: best=0.7694130631  pop=100
5,8,7,0.769413063118,230879,6482.0,2.91332134814853;5.934567966114089;2.136782728933055;0.6410200804644406;0.3766012918346575;0.39634668757685415;0.4417017151205437,0.2228863991591894;0.18823052453846084;0.0035177274151250567;1.7532234230799153;0.172710242112126;0.15445113271298436;0.090047319102173
# gen  1: best=0.7797283839  pop=100
# gen  1: best=0.7797283839  pop=100
5,8,8,0.779770454553,71053,12438.9,2.9236168855160924;5.946765024634421;2.1435118409816933;0.6473110636017948;0.3583206225895593;0.36283198368105013;0.3919257359946037;0.4436705968774152,0.21968154313526858;0.18561341093567693;0.0031902890631315345;1.75170757571149;0.1758105438042052;0.1675605337197909;0.1478887639766225;0.08227627773813494
# gen  1: best=0.7947297497  pop=100
5,8,9,0.799612729939,127093,93067.0,2.924000430506705;5.946470956909482;2.1431049525275734;0.6466542989996663;0.35682519822471176;0.3624849251058366;0.39030493665891136;0.4329582656398749;0.445929778216625,0.22143573174103962;0.1874275224661321;0.0033277303978519095;1.7529798465692437;0.17705492116987914;0.1706761990881078;0.15242734927941332;0.11156462169300353;0.0504667542248485
