# Composite best data per (k,D,p) — generated 2026-04-07
# Best c̃ at each depth from all sources (Mac, Azure fleet, P710 swarm, Stephen cluster)
k,D,p,ctilde,converged,source,gamma,beta
3,4,13,0.880732724898,true,origin/stephen-apr6-results,2.9259240447541752;0.4063401256928396;0.4513417506583604;0.47274681062141793;0.48161656854148177;0.48674832574684057;0.49372631571338044;0.5014696778091581;0.511630003989789;0.5310145803831907;0.5782399718531627;0.6510096305686411;0.7529080023751171,1.9509369783464787;0.3091208329827633;0.2868451526519101;0.27977384718906523;0.2761445353676687;0.27466681388171077;0.27337828819697624;0.26917572429081366;0.2615467055727334;0.24748930718256765;0.2194996827237565;0.17667322880083194;0.08214330466175507
3,5,1,0.655445198972,true,local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.628989454747739,2.8536248282575563
3,5,2,0.711560547762,true,local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.5146841552202623;3.7701534857983696,2.7827614884116034;0.21005189805844404
3,5,3,0.745876655551,true,local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.4612918537034756;3.6846184249663265;3.7684982222732835,2.76173569076017;0.2873656381552346;2.968208280791426
3,5,4,0.768844090898,true,local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.4283617154390975;3.6322911614051923;3.694661556411525;3.770110002482808,2.7572508258653294;0.308892892818878;2.884743355584691;0.14969365392800738
3,5,5,0.785709743804,true,local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.4059862404825934;3.6004896085863294;3.6444018394773763;3.697608527524607;3.771799684867735,2.7548626586750764;0.31574666923770267;2.8621089100507313;0.23734392124533069;3.0093169279106364
3,5,6,0.798643367187,true,origin/stephen-apr6-results/20260331T232833-k3-d5-p1-15-r2-i320-s1234,3.389372495072318;3.5765460708951906;3.6152475974945557;3.646445822760669;3.6977270961680477;3.7735046520605096,2.7545199373462474;0.3178862561532487;2.852455648342566;0.26295230418914173;2.919824065698199;0.11903484178302115
3,5,7,0.808900424026,true,origin/stephen-apr6-results/20260331T232833-k3-d5-p1-15-r2-i320-s1234,3.3763228496112285;3.5581801152434913;3.593878076047246;3.617912582992902;3.6448117715339166;3.697898454056021;3.7753185834314817,2.7549354539097775;0.3179462021640161;2.8493704188941975;0.2761955115183424;2.891249922284331;0.20876320751446942;3.0329269746556586
3,5,8,0.817250858892,true,local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.3658699610593157;3.5433031409529847;3.577783235092751;3.5978973759461863;3.6157711444688183;3.6429580616259685;3.6990082929251487;3.7774960826370636,2.755809694562122;0.31684906022591014;2.8487919213190316;0.280709420322837;2.874901590305598;0.23980143106427895;2.9441956625225743;0.10012286325984832
3,5,9,0.824202504492,true,local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.357344222103518;3.531106072446724;3.565023308735738;3.5832925893306258;3.596317948908716;3.6129835818362586;3.6422347972021867;3.7016269906466004;3.7806948213093836,2.7568790637639484;0.31531506984597457;2.84958351954048;0.28232096320957467;2.8691441671296514;0.25881845675799814;2.9113167951719294;0.18696085827721232;3.0489029048848355
3,5,10,0.830103713451,true,local/20260331T043006-k3-d5-p1-12-r2-i320-s1234,3.3503179586840197;3.5209618076569247;3.5546890754403893;3.5719668631366224;3.5824459589680235;3.593698817738697;3.611285009757414;3.6431401599784516;3.7062630108107317;3.7855753096575135,2.7579996585681648;0.31361688925600356;2.850918542403834;0.28223446527516705;2.8664805467160055;0.26563631014484446;2.8900921147713037;0.22107878844456413;2.9646871909362655;0.08593330526125327
3,5,11,0.835196864974,true,origin/stephen-apr6-results/20260331T232833-k3-d5-p1-15-r2-i320-s1234,3.345523621072101;3.5128908277435347;3.5456727905648617;3.5628837751268185;3.571663510646181;3.5787437765219057;3.5892525987997197;3.6119481635657578;3.646685102562919;3.7167064456198586;3.795221764267317,2.7591399692174967;0.3114226325094759;2.852466233548585;0.28127081891617095;2.8662509195394037;0.26786317320534275;2.8832826907103333;0.2443088814458798;2.9296551536634334;0.1672122308250828;3.0621174477615445
3,5,12,0.839623756787,true,origin/stephen-apr6-results/20260401T022726-k3-d5-p12-15-r2-i320-s1234,3.341419194481807;3.5059237585259577;3.5414095482875134;3.5583303719342974;3.5655164812770033;3.5746450195216077;3.58621510048361;3.60185938348531;3.6259418336910847;3.6652153690849683;3.7591664526328166;3.8432157575764228,2.7601932558766364;0.31037993884991155;2.852902036572891;0.2803671667377719;2.8654618569295387;0.2725311698712379;2.8772095574630083;0.24843095055854314;2.9137307484612895;0.19299232796685284;2.997095227869053;0.06677945833145849
3,5,13,0.842939019160,true,origin/stephen-apr6-results,3.338850450956096;3.5110132157807294;3.542575718532385;3.557134413791582;3.5666026764264207;3.572884679813694;3.5803022044023063;3.5982089762153193;3.622213140401806;3.6776704909807036;3.7520314606139746;3.833221139741797;3.8377856788298432,2.756638887585415;0.31477667288583533;2.8533889504781107;0.2816697813168935;2.867380920371862;0.2687098421374101;2.877774749505637;0.24399983491020524;2.925598733042194;0.18775585982988435;2.992566348731548;0.11069510031860297;3.0821494034848937
3,6,1,0.640718868498,true,local/20260331T043052-k3-d6-p1-12-r2-i320-s1234,0.44225821680268584,0.2883436771122114
3,6,2,0.691798945824,true,local/20260331T043052-k3-d6-p1-12-r2-i320-s1234,0.33797609192916933;2.576869029610892,1.9268215778713196;1.780088912437619
3,6,3,0.723248754631,true,local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.2897617588353273;0.4871176455449775;0.558715271502021,0.3774763069607525;0.28269043367223506;0.17204986609769293
3,6,4,0.744482066639,true,local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.25994383170031105;0.44045990512305844;0.4928899323005626;0.5581327880597226,0.38260527285282997;0.3051273714544864;0.25128281000245606;0.147946669198929
3,6,5,0.760163659266,true,local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.23947612162718535;0.41160609534010595;0.4482413428492515;0.49429214200287525;0.5582227983371922,0.38539726064808316;0.3127747995500904;0.27543175566785505;0.23138093856285702;0.13044542653250954
3,6,6,0.772240853017,true,local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.22435199280888782;0.39007229398668064;0.4218419284244019;0.44866530155830636;0.4938514187778647;0.5587971107776849,0.38609390412377304;0.3154313514721425;0.2854819206948153;0.2587043680641444;0.2155814335399689;0.11710074287297165
3,6,7,0.781862673769,true,local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.21253269983070763;0.37354258562922593;0.4028327336342363;0.4230912487938;0.44626667369920237;0.49383930634915174;0.559768931096866,0.3859248956205413;0.31590747290790205;0.2893027891843241;0.2718768800633365;0.24577003271479558;0.20232163867523023;0.10657487326827156
3,6,8,0.789729626457,true,local/20260401T114415-k3-d6-p1-14-r2-i320-s1234,0.20304287007620392;0.3601865650078163;0.3883722779093325;0.4052407182924916;0.4206215844106958;0.44394611057920025;0.49469874957352006;0.5611166080373666,0.38527202139911054;0.3151914935630119;0.2903491690637127;0.2774741970565377;0.26169848556214265;0.23485972517657702;0.19077358100436873;0.09793860616667352
3,6,9,0.796296683237,true,origin/stephen-apr6-results/20260331T232833-k3-d6-p1-15-r2-i320-s1234,0.19521423385427286;0.34909105712766597;0.3768012373155339;0.3919774334897764;0.4029313980395013;0.41777078874573625;0.4424941294912036;0.4963633166110129;0.5628567525187924,0.38437456137881076;0.313925428948246;0.2899927048617979;0.27966050106370455;0.26894058807919075;0.2532656700495688;0.22513820349559382;0.18049839149120955;0.09066724902563288
3,6,10,0.801875873877,true,local/20260401T141240-k3-d6-p1-14-r2-i320-s1234,0.18859099683365085;0.3395751321866143;0.3671135298195639;0.38140593110410964;0.38988716644913574;0.39948204690409594;0.4154789425313905;0.4418247786798601;0.4984367614060668;0.5646541445918746,0.38331779336383176;0.3123121846793622;0.28887294417287834;0.2799648629223545;0.27225056995042407;0.2620362304689928;0.24574324001682368;0.2162964249270723;0.1713214082514946;0.08450277830071498
3,6,11,0.806743825390,true,origin/stephen-apr6-results/20260401T022626-k3-d6-p11-15-r2-i320-s1234,0.18273963624789644;0.3302037467419467;0.3590738179280436;0.37240324998542323;0.37991472664329573;0.3874737480365784;0.39819996141064057;0.4139907160299143;0.44102632440683226;0.5058672371552317;0.5756412806981779,0.3812365765347383;0.31020039523795934;0.287690050912852;0.27913889629228933;0.27380079912787775;0.2675433897477534;0.2561846828608219;0.23749000475081852;0.20790086648857478;0.1637476645345408;0.07882151771017062
3,6,12,0.809823630447,true,origin/stephen-apr6-results/20260401T022626-k3-d6-p11-15-r2-i320-s1234,0.18184892382710618;0.3312263975051081;0.35999720900075316;0.37512048425912725;0.37914568685201494;0.3864503182256205;0.3966479377873175;0.4137307343634486;0.4443410196084707;0.4981325482083024;0.566178751450083;0.5763260777467263,0.37529704547154175;0.31282541226383753;0.28689415161645715;0.28211550342239833;0.27412094731782255;0.2672159800892054;0.25571444136372506;0.23949502072376347;0.21188417928227918;0.17322169442933855;0.11144612876022156;0.04451858417689632
3,6,13,0.814420875297,true,origin/stephen-apr6-results/20260401T022626-k3-d6-p11-15-r2-i320-s1234,0.18184893760294732;0.33122641066552905;0.35999724340827055;0.375120435918622;0.37914572348037034;0.38645038744769344;0.39664779611996226;0.4137307440596452;0.4443409453469174;0.49813250769241824;0.566178894434698;0.5763261842402103;0.5763260708766352,0.37529711996226983;0.3128252562402221;0.28689413568567784;0.2821155148496598;0.2741209911645738;0.26721597970893035;0.2557144460778052;0.23949506966372605;0.2118842014942719;0.1732216818325152;0.11144610745442966;0.04451868652819341;0.04451848653240293
3,6,14,0.770589130208,true,origin/stephen-apr6-results,0.1737061024854345;0.341884894507758;0.3336824113508096;0.3725167393590498;0.3856388923188974;0.3845189904129939;0.4344712839128495;0.44440744096140766;0.4537015011194613;0.5299995374654224;0.608361779176718;0.5239573820394088;0.5459008660983115;0.5770837663112133,0.38392578218562257;0.29871257110589755;0.2830882406595864;0.2106515799779568;0.2657869159190174;0.2256891690824064;0.2712596925256812;0.201970575923991;0.20905235314238566;0.171155771862747;0.11821027311823873;0.045861751243302634;0.04381133637700376;0.04305293160508725
3,7,1,0.629519381067,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,0.40773374676474355,0.28860227562747015
3,7,2,0.676725383483,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,0.31129303317553486;2.6243790305837287,1.9249735137117763;1.3619736728738152
3,7,3,0.690049896619,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,2.976573601463986;2.6968741842063073;2.6306076772485056,0.645535222233993;0.32171345487244407;1.3788905247842165
3,7,4,0.707849354351,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.410000106116154;2.6939082403602086;1.9797639685325394;5.630164561252663,1.9457891217202448;2.8640693965953212;1.6006278932520028;1.744745246468792
3,7,5,0.717821118006,true,origin/stephen-apr6-results/20260331T232833-k3-d7-p1-15-r2-i320-s1234,0.21050472802688913;0.13716365292891786;3.6115783078999595;3.0238799476643003;0.6726429789449998,0.9075192929224905;0.47133994882663294;2.6076209865009536;2.861733377119552;0.14941312540280194
3,7,6,0.737202118285,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.2805587729936576;3.501419133143493;2.7287450452609576;3.025724677178225;0.6052488221706724;5.770953670823914,2.514292573048081;1.2225201940174104;2.113936415107741;0.23005054468938368;1.3407904144639957;3.011502939583469
3,7,7,0.749243219563,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.273212802205483;3.4810336556991177;2.750267945929376;3.0238777165165005;0.5595070094002931;5.834124498818531;5.778055132395436,2.5164613016534494;1.2214258904994915;2.1084227695331275;0.20598442582002663;1.3119245821025776;2.926699247171104;3.022205069782747
3,7,8,0.758706245354,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.267703373425811;3.4665052475348563;2.7664705763833286;3.027252698274161;0.5302294426400345;5.877044796740131;5.8353005021467474;5.777261462997193,2.517768077705002;1.2220656270391292;2.1032812152755413;0.1929908327989107;1.3006033061738507;2.8964658978543296;2.941109996118037;3.0344762757262216
3,7,9,0.766443201935,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.2629890332186813;3.4544201324816894;2.780023367394997;3.0312442837687543;0.5083282430123696;5.900788762493627;5.879929950432459;5.8344098083573055;5.776058073672833,2.51852597119958;1.223564275602529;2.097800335548351;0.1837868332122851;1.295415794875593;2.8807643057054078;2.9080033844044304;2.953118241202332;3.0433058728650257
3,7,10,0.772932294911,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.2585431920350327;3.443812955846418;2.7899911404128073;3.0334387211809455;0.4941218537192632;5.917129369247334;5.90557296941766;5.882282258708208;5.832854399374218;5.774811307059898,2.5185467844036844;1.2250815845858776;2.0947625287409597;0.1779925359037382;1.2929834641261397;2.8737861639891564;2.8914684942272353;2.9181495243261257;2.963513972499495;3.0508396333831334
3,7,11,0.778760214189,true,local/20260331T043152-k3-d7-p1-12-r2-i320-s1234,3.2580077324995864;3.437855166773294;2.7932523577991484;3.032245176194622;0.4898594120412064;5.922187888101452;5.91186841943535;5.897219238516073;5.869548679103173;5.814303196565583;5.7568138604461065,2.5175212106351843;1.225124449769308;2.099428380105147;0.1769770929664053;1.2883505198997414;2.863567046995858;2.875750809041636;2.8949361502254147;2.924667898184309;2.9748929500031767;3.059884512000634
3,7,12,0.782540928448,true,origin/stephen-apr6-results/20260401T022535-k3-d7-p9-15-r2-i320-s1234,0.16536103261602142;0.09272212879578941;3.4889538752615112;3.021068508316658;0.5067064269911649;0.36253501040911273;0.3768727207306824;0.39190553586568344;0.4221149323218878;0.47826298218274643;0.5224766542559178;0.5236313232082486,0.8640386334134803;0.49863055479025437;2.617842295707172;2.9507220313545535;0.28757535974707604;0.2818817911108353;0.2679771916610839;0.2494661610892837;0.21393024298195143;0.15166696229886906;0.07367351230542012;0.06148789386746323
3,7,13,0.858036436291,true,origin/stephen-apr6-results/20260401T022535-k3-d7-p9-15-r2-i320-s1234,0.16536103261602142;0.09272212879578944;3.4889538752615112;3.021068508316658;0.5067064269911649;0.36253501040911273;0.3768727207306824;0.39190553586568344;0.42211493232188785;0.47826298218274643;0.5224766542559178;0.5236313232082486;0.5236313232082486,0.8640386334134803;0.49863055479025437;2.617842295707172;2.9507220313545535;0.28757535974707604;0.2818817911108353;0.2679771916610839;0.2494661610892837;0.21393024298195143;0.15166696229886906;0.07367351230542012;0.06148789386746321;0.061487893867463214
3,8,1,0.620630694864,true,local/20260331T043309-k3-d8-p1-12-r2-i320-s1234,0.3802188543050168,0.288791111189221
3,8,2,0.664733284711,true,local/20260331T043309-k3-d8-p1-12-r2-i320-s1234,0.2901085028115522;0.4800435424927932,0.3528686056653027;0.20850517616827527
3,8,3,0.692062773065,true,local/20260331T043309-k3-d8-p1-12-r2-i320-s1234,2.892806339902555;0.4132519655478043;0.4704942389769398,1.945518769825441;0.27752592556244565;0.17068046935493872
3,8,4,0.710680775126,true,origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9183640659961334;0.37389127481834017;0.41462544660415107;0.4676394243441167,1.9513371594389055;0.300682386766102;0.24504039005577466;0.14617168421616314
3,8,5,0.724527039205,true,origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9360580526514637;0.34928642732497434;0.3775334388218734;0.4142554726343145;0.46592755744492337,1.9546016635230106;0.30928861354785653;0.27040195670239797;0.2244353551870204;0.12853646373719524
3,8,6,0.735252695827,true,origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9490949347915736;0.3309562680461796;0.35506461136794376;0.37669468509517356;0.41312288617573256;0.46524065222209554,1.955707627796716;0.31251619477424813;0.28125022158184393;0.2532500186682737;0.20816015999382084;0.1150338116703038
3,8,7,0.743840537901,true,origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9592650965265563;0.31687759546819105;0.339037134911691;0.3548707042569854;0.3739615687289993;0.41281198753228876;0.4651882939905892,1.9558418880575703;0.3135121650968761;0.2857649131156257;0.2668863899007597;0.23993755568384614;0.19453986551446428;0.10435859811450221
3,8,8,0.750894040158,true,local/20260331T043309-k3-d8-p1-12-r2-i320-s1234,2.9674395638969058;0.3055184818727726;0.3267674139566095;0.3398964355464627;0.3519949567842411;0.3716394653033357;0.4133710775378661;0.46558010907569003,1.9554471099632695;0.31322092742753765;0.2874065236976969;0.2734166479786021;0.25591381822364984;0.22867231222181725;0.18273531182141486;0.09562027946558102
3,8,9,0.756813412291,true,origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.9742105821782743;0.2959345585709749;0.3168428608165028;0.3286116617053926;0.33701678672651647;0.34904773234754843;0.3702332637149641;0.4146245191295915;0.4662982209745769,1.9546626525091568;0.31213673870192205;0.28749825106319116;0.27616519802137607;0.26425334923931354;0.24668310281063083;0.21861610057927253;0.17227076221581625;0.08825546797275899
3,8,10,0.761973546975,true,origin/stephen-apr6-results/20260331T233020-k3-d8-p1-15-r2-i320-s1234,2.980852906187546;0.28781048426602324;0.3097517700075317;0.31983024294829965;0.32665172562426686;0.3345759790251718;0.34776606522132236;0.3694564539791275;0.42116336537560256;0.4724662994505951,1.953343041046551;0.31234834624529045;0.28733556207975725;0.2777439299300479;0.26929690755748;0.258490112878763;0.23886222958226994;0.21066544734915235;0.16467333868623232;0.08262751947515264
3,8,11,0.767317510321,true,origin/stephen-apr6-results/20260401T022656-k3-d8-p11-15-r2-i320-s1234,2.980719004811818;0.2899854955055593;0.30869482994038705;0.31516991467292316;0.3253875255974931;0.3422038998304888;0.3477422454807135;0.37505760433350127;0.4174359536193094;0.4677593874100595;0.47647892838439226,1.9545964769753217;0.3117755381004613;0.28445927913224656;0.2703649010001835;0.27059424522249936;0.2582958578783289;0.23698508132976784;0.21080302421585734;0.17035221150718816;0.11171488803344352;0.05048280681311382
3,8,12,0.801349079025,true,origin/stephen-apr6-results/20260401T022656-k3-d8-p11-15-r2-i320-s1234,2.9804524541541153;0.28977909874949953;0.3082871986252873;0.3158013425382579;0.32488375138644965;0.3437964910833486;0.34487657891842827;0.37421909001224335;0.41746860160482613;0.467197408922344;0.4756438940829537;0.47632676479536884,1.9540166754358628;0.31199677787707725;0.284119280036603;0.2696242064179985;0.2698265528339488;0.2576635245942408;0.23644891418272523;0.20999567928161003;0.1699896070508919;0.11166438288840887;0.05087938189180492;0.05008046296053136
3,8,13,0.610845554615,true,origin/stephen-apr6-results,2.980383053135355;0.2897778983800298;0.3083538744670388;0.31578881102152423;0.3249163060875296;0.34379199608278105;0.34493823193757595;0.3742212013003887;0.4174643109224662;0.4672455599132718;0.47544774860364375;0.47640154525935574;0.4763312597959364,1.9540541337739255;0.31202808964239415;0.28415159636644066;0.2695764300104513;0.2698377903353676;0.2576700627768845;0.23647635241535614;0.20998443326693259;0.16998430329075256;0.1116575254585658;0.050875908482275474;0.05008143985696152;0.05007493572735246
3,8,14,0.500000000000,true,origin/stephen-apr6-results,2.980383053135355;0.2897778983800298;0.3083538744670388;0.31578881102152423;0.3249163060875296;0.34379199608278105;0.34493823193757595;0.3742212013003887;0.4174643109224662;0.4672455599132718;0.47544774860364375;0.47640154525935574;0.4763312597959364;0.4763312597959364,1.9540541337739255;0.31202808964239415;0.28415159636644066;0.2695764300104513;0.2698377903353676;0.2576700627768845;0.23647635241535614;0.20998443326693259;0.16998430329075256;0.1116575254585658;0.050875908482275474;0.05008143985696152;0.05007493572735246;0.05007493572735246
3,8,15,0.500000000000,true,origin/stephen-apr6-results,2.980383053135355;0.2897778983800298;0.3083538744670388;0.31578881102152423;0.3249163060875296;0.34379199608278105;0.34493823193757595;0.3742212013003887;0.4174643109224662;0.4672455599132718;0.47544774860364375;0.47640154525935574;0.4763312597959364;0.4763312597959364;0.4763312597959364,1.9540541337739255;0.31202808964239415;0.28415159636644066;0.2695764300104513;0.2698377903353676;0.2576700627768845;0.23647635241535614;0.20998443326693259;0.16998430329075256;0.1116575254585658;0.050875908482275474;0.05008143985696152;0.05007493572735246;0.05007493572735246;0.05007493572735246
4,5,1,0.666029441080,true,local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.77615886154457,1.3373708849395642
4,5,2,0.727176266715,true,local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.890000264083629;5.65372600891602,1.2928974103131294;1.398147655497664
4,5,3,0.764453585875,true,local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.943506227187102;5.735964660851048;5.660318593761734,1.2841729948205827;1.3439322797630524;1.4254054503064162
4,5,4,0.789496028107,true,local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.975272798141875;5.786202477512336;5.732344024354939;5.664444876349468,1.285309725215067;1.334626962654822;1.3628320909912814;1.443180690143491
4,5,5,0.807821743609,true,local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,5.996607192627439;5.8156375158327585;5.7787164672959905;5.735924770352633;5.667838321193747,1.2871445711705187;1.333992892026226;1.3520617222535773;1.3749232043984863;1.4564605600710687
4,5,6,0.821877187175,true,origin/stephen-apr6-results/20260331T232833-k4-d5-p1-15-r2-i320-s1234,0.271171554491301;0.4459294924327696;0.47796385033302147;0.5015336136820698;0.5418895372136936;0.6135102991496479,1.85214150654831;0.2347984021645532;0.22164585629950484;0.20918612558473346;0.18599287595003364;0.10386346969601981
4,5,7,0.833005591607,true,origin/stephen-apr6-results/20260331T232833-k4-d5-p1-15-r2-i320-s1234,0.25921858342907234;0.4293659892531424;0.45898648102052386;0.475299872809367;0.495299867338333;0.5376536827033976;0.6127595082822416,1.8497337406134229;0.23222421143354516;0.22051002412267726;0.21472054964130055;0.20216729144385936;0.17742925893288833;0.0954815450763665
4,5,8,0.842037153480,true,origin/stephen-apr6-results/20260331T232833-k4-d5-p1-15-r2-i320-s1234,0.24963427956772405;0.41600053826200745;0.44455825558261647;0.4574509576565781;0.4679380561050636;0.4894283256712181;0.5347053828202329;0.6125754766197239,1.8474004757325284;0.22939862208578057;0.2184513936692326;0.21469778945347187;0.21008345554756916;0.19630234599104313;0.16980571452873156;0.08863135481655585
4,5,9,0.849520211129,true,local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,6.041355207716759;5.878241486498342;5.85021920614136;5.839215097887074;5.832926955656998;5.822791509331747;5.7983804741018625;5.750236474206601;5.670238889791546,1.2963887187158558;1.3441892625234748;1.3549025950566698;1.3575639606893841;1.359682109591207;1.3644086004561125;1.3797284344554217;1.4079203880017286;1.4879401525414244
4,5,10,0.855869587563,true,local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,6.04781212873083;5.888510955419404;5.859613720799676;5.849453228837441;5.844710276033084;5.839036523005966;5.831204616353161;5.8021109147183365;5.745187552831144;5.659561629457051,1.2985406512337063;1.3472466508699357;1.3575679922511845;1.3591853260555207;1.360027838053157;1.362910236492109;1.3692055896941375;1.3853661731519782;1.4148270800420246;1.494225543337557
4,5,11,0.861425017719,true,origin/stephen-apr6-results/20260401T022606-k4-d5-p11-15-r2-i320-s1234,0.2334213536601585;0.3967225738565388;0.4252273579375905;0.4330259772464007;0.43626162718957184;0.43722244179718006;0.4454302553930396;0.47179465352912103;0.5155320958068703;0.5699264031399374;0.6474094370549651,1.844434892651783;0.22521756370264567;0.21528724287167125;0.21356489898695738;0.21302514668330327;0.2105032600558777;0.20958723797224038;0.20821623741752407;0.1829613606494077;0.1431296574246575;0.06608455873087701
