# MaxCut k=2 D=5 sweep — 2026-04-15T19:28:04.033
k,D,p,ctilde,wall_seconds,gamma,beta
2,5,1,0.643108350560,7.3,3.605240263831825,1.1780972428265366
2,5,2,0.690708941937,0.2,3.5002785045457125;3.786606021448867,1.046692771199441;1.8496300113586963
2,5,3,0.719900638475,0.1,3.453230287290366;3.705105625538656;3.789305966902025,0.9924533248095752;1.9784375823790608;1.3518531277394814
2,5,4,0.738553728591,0.5,3.419031468659484;3.651237957587402;3.718467781193273;3.8028358070442323,0.9736849953621936;2.033984929096314;1.225954805048741;1.753379105320659
2,5,5,0.752270213171,4.5,3.3971319677486234;3.615399364950241;3.6603013984459354;3.731262778282346;3.81244846814977,0.9569495511055396;2.0612230595226677;1.1682311166317545;1.8797319023646226;1.4131267625129762
2,5,6,0.762412715219,21.9,3.3795903412664576;3.5892139551920774;3.627737727334444;3.6724170278107593;3.743563212751117;3.8208711825246837,0.9488335604696063;2.078368628591707;1.1378627414406093;1.9402003449412555;1.293864785214219;1.7084823960356732
2,5,7,0.770473049311,190.2,3.367339448585725;3.570001803033693;3.6045795121472346;3.6427474826415516;3.6825915831324334;3.756562542166961;3.832861235874197,0.9426679954551005;2.0871141664938664;1.1201474750256042;1.9732925621209343;1.2349195587166284;1.8196920128991263;1.4494842274658783
2,5,8,0.777099570297,1338.9,3.3581886894351283;3.557050102677076;3.5898287270331473;3.6245829782168917;3.659386457548943;3.6988737273225634;3.7848758527717887;3.85940441839347,0.9388584618705675;2.0933271114224086;1.1110196849613392;1.9914446653484474;1.2068529452339023;1.871901996757116;1.3538431490603386;1.6751888296084994
2,5,9,0.782928324596,9446.2,3.352618717905103;3.547626088846605;3.5793566581716636;3.6123640352351445;3.643617664613554;3.6859411335546404;3.7381426344668194;3.8462382526504895;3.9128193753452245,0.9370801939229405;2.09502321503796;1.1054219732636819;2.0002466907078755;1.1932339412741102;1.88109674535964;1.319138875805073;1.744873836971466;1.4805807066523728
2,5,10,0.787924183983,35302.7,3.3439221612401955;3.5349232322064528;3.565768357082466;3.5955495923577976;3.6204833903762292;3.6498551226267653;3.6984734885297885;3.7564361095973458;3.8709890877259854;3.9253237520574236,0.9336937368732046;2.100334275825849;1.0977976393799775;2.015846658518204;1.1669754160431802;1.9228372329370305;1.2916570532010414;1.7961182872242012;1.4141717958576046;1.656403931889529
2,5,11,0.792130125642,27824.3,3.336416201000648;3.5230137625622606;3.5527903298314953;3.5815488861837284;3.601321047226131;3.6229014222778613;3.6546888658966306;3.705213199838402;3.7644118179896817;3.878384057520302;3.924453023817591,0.9303627926963971;2.1037733363238993;1.0916822482134239;2.026647619285044;1.1486420162306474;1.9569437862964105;1.239476758875853;1.8293592444314999;1.362034102624418;1.7183466311095008;1.4883078680830062
2,5,12,0.795656769328,284556.4,3.329434126999076;3.5120270033619234;3.541885670462113;3.569501894896802;3.587031129650029;3.602955982956462;3.625918321428622;3.658550130115708;3.7112335038686446;3.769283026663444;3.8804305577234945;3.9211556703518577,0.9284004451023433;2.1063197428767078;1.0873236748985735;2.0341798087154546;1.1361393391722119;1.9769619388002952;1.201519195630822;1.8848865769459733;1.3285602437904411;1.7669541318766326;1.4296166327216038;1.6501652834431715
