# swarm chain: k=6, D=8, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best=0.6424024539  pop=100
# p=1 gen  2: best=0.6424024539  pop=100
# p=1 gen  3: best=0.6424024539  pop=100
# p=1 gen  4: best=0.6424024539  pop=100
# p=1 gen  4: best=0.6424024539  pop=-1
6,8,1,0.642402453911,5475,3.7,2.7217178894032696,1.3943336542066898
# p=2 gen  1: best=0.6956672196  pop=100
# p=2 gen  2: best=0.6956672196  pop=100
# p=2 gen  3: best=0.6956672196  pop=100
# p=2 gen  4: best=0.6956672196  pop=100
# p=2 gen  4: best=0.6956672196  pop=-1
6,8,2,0.695667219632,10022,0.7,3.4758246157883246;0.48506006381320166,0.1951225494443416;1.7026103557064896
# p=3 gen  1: best=0.7284166907  pop=100
# p=3 gen  2: best=0.7284166907  pop=100
# p=3 gen  3: best=0.7284166907  pop=100
# p=3 gen  4: best=0.7284166907  pop=100
# p=3 gen  4: best=0.7284166907  pop=-1
6,8,3,0.728416690708,12623,1.3,3.436179727150795;0.4279245921376867;0.4642844104905182,0.19582878368711254;1.7323175470973244;1.6831383275818488
# p=4 gen  1: best=0.7508609884  pop=100
# p=4 gen  2: best=0.7508609884  pop=100
# p=4 gen  3: best=0.7508609884  pop=100
# p=4 gen  4: best=0.7508609884  pop=100
# p=4 gen  4: best=0.7508609884  pop=-1
6,8,4,0.750860988444,15385,2.7,3.4131295479802715;0.39327867045430676;0.41544022116382523;0.4516132012577966,0.19223006764705153;1.7349726243244994;1.7216908834049844;1.6701658610472578
# p=5 gen  1: best=0.7674887162  pop=100
# p=5 gen  2: best=0.7674887162  pop=100
# p=5 gen  3: best=0.7674887162  pop=100
# p=5 gen  4: best=0.7674887162  pop=100
# p=5 gen  4: best=0.7674887162  pop=-1
6,8,5,0.767488716165,18021,9.8,3.397352005808746;0.3727080973220979;0.38438449060717084;0.4037542386444888;0.4426948200998916,0.18883662471418602;1.7331818203707703;1.7268706872972022;1.71498299977468;1.6605162296410174
# p=6 gen  1: best=0.7803720554  pop=100
# p=6 gen  2: best=0.7803722809  pop=100
# p=6 gen  3: best=0.7803728745  pop=100
# p=6 gen  4: best=0.7803728745  pop=100
# p=6 gen  5: best=0.7803728745  pop=100
# p=6 gen  6: best=0.7803728745  pop=100
# p=6 gen  6: best=0.7803728745  pop=-1
6,8,6,0.780372874458,47516,138.6,3.3861140368805036;0.3580521422966757;0.36599288544260045;0.3726373435685553;0.39357120928016603;0.4363613073272807,0.1858529040763279;1.7301575873332082;1.7267260312600141;1.7227576646902658;1.70938183171122;1.652781596401145
# p=7 gen  1: best=0.7907437908  pop=100
# p=7 gen  2: best=0.7907437908  pop=100
# p=7 gen  3: best=0.7907437908  pop=100
# p=7 gen  4: best=0.7907437908  pop=100
# p=7 gen  4: best=0.7907437908  pop=-1
6,8,7,0.790743790779,58035,809.3,3.3774980336920963;0.3459511595723904;0.3535099675821946;0.3548282161175207;0.36047710387957677;0.387385968851321;0.4340074104596183,0.18270401758809252;1.7269989427757149;1.7250763213154638;1.7243266661782277;1.7194442066447453;1.704372762471094;1.6459263215842561
# p=8 gen  1: best=0.8009404730  pop=100
# p=8 gen  2: best=0.8017080270  pop=100
# p=8 gen  3: best=0.8017815541  pop=100
# p=8 gen  4: best=0.8017815541  pop=100
# p=8 gen  5: best=0.8017815541  pop=100
# p=8 gen  6: best=0.8017815541  pop=100
# p=8 gen  6: best=0.8017815541  pop=-1
6,8,8,0.801781554139,88108,5161.7,3.372226990994066;0.34182577468780523;0.34684731027091004;0.34625742058774844;0.34932785351720946;0.35981935005950844;0.3882684588709456;0.44026457422839427,0.1830885300049441;1.7267139367738078;1.7221831469737403;1.7260507273799175;1.7269110592682246;1.719038891156741;1.7035926547818225;1.6420725810873638
# p=9 gen  1: best=0.8662678210  pop=100
# p=9 gen  2: best=0.9483639928  pop=100
# p=9 gen  3: best=0.9483639928  pop=100
# p=9 gen  4: best=0.9483639928  pop=100
# p=9 gen  5: best=0.9483639928  pop=100
# p=9 gen  5: best=0.9483639928  pop=-1
6,8,9,0.948363992833,72556,18799.5,3.373688903978448;0.3430015911151147;0.34551752174326494;0.3420852627376322;0.3491123320177535;0.3611953392916803;0.3886572126345942;0.43753954878543827;0.44014910066671104,0.18696458913781983;1.707617508571537;1.7324375031230217;1.7294105628013714;1.7238234000226003;1.7187088181248882;1.7051530809402033;1.658813589966472;1.6281613145394573
# p=10 gen  1: best=0.9345161917  pop=100
