# swarm chain: k=7, D=8, p=1-5, pop=100, gens=10, burst=20, seed=99
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# gen  1: best=0.6477308086  pop=100
7,8,1,0.647730808612,5507,2.2,0.4295035045491004,0.15859679349527867
# gen  1: best=0.7026486399  pop=100
7,8,2,0.702648639883,9924,0.5,3.48770209484435;0.48767033237750484,2.969563316203125;1.4516277860715627
# gen  1: best=0.7235055511  pop=100
7,8,3,0.736252836891,20702,1.5,0.3073812690615036;2.708354474790482;5.819013249400007,1.7416787541239038;0.14410078163828446;1.6730532520163972
# gen  1: best=0.7385318753  pop=100
7,8,4,0.745570468242,18281,3.5,2.786774361756333;5.633823634046056;2.7174507204367395;0.4581355239128667,1.5197424051342072;0.1448194577891627;1.7108553948862848;0.09693216323286026
# gen  1: best=0.7658248754  pop=100
7,8,5,0.765824875426,17841,14.1,2.794245217548571;5.656355642471563;2.7483094897788445;0.4123543118381975;0.44589869507728397,1.526272071246837;0.1427949596123262;1.7129649129742301;0.13399520305861462;0.08766638664058826
# DONE
# swarm chain: k=7, D=8, p=1-7, pop=50, gens=5, burst=10, seed=99
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# gen  1: best=0.7812017281  pop=50
# gen  5: best=0.7812116985  pop=50
# gen  5: best=0.7812116985  pop=-1
7,8,6,0.781216997926,10822,44.3,2.8003940830572494;5.673621267786963;2.7670539426672853;0.382621523206375;0.39834794360506076;0.4365793935955262,1.529420207314596;0.13959141206759706;1.7110536759181898;0.13828253228481682;0.12949389632654693;0.07989392348336793
# gen  1: best=0.7932824206  pop=50
