# MaxCut k=2 D=6 sweep — 2026-04-15T19:28:04.034
k,D,p,ctilde,wall_seconds,gamma,beta
2,6,1,0.629402082031,7.3,3.562126986209911,0.3926990812033926
2,6,2,0.672644051382,0.2,3.4657927998276645;3.721342103783403,0.5182442520288356;0.2765601428871921
2,6,3,0.699318920324,0.1,3.423017277635634;3.6456372909556873;3.7184151033731663,0.5726636126326377;0.3989286892387692;0.2169355989895017
2,6,4,0.716499681672,0.5,3.3924680123615123;3.597805746455433;3.6537211545708868;3.7289212720555014,0.5920519908567997;0.45390742653100313;0.33547928153277745;0.1801024865772733
2,6,5,0.729153049443,3.2,3.372356796016658;3.566077505357919;3.6035292900100977;3.6647373802787393;3.7356370953555964,0.6092119129090714;0.48248246139007545;0.39347915153422;0.2992596507284387;0.15521469424540876
2,6,6,0.738582023073,26.8,3.356697423293998;3.5421887287052756;3.573618453741541;3.613827210869449;3.6742553052804605;3.742041679049066,0.6178806402691838;0.49953365874889705;0.42413748928248923;0.35984684450384324;0.26738405618520183;0.13536352450416128
2,6,7,0.745985660468,144.9,3.3444800191007236;3.5237546796650867;3.551553672011682;3.5839345244667102;3.6192403975220135;3.6812953607130523;3.7471640015973464,0.6249764350271259;0.5108788457209766;0.44412288097467684;0.39532106254654015;0.3295945069344713;0.2432274603253409;0.1210399802366769
2,6,8,0.751927747697,1461.1,3.334481582513742;3.5087314137326544;3.5342518581288775;3.5628144214981483;3.5885002356561846;3.6227116984657575;3.688308975951715;3.75170300478908,0.6304522445489247;0.5187631473029629;0.4575545875487435;0.42017383593979685;0.36664660596395837;0.3058265762042842;0.2230620234797405;0.10932440890113448
2,6,9,0.756767462179,10012.4,3.325810937822498;3.4952807852678465;3.5200911027842245;3.5457651229112157;3.5661966956882836;3.5902517790398156;3.6256010692800063;3.692705632967822;3.7537678869171307,0.6340726808856869;0.5239903159877134;0.46692930017634127;0.4369206058349438;0.395204386512671;0.34521520015648643;0.28593691877713867;0.20727436297628754;0.10059162431566387
2,6,10,0.760777479845,3777.5,3.318463877440585;3.484377754491351;3.5083553815136437;3.5329590148776413;3.5491770306788446;3.567243054970431;3.5926897234709365;3.6279885082400853;3.6963822796302934;3.7551700019739873,0.6377788482282688;0.5284753707648145;0.47360863604344283;0.4492053522011281;0.4142997995905017;0.37773624853126697;0.3265347453718501;0.26985614460968366;0.19448477019149876;0.09337425317864631
2,6,11,0.764144755966,76860.3,3.3121272764617955;3.4742864800174473;3.4983190514888434;3.5221942803618456;3.5363011821719925;3.5498054738333673;3.5683864019749656;3.5945442299051136;3.6301054000245747;3.698971232617432;3.755837212822869,0.6399073292510105;0.5309195539711614;0.47836755998511066;0.45697703173473636;0.4274568805974966;0.3983006007809895;0.3608303320282653;0.3106859381723955;0.2558046282527755;0.18353899236856244;0.08731176827762997
2,6,12,0.767008516373,2221.8,3.3065754449305733;3.4660457473962034;3.4899743445533145;3.5134734884245926;3.526181073338442;3.537344517256242;3.550858963091976;3.5694197888820693;3.5967918359728106;3.632173952603829;3.7015148935423325;3.7567607066951414,0.6422651391041005;0.5335518652155024;0.48197383276729533;0.46330131245481976;0.43651915157456556;0.4132348589756775;0.38267763626509166;0.3469153685305553;0.29674839489915966;0.2439044452398676;0.17426955487913398;0.08206344217472714
