# swarm-d64 chain: k=5, D=7, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best_f64=0.6461863546  pop=100
# p=1 gen  2: best_f64=0.6461863546  pop=100
# p=1 gen  3: best_f64=0.6461863546  pop=100
# p=1 gen  4: best_f64=0.6461863546  pop=100
# p=1 gen  4: best_f64=0.6461863546  pop=-1
5,7,1,0.646186354604,5026,6.7,2.703337838460242,0.20008475094626998
# p=2 gen  1: best_f64=0.7008179027  pop=100
# p=2 gen  2: best_f64=0.7008179027  pop=100
# p=2 gen  3: best_f64=0.7008179027  pop=100
# p=2 gen  4: best_f64=0.7008179027  pop=100
# p=2 gen  4: best_f64=0.7008179027  pop=-1
5,7,2,0.700817902677,10706,1.1,2.79734876837325;3.661625502295383,1.798318109534897;1.4222454850068047
# p=3 gen  1: best_f64=0.7344287910  pop=100
# p=3 gen  2: best_f64=0.7344287910  pop=100
# p=3 gen  3: best_f64=0.7344287910  pop=100
# p=3 gen  4: best_f64=0.7344287910  pop=100
# p=3 gen  4: best_f64=0.7344287910  pop=-1
5,7,3,0.734428791030,15226,1.6,0.30066029371954567;0.45531539082588784;5.779820074697281,0.23119074348745142;1.757207042908273;1.6965466437749304
# p=4 gen  1: best_f64=0.7399949044  pop=100
# p=4 gen  2: best_f64=0.7429704934  pop=100
# p=4 gen  3: best_f64=0.7429704934  pop=100
# p=4 gen  4: best_f64=0.7429704934  pop=100
# p=4 gen  5: best_f64=0.7459870276  pop=100
# p=4 gen  6: best_f64=0.7459870276  pop=100
# p=4 gen  7: best_f64=0.7459870276  pop=100
# p=4 gen  8: best_f64=0.7459870276  pop=100
# p=4 gen  8: best_f64=0.7459870276  pop=-1
5,7,4,0.745987027465,28782,5.0,2.8597695181399145;3.5671274695715787;2.58773450018564;2.400704629287943,1.3423328427882044;1.7873119871595824;1.472156003829112;3.053048428924756
# p=5 gen  1: best_f64=0.7622358756  pop=100
# p=5 gen  2: best_f64=0.7622823436  pop=100
# p=5 gen  3: best_f64=0.7622823436  pop=100
# p=5 gen  4: best_f64=0.7622823436  pop=100
# p=5 gen  5: best_f64=0.7622823436  pop=100
# p=5 gen  5: best_f64=0.7622823436  pop=-1
5,7,5,0.762282344234,22924,14.0,2.8717294132071736;5.871870315637984;0.6035696478336763;6.169029084078;0.48821785987555616,2.9125320914500485;1.3763425039639252;0.1295510154529019;2.8341231801984104;3.0374006627578574
# p=6 gen  1: best_f64=0.7775941497  pop=100
# p=6 gen  2: best_f64=0.7775942241  pop=100
# p=6 gen  3: best_f64=0.7775942241  pop=100
# p=6 gen  4: best_f64=0.7775942241  pop=100
# p=6 gen  5: best_f64=0.7775942241  pop=100
# p=6 gen  5: best_f64=0.7775942241  pop=-1
5,7,6,0.777594167012,25641,75.5,2.8872827420810143;5.892818600204005;0.5668772789532514;6.168867960788198;0.4435564566838227;0.48740441929085476,2.915420247001313;1.3793650516533218;0.11462916387580975;2.8335870889532764;2.9825873868627495;3.045443478196828
# p=7 gen  1: best_f64=0.7899811199  pop=100
# p=7 gen  2: best_f64=0.7899811199  pop=100
# p=7 gen  3: best_f64=0.7899811199  pop=100
# p=7 gen  4: best_f64=0.7899811199  pop=100
# p=7 gen  4: best_f64=0.7899811199  pop=-1
5,7,7,0.789979068568,47537,732.9,2.898693802012743;5.908306426553171;0.5460773008581954;6.168199922992168;0.40774209510834847;0.4299227916459103;0.4804955044805529,2.9181564939524955;1.3826961920216891;0.1044804951385978;2.839553932209024;2.971416093418744;2.987536847577269;3.0528351969022247
# p=8 gen  1: best_f64=0.7999276288  pop=100
# p=8 gen  2: best_f64=0.7999276288  pop=100
# p=8 gen  3: best_f64=0.7999276288  pop=100
