# swarm-d64 chain: k=7, D=8, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best_f64=0.6477308086  pop=100
# p=1 gen  2: best_f64=0.6477308086  pop=100
# p=1 gen  3: best_f64=0.6477308086  pop=100
# p=1 gen  4: best_f64=0.6477308086  pop=100
# p=1 gen  4: best_f64=0.6477308086  pop=-1
7,8,1,0.647730808612,5262,6.5,3.5710961580446026,0.15859679511708477
# p=2 gen  1: best_f64=0.7026486399  pop=100
# p=2 gen  2: best_f64=0.7026486399  pop=100
# p=2 gen  3: best_f64=0.7026486399  pop=100
# p=2 gen  4: best_f64=0.7026486399  pop=100
# p=2 gen  4: best_f64=0.7026486399  pop=-1
7,8,2,0.702648639882,9952,1.0,0.34610943883490136;2.653922321746441,1.3987669940270095;3.022424113675491
# p=3 gen  1: best_f64=0.7362528369  pop=100
# p=3 gen  2: best_f64=0.7362528369  pop=100
# p=3 gen  3: best_f64=0.7362528369  pop=100
# p=3 gen  4: best_f64=0.7362528369  pop=100
# p=3 gen  4: best_f64=0.7362528369  pop=-1
7,8,3,0.736252836864,13814,1.5,3.4489736117078;3.5748312270940406;3.6057645181295377,0.17088248639470888;0.14410069410950224;0.1022568909044191
# p=4 gen  1: best_f64=0.7592085203  pop=100
# p=4 gen  2: best_f64=0.7592085203  pop=100
# p=4 gen  3: best_f64=0.7592085203  pop=100
# p=4 gen  4: best_f64=0.7592085203  pop=100
# p=4 gen  4: best_f64=0.7592085203  pop=-1
7,8,4,0.759208520833,16455,2.9,3.42657188224206;3.541398779902143;3.5586124013038987;3.5913627573200175,0.1667354363109402;0.14501769054411714;0.136086459489132;0.09090423933475753
# p=5 gen  1: best_f64=0.7761486160  pop=100
# p=5 gen  2: best_f64=0.7761486160  pop=100
# p=5 gen  3: best_f64=0.7761486160  pop=100
# p=5 gen  4: best_f64=0.7761486160  pop=100
# p=5 gen  4: best_f64=0.7761486160  pop=-1
7,8,5,0.776148498768,16525,9.9,3.4111729441760525;3.5216701949007696;3.528667223984552;3.5445416651977437;3.581227553946487,0.16306882443923817;0.14263624451929355;0.1394923760399571;0.13099846411950614;0.082414698322386
# p=6 gen  1: best_f64=0.7892343999  pop=100
# p=6 gen  2: best_f64=0.7892343999  pop=100
# p=6 gen  3: best_f64=0.7892343999  pop=100
# p=6 gen  4: best_f64=0.7892343999  pop=100
# p=6 gen  4: best_f64=0.7892343999  pop=-1
7,8,6,0.789226876668,52740,170.9,3.3996259035875718;3.5071055880974273;3.5120066288557608;3.5137032935036254;3.534130089871943;3.5762517656766453,0.15985780631759822;0.13975165788751015;0.1380998628577874;0.13695180397798767;0.12670626965604853;0.07519803804761972
# p=7 gen  1: best_f64=0.7998291153  pop=100
# p=7 gen  2: best_f64=0.7999406139  pop=100
# p=7 gen  3: best_f64=0.7999504270  pop=100
# p=7 gen  4: best_f64=0.7999577686  pop=100
# p=7 gen  5: best_f64=0.7999577686  pop=100
# p=7 gen  6: best_f64=0.7999577686  pop=100
# p=7 gen  7: best_f64=0.7999577686  pop=100
# p=7 gen  7: best_f64=0.7999577686  pop=-1
7,8,7,0.799618629018,87928,1354.3,3.390160007637355;3.497314021040957;3.499895435518191;3.499503096935027;3.5028621386733514;3.5253149101228716;3.5779267135990134,0.15704801445708141;0.13667406024723328;0.13703793914759496;0.1385890982920095;0.1350459178879068;0.12384276119395933;0.07064386503099794
# p=8 gen  1: best_f64=0.8162212504  pop=100
# p=8 gen  2: best_f64=0.8188806766  pop=100
# p=8 gen  3: best_f64=0.8188806766  pop=100
# p=8 gen  1: best_f64=0.8162212504  pop=100
