# MaxCut k=2 D=5 p=14 optimization progress -- 2026-05-27T13:35:42.407
wall_seconds,evaluations,ctilde,grad_norm,rss_gb
179.1,1,0.787509042281,2.365e-01,55.28
366.5,2,0.673926065000,5.352e-01,55.28
551.5,3,0.794924528105,8.274e-02,55.28
737.5,4,0.797212984856,3.779e-02,55.28
919.1,5,0.780287530985,2.646e-01,55.28
1111.2,6,0.797390932090,6.019e-02,55.59
1294.0,7,0.798157393810,4.340e-02,55.84
1483.2,8,0.799039445233,3.183e-02,56.39
1664.8,9,0.799133259334,2.776e-02,56.39
1858.4,10,0.799755818862,1.278e-02,56.39
2044.9,11,0.799757911915,1.153e-02,56.39
2241.1,12,0.799928618756,9.405e-03,56.39
2434.6,13,0.798553332872,5.203e-02,56.39
2618.9,14,0.799940170921,9.896e-03,56.39
2805.6,15,0.800073290689,9.420e-03,56.39
2994.8,16,0.800012107490,2.619e-02,56.39
3176.2,17,0.800163404815,1.496e-02,56.39
3362.4,18,0.800401811232,8.339e-03,56.39
3547.0,19,0.799970082679,3.978e-02,56.39
3734.5,20,0.800515720769,1.236e-02,56.39
3920.7,21,0.800702338863,8.296e-03,56.39
4107.0,22,0.798414130954,5.397e-02,56.39
4296.0,23,0.800707606082,8.220e-03,56.39
4484.1,24,0.800866789630,7.206e-03,56.39
4665.1,25,0.800751492016,1.624e-02,56.39
4853.7,26,0.800975653753,8.054e-03,56.39
5040.0,27,0.801059843665,9.065e-03,56.39
5229.2,28,0.801076811599,6.657e-03,56.39
5417.4,29,0.801139710026,3.424e-03,56.39
5596.7,30,0.800783221277,2.253e-02,56.39
5777.0,31,0.801149028296,4.410e-03,56.39
5957.0,32,0.801180120605,2.620e-03,56.39
6145.5,33,0.801010608685,1.403e-02,56.39
6336.8,34,0.801184649551,2.907e-03,56.39
6519.7,35,0.801200794804,2.280e-03,56.39
6699.1,36,0.801081981033,1.316e-02,56.39
6881.5,37,0.801202069579,3.226e-03,56.39
7064.4,38,0.801216006016,2.154e-03,56.39
7247.5,39,0.801196201842,6.660e-03,56.39
7442.5,40,0.801222804619,2.115e-03,56.39
7633.4,41,0.801231360373,2.050e-03,56.39
7817.2,42,0.801131942665,1.313e-02,56.39
