# MaxCut k=2 D=7 sweep — 2026-04-15T19:28:04.031
k,D,p,ctilde,wall_seconds,gamma,beta
2,7,1,0.619009221822,7.3,5.895588620371843,2.7488935752272248
2,7,2,0.658923602941,0.2,5.984998634563991;5.752029678969629,2.62719046299543;2.866461378406638
2,7,3,0.683621528140,0.1,6.024529768793222;5.8228385000928276;5.757877968763046,2.572701459643819;2.7482639765260912;2.925863756157862
2,7,4,0.699607726376,0.8,6.052432415449242;5.866442739292155;5.81801427400791;5.7494745351733645,2.552964911453529;2.693872624770045;2.812067053801074;2.9629503221068645
2,7,5,0.711397971049,3.9,6.071050849082798;5.895118362771423;5.862809028428443;5.808540726583749;5.744768856905823,2.5354608800934972;2.664497549718842;2.754430480569255;2.8486464036358288;2.987805483759472
2,7,6,0.720230770606,23.3,6.085330728015497;5.917095266671022;5.890115677431908;5.853670435109507;5.800909806764784;5.739709891196125,2.5265655443413695;2.6474545658637654;2.7233686498494962;2.7887687843826257;2.8806778837809635;3.0076933687112124
2,7,7,0.727164719046,195.3,6.096632760784493;5.933771882918038;5.910077520516747;5.881038461458499;5.849044118529489;5.794474296229437;5.735465495171442,2.519212260943293;2.6354626641098724;2.7032614519847904;2.7529094524481925;2.8191115929328454;2.904859954985794;3.0220990278622306
2,7,8,0.732757551195,1342.3,6.105593247395198;5.947300507224417;5.925460184723502;5.899868102594745;5.877411827868693;5.8449449541563165;5.787497205768372;5.731048960629009,2.5137886301170576;2.6277384208029257;2.6897829355760794;2.7288990907317103;2.7826340783479133;2.8435757637929666;2.9256133412551515;3.0341940755263206
2,7,9,0.737353493034,14278.8,6.113168434351217;5.958774617882813;5.937513310833261;5.91427101753501;5.896312836062765;5.874537952200086;5.839891548968828;5.7804601973399015;5.726683526338117,2.510166696513255;2.6223783253983615;2.680728137942357;2.712706748140318;2.756206112036462;2.806441739286427;2.8653743149310515;2.9434129914206784;3.0440742437087405
2,7,10,0.741227226801,15851.5,6.119275966614045;5.967879806602477;5.947267246244565;5.924878304661229;5.91021477589518;5.8931867694708115;5.8701180721853605;5.833200546962979;5.771902765744159;5.720975969738143,2.5068120930614546;2.6183457950988087;2.674326015732505;2.701477294711501;2.738771822930996;2.77795519910809;2.82937102361459;2.8851406926444096;2.9596091556818713;3.0528434412159817
2,7,11,0.744550769103,463.9,6.124403026166439;5.975786998530375;5.955150479090352;5.933553793874199;5.9204726759572885;5.906847044470109;5.888568899478255;5.864209360707021;5.8241648310780505;5.7612403244077335;5.713391272802995,2.5047818797737533;2.615792613918609;2.6698503995130562;2.6939256879654265;2.7269490516525012;2.7600701559575893;2.8008996992604476;2.8515766593705423;2.904523619167264;2.9753490491209487;3.0608519565186936
2,7,12,0.747466169114,11675.2,6.128549541077517;5.98190385742055;5.961373868131586;5.940145657920534;5.9285165067064804;5.916495026177675;5.901625033922515;5.881083907599123;5.855348430390197;5.810440049308122;5.745928864112479;5.702110829533137,2.5027215269347804;2.6134332395850906;2.666468714020635;2.6881759990541467;2.718321259052429;2.747231935815168;2.7836585868844166;2.824515137237372;2.8750161827828746;2.9248158374112023;2.9915735426666;3.06833151338182
