# MaxCut k=2 D=3 sweep — 2026-04-15T18:40:24.777
k,D,p,ctilde,wall_seconds,gamma,beta
2,3,1,0.692450089730,6.1,5.667705597838953,1.1780972446407532
2,3,2,0.755906458453,0.2,5.795349776168324;5.385346119545786,1.015892138504357;1.2784155862306108
2,3,3,0.792398428764,0.3,5.861324174344106;5.484782833783722;5.346204687814105,0.9618461195642161;1.111228608298698;1.3351261502674405
2,3,4,0.816876564852,3.8,0.40875163344863025;0.7805692436859955;4.129628002144843;1.1569072806957377,0.5995603245328763;0.4343423847622496;2.8448343597779093;2.982557167554602
2,3,5,0.836380825133,3.1,0.3592363060975832;0.7060862750064418;3.9636826850412987;1.0041968913538435;1.1539363247191332,0.6316660343543729;0.522527447513126;2.7514541578251666;2.8656004309636263;2.992297104635885
2,3,6,0.849897134598,20.0,0.3313756342298394;0.645582866520346;3.873249351917837;0.8369643451188868;1.0101915704484967;1.1272229962333176,0.6358917626661583;0.5344342903916071;2.6782535737803643;2.781592925812735;2.883004655217949;3.0027480168112133
2,3,7,0.859784227119,97.2,0.3096744905138337;0.6167832344484656;3.829799676392745;0.7500055947881094;0.857388933772753;1.0211898985348407;1.1257762948182763,0.6475939100926483;0.5530707323613298;2.652309854511443;2.696845693498304;2.800853307630286;2.8972493224075837;3.0103692525354258
2,3,8,0.867392581017,558.7,0.2929989294305429;0.586200309266824;3.796793418056438;0.7080842960560528;0.7643982693119217;0.8650643411600664;1.0270893920454354;1.1165150876577654,0.649247424751406;0.5555657884785202;2.6403879554558523;2.672578286029395;2.7214082190502555;2.8221419988348364;2.9106823941664532;3.0187570511442723
2,3,1,0.692450089730,5.7,5.667705597838953,1.1780972446407532
2,3,2,0.755906458453,0.2,5.795349776168324;5.385346119545786,1.015892138504357;1.2784155862306108
2,3,3,0.792398428764,0.4,5.861324174344106;5.484782833783722;5.346204687814105,0.9618461195642161;1.111228608298698;1.3351261502674405
2,3,4,0.816876564852,3.9,0.40875163344863025;0.7805692436859955;4.129628002144843;1.1569072806957377,0.5995603245328763;0.4343423847622496;2.8448343597779093;2.982557167554602
2,3,5,0.836380825133,3.1,0.3592363060975832;0.7060862750064418;3.9636826850412987;1.0041968913538435;1.1539363247191332,0.6316660343543729;0.522527447513126;2.7514541578251666;2.8656004309636263;2.992297104635885
2,3,6,0.849897134598,19.9,0.3313756342298394;0.645582866520346;3.873249351917837;0.8369643451188868;1.0101915704484967;1.1272229962333176,0.6358917626661583;0.5344342903916071;2.6782535737803643;2.781592925812735;2.883004655217949;3.0027480168112133
2,3,7,0.859784227119,100.2,0.3096744905138337;0.6167832344484656;3.829799676392745;0.7500055947881094;0.857388933772753;1.0211898985348407;1.1257762948182763,0.6475939100926483;0.5530707323613298;2.652309854511443;2.696845693498304;2.800853307630286;2.8972493224075837;3.0103692525354258
2,3,8,0.867392581017,579.2,0.2929989294305429;0.586200309266824;3.796793418056438;0.7080842960560528;0.7643982693119217;0.8650643411600664;1.0270893920454354;1.1165150876577654,0.649247424751406;0.5555657884785202;2.6403879554558523;2.672578286029395;2.7214082190502555;2.8221419988348364;2.9106823941664532;3.0187570511442723
2,3,1,0.692450089730,7.3,5.667705597838953,1.1780972446407532
2,3,2,0.755906458453,0.2,5.795349776168324;5.385346119545786,1.015892138504357;1.2784155862306108
2,3,3,0.792398428764,0.1,5.861324174344106;5.484782833783722;5.346204687814105,0.9618461195642161;1.111228608298698;1.3351261502674405
2,3,4,0.816876564852,0.6,0.40875163344863025;0.7805692436859955;4.129628002144843;1.1569072806957377,0.5995603245328763;0.4343423847622496;2.8448343597779093;2.982557167554602
2,3,5,0.836380825133,3.1,0.3592363060975832;0.7060862750064418;3.9636826850412987;1.0041968913538435;1.1539363247191332,0.6316660343543729;0.522527447513126;2.7514541578251666;2.8656004309636263;2.992297104635885
2,3,6,0.849897134598,25.2,0.3313756342298394;0.645582866520346;3.873249351917837;0.8369643451188868;1.0101915704484967;1.1272229962333176,0.6358917626661583;0.5344342903916071;2.6782535737803643;2.781592925812735;2.883004655217949;3.0027480168112133
2,3,7,0.859784227119,198.4,0.3096744905138337;0.6167832344484656;3.829799676392745;0.7500055947881094;0.857388933772753;1.0211898985348407;1.1257762948182763,0.6475939100926483;0.5530707323613298;2.652309854511443;2.696845693498304;2.800853307630286;2.8972493224075837;3.0103692525354258
2,3,8,0.867392581017,1503.4,0.2929989294305429;0.586200309266824;3.796793418056438;0.7080842960560528;0.7643982693119217;0.8650643411600664;1.0270893920454354;1.1165150876577654,0.649247424751406;0.5555657884785202;2.6403879554558523;2.672578286029395;2.7214082190502555;2.8221419988348364;2.9106823941664532;3.0187570511442723
