# Composite best c̃ per (k,D,p) — F64 (below precision wall) + D64
# Generated 2026-04-15 10:10
k,D,p,ctilde,source,gamma,beta
4,5,6,0.821877187175,f64/origin/stephen-apr6-results/20260331T232833-k4-d5-p1-15-r2-i320-s1234,0.271171554491301;0.4459294924327696;0.47796385033302147;0.5015336136820698;0.5418895372136936;0.6135102991496479,1.85214150654831;0.2347984021645532;0.22164585629950484;0.20918612558473346;0.18599287595003364;0.10386346969601981
4,5,7,0.833005596277,d64/swarm-d64-k4d5.csv,6.023966684216359;5.853819047196168;2.682605436021826;2.666291682825541;2.6462915662496127;2.6039365189556913;2.528829912604082,2.8626552203900864;2.909368217417167;0.2205102321870362;1.3560753040019649;0.20216763264272525;2.964163244436847;0.09548109419536151
4,5,8,0.842037153480,f64/origin/stephen-apr6-results/20260331T232833-k4-d5-p1-15-r2-i320-s1234,0.24963427956772405;0.41600053826200745;0.44455825558261647;0.4574509576565781;0.4679380561050636;0.4894283256712181;0.5347053828202329;0.6125754766197239,1.8474004757325284;0.22939862208578057;0.2184513936692326;0.21469778945347187;0.21008345554756916;0.19630234599104313;0.16980571452873156;0.08863135481655585
4,5,9,0.849520211129,f64/local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,6.041355207716759;5.878241486498342;5.85021920614136;5.839215097887074;5.832926955656998;5.822791509331747;5.7983804741018625;5.750236474206601;5.670238889791546,1.2963887187158558;1.3441892625234748;1.3549025950566698;1.3575639606893841;1.359682109591207;1.3644086004561125;1.3797284344554217;1.4079203880017286;1.4879401525414244
4,5,10,0.855869587563,f64/local/20260401T010935-k4-d5-p1-11-r2-i320-s1234,6.04781212873083;5.888510955419404;5.859613720799676;5.849453228837441;5.844710276033084;5.839036523005966;5.831204616353161;5.8021109147183365;5.745187552831144;5.659561629457051,1.2985406512337063;1.3472466508699357;1.3575679922511845;1.3591853260555207;1.360027838053157;1.362910236492109;1.3692055896941375;1.3853661731519782;1.4148270800420246;1.494225543337557
4,5,11,0.861425017719,f64/origin/stephen-apr6-results/20260401T022606-k4-d5-p11-15-r2-i320-s1234,0.2334213536601585;0.3967225738565388;0.4252273579375905;0.4330259772464007;0.43626162718957184;0.43722244179718006;0.4454302553930396;0.47179465352912103;0.5155320958068703;0.5699264031399374;0.6474094370549651,1.844434892651783;0.22521756370264567;0.21528724287167125;0.21356489898695738;0.21302514668330327;0.2105032600558777;0.20958723797224038;0.20821623741752407;0.1829613606494077;0.1431296574246575;0.06608455873087701
4,6,1,0.650449645147,f64/local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.6018124567450025,1.8047796500253757
4,6,2,0.706214179347,f64/local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.4979637716391703;3.7067291909991504,1.8470446924645774;1.7431923079739313
4,6,3,0.740484176043,f64/local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.4496679104735732;3.6324392891807835;3.696023250955661,1.8562350716733353;1.7946076179521782;1.715364542969331
4,6,4,0.763757896280,f64/local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.4208655708829467;3.5876766316298396;3.6324379663830086;3.6901913063289666,1.8556416444000088;1.804902847056668;1.7749182114385942;1.697166305417403
4,6,5,0.780932593877,d64/swarm-d64-k4d6.csv,2.881875274181333;2.7222789384629684;2.692097663896763;2.6551127019337066;2.597178844983422,2.8582311457802736;2.9062262353558794;2.925216901852848;2.9499294433915706;3.028668201499824
