timestamp_utc,k,D,p,start_index,evaluations,iterations,elapsed_seconds,value,gradient_norm,plateau_value_range,plateau_gradient_max,reason,gamma,beta
2026-05-29T01:59:51Z,2,8,13,1,1,0,201.205495,0.730141544887,8.353229e-02,Inf,Inf,best_seen,0.1422427004243221;0.2769850649423875;0.2946809379614903;0.31328646639448854;0.32324126235945666;0.3327484412749888;0.3446712764040489;0.36154741838661864;0.38404205562305865;0.4209903601146039;0.47426998718453334;0.5150845752643971;0.5150845752643971,2.2099571588553633;2.0985204090787906;2.0443426269656064;2.023034406061947;1.9940441477431816;1.9667734418559082;1.9331217698823422;1.8940072972936535;1.8465003856017415;1.7954787899805458;1.728377666493041;1.6476874014653418;1.6476874014653418
2026-05-29T02:07:09Z,2,8,13,1,3,0,639.378237,0.732391707176,2.648051e-02,Inf,Inf,best_seen,0.14206007262123244;0.27715641572249433;0.294987649955982;0.31384451796113505;0.3239948412631303;0.3334639989293288;0.34482726875719116;0.3602055944749427;0.38431340324241636;0.42055445100371536;0.47280490923325547;0.5133921011645655;0.5154461587453838,2.2097321394980747;2.0984566497831487;2.0444204779509323;2.022894156982641;1.9929612722059946;1.9663525635307155;1.9339216169307027;1.8948973153565098;1.8467075837158984;1.7957945822791281;1.727000749375464;1.6741667597206222;1.6188618707348867
2026-05-29T02:10:57Z,2,8,13,1,4,0,867.014423,0.732565104489,1.049889e-02,Inf,Inf,best_seen,0.14241392804880432;0.2770148538674733;0.2955136783414941;0.31437027867435713;0.3236191075512615;0.33246392874277203;0.3446884524019402;0.3614906643082378;0.3844689439023531;0.420231731311119;0.4708483235856933;0.5118844950601951;0.515908095165007,2.209762344529553;2.097884767848093;2.0442632960665157;2.022662444561759;1.9933794309512576;1.966590930905251;1.9334582639184175;1.8942752544320156;1.8474045165733823;1.795262596763654;1.7354140162721576;1.6746910935495893;1.6161152978261217
2026-05-29T02:18:21Z,2,8,13,1,6,0,1310.854538,0.732590208520,1.111803e-02,Inf,Inf,best_seen,0.14260225592279513;0.27693951224172164;0.2957936395905899;0.31465009746370975;0.3234191356824435;0.33193167438859067;0.34461457197783885;0.3621746003193225;0.3845517252857164;0.4200599744045804;0.46980699544268634;0.5110821214625935;0.5161539455803122,2.2097784201607826;2.0975804025604337;2.044179641195584;2.022539123272323;1.9936019821440607;1.9667177940741534;1.933211659568416;1.893944183033149;1.8477754360877867;1.794979465028723;1.7398916999376142;1.6749701529268848;1.614653525033154
2026-05-29T02:22:01Z,2,8,13,1,7,0,1530.988374,0.732669403314,6.498270e-03,Inf,Inf,best_seen,0.14252104820127556;0.27754642354269077;0.2950771368433781;0.31410977882507735;0.32355352269937127;0.33322067234342434;0.34487459844004337;0.36217685179118;0.38529818229052554;0.41747024366691254;0.4674870788802679;0.5097801858336732;0.5167828900447186,2.20858451087956;2.0977133861475363;2.0445275213814353;2.0230595871816326;1.9931022798955935;1.9661543629389648;1.9333211277706572;1.8945319174252455;1.8480807687885763;1.7985623249038414;1.7438129647971639;1.6766650259337348;1.6152883643561653
2026-05-29T02:29:45Z,2,8,13,1,9,0,1994.727261,0.732700522430,8.961901e-03,Inf,Inf,best_seen,0.14240753089282313;0.2783948026877549;0.2940755638175586;0.31335448713093156;0.32374137740292813;0.3350225155141891;0.34523807993618105;0.36217999904147263;0.3863416272792015;0.4138501536378413;0.46424415223398235;0.5079602575607475;0.5176620685443672,2.2069155886932856;2.0978992790477897;2.0450138103897073;2.0237871246746924;1.992403764370072;1.965366763129882;1.9334741493731238;1.8953534898696796;1.8485075822211858;1.8035706738880897;1.7492943577516245;1.679034227018387;1.6161757830633956
2026-05-29T02:33:30Z,2,8,13,1,10,0,2220.016258,0.732822429537,7.266445e-03,Inf,Inf,best_seen,0.14302807330557274;0.27722309261903555;0.29454695075249404;0.3136227477216421;0.32412339201828305;0.334645319210252;0.345779828587045;0.3622548122444677;0.3845922365672826;0.4093661921859999;0.4600776317148663;0.5058566723669515;0.5186414017225013,2.2063053814074127;2.096341148609638;2.0442980635783594;2.023134289949338;1.9924517711523344;1.965753287075006;1.9332405126413985;1.8975981325724565;1.850936519630488;1.8082041376291125;1.7536616105905345;1.683836152091384;1.619150250886224
2026-05-29T02:40:51Z,2,8,13,1,12,0,2660.495795,0.732891718617,1.150046e-02,Inf,Inf,best_seen,0.1440380896900195;0.2753159766138878;0.2953141965005957;0.3140593779766451;0.32474517227484423;0.3340313814047099;0.34666159750788306;0.36237658081216834;0.3817448674825363;0.40206794078442326;0.45329605820114915;0.5024328040411762;0.5202353984186576,2.2053121868344427;2.0938050813895663;2.0431330892079957;2.022071713475279;1.9925299086585764;1.9663824068733233;1.9328602373818793;1.9012515909992351;1.8548899425227618;1.8157457241492614;1.7607699030000346;1.6916519321266639;1.6239915980275978
2026-05-29T02:44:22Z,2,8,13,1,13,0,2872.132603,0.733056754510,5.772098e-03,Inf,Inf,best_seen,0.14238053637875206;0.27608869769128475;0.2943837732988577;0.3158924522074972;0.32481916173985165;0.33421425194757887;0.3437894534010984;0.3596907745161053;0.3758743578468712;0.39744470457330855;0.44646925707666474;0.4990127767559696;0.5218994546215059,2.203267947830158;2.0914893691822734;2.0417451258453556;2.0218043823329417;1.9927481723336469;1.9678507836636294;1.9367564276766018;1.9055790248771272;1.8597837003365054;1.8180672765517112;1.7680713784077442;1.701258724708531;1.6309341300321756
2026-05-29T02:51:42Z,2,8,13,1,15,0,3312.244533,0.733087841757,8.758946e-03,Inf,Inf,best_seen,0.1415708730860754;0.276466147929291;0.2939292904728869;0.3167878520159881;0.3248553032946687;0.33430357852601617;0.342386500241925;0.3583788415879878;0.3730067962855069;0.39518639732728056;0.4431345768348135;0.497342199686767;0.522712294374676,2.202269400590696;2.0903582157177643;2.041067148866473;2.0216737993758396;1.9928547873575064;1.9685680401034962;1.9386595955816557;1.9076928418739003;1.8621741489803612;1.8192012827701003;1.771637922288908;1.7059513444034886;1.634325341213215
