# swarm-d64 chain: k=4, D=6, p=1-15, pop=100, gens=10, burst=20, seed=42
k,D,p,ctilde,evals,wall_seconds,gamma,beta
# p=1 gen  1: best_d64=0.6504496451  pop=100
# p=1 gen  2: best_d64=0.6504496451  pop=100
# p=1 gen  3: best_d64=0.6504496451  pop=100
# p=1 gen  4: best_d64=0.6504496451  pop=100
# p=1 gen  4: best_d64=0.6504496451  pop=-1
4,6,1,0.650449645147,5262,5.1,2.681372850052866,2.9076093330846535
# p=2 gen  1: best_d64=0.7062141793  pop=100
# p=2 gen  2: best_d64=0.7062141793  pop=100
# p=2 gen  3: best_d64=0.7062141793  pop=100
# p=2 gen  4: best_d64=0.7062141793  pop=100
# p=2 gen  4: best_d64=0.7062141793  pop=-1
4,6,2,0.706214179347,11643,0.9,2.785221535540404;2.576456116180442,2.865344287920116;2.9691966724107566
# p=3 gen  1: best_d64=0.7404841760  pop=100
# p=3 gen  2: best_d64=0.7404841760  pop=100
# p=3 gen  3: best_d64=0.7404841760  pop=100
# p=3 gen  4: best_d64=0.7404841760  pop=100
# p=3 gen  4: best_d64=0.7404841760  pop=-1
4,6,3,0.740484176043,15662,1.8,2.833517396705865;2.650746017998597;2.5871620562240114,2.8561539087112346;2.917781362432399;2.9970244374153836
# p=4 gen  1: best_d64=0.7637578963  pop=100
# p=4 gen  2: best_d64=0.7637578963  pop=100
# p=4 gen  3: best_d64=0.7637578963  pop=100
# p=4 gen  4: best_d64=0.7637578963  pop=100
# p=4 gen  4: best_d64=0.7637578963  pop=-1
4,6,4,0.763757896276,18924,6.2,2.8623197362981005;2.6955086755619053;2.6507473407925577;2.592994000846834,2.856747335989799;2.907486133332634;2.9374707689467905;3.0152226749694884
# p=5 gen  1: best_d64=0.7809325939  pop=100
# p=5 gen  2: best_d64=0.7809325939  pop=100
# p=5 gen  3: best_d64=0.7809325939  pop=100
# p=5 gen  4: best_d64=0.7809325939  pop=100
# p=5 gen  4: best_d64=0.7809325939  pop=-1
4,6,5,0.780932593877,21629,30.5,2.881875274181333;2.7222789384629684;2.692097663896763;2.6551127019337066;2.597178844983422,2.8582311457802736;2.9062262353558794;2.925216901852848;2.9499294433915706;3.028668201499824
# p=6 gen  1: best_d64=0.7941895810  pop=100
# p=6 gen  2: best_d64=0.7941895810  pop=100
# p=6 gen  3: best_d64=0.7941895810  pop=100
# p=6 gen  4: best_d64=0.7941895810  pop=100
# p=6 gen  4: best_d64=0.7941895810  pop=-1
4,6,6,0.794189580995,23735,148.5,2.8959969398675334;2.7418235433032816;2.716140565844522;2.696463088566928;2.6605419914683344;2.5997883645511792,2.8602711774818586;2.907773103802823;2.9218985055985116;2.9349607643947535;2.9600017798277505;3.039205261477469
# p=7 gen  1: best_d64=0.8047564409  pop=100
# p=7 gen  2: best_d64=0.8047564414  pop=100
# p=7 gen  3: best_d64=0.8047564414  pop=100
# p=7 gen  4: best_d64=0.8047564414  pop=100
# p=7 gen  5: best_d64=0.8047564414  pop=100
# p=7 gen  5: best_d64=0.8047564414  pop=-1
4,6,7,0.804756441379,28419,825.8,2.9069060989156066;2.756820277975697;2.733189665707144;2.719735258441037;2.703119499906862;2.6646974668350145;2.6012419448606727,2.8624829405644188;2.9100644394688335;2.9224140083762045;2.9291416353096253;2.942244022416119;2.9687531705512034;3.047662694236865
# p=8 gen  1: best_d64=0.8133887877  pop=100
