start,kind,iteration,value,g_norm
1,warm,0,-7.720950110462e-01,3.860286e-01
1,warm,1,-7.954678142968e-01,1.461326e-01
1,warm,2,-7.989581640599e-01,5.777808e-02
1,warm,3,-8.010820720825e-01,6.215157e-02
1,warm,4,-8.017618392183e-01,2.359436e-02
1,warm,5,-8.020144561512e-01,2.194654e-02
1,warm,6,-8.021751902013e-01,5.327523e-03
1,warm,7,-8.021921233051e-01,4.977858e-03
1,warm,8,-8.022007366449e-01,2.556344e-03
1,warm,9,-8.022034708123e-01,8.819834e-04
1,warm,10,-8.022040104509e-01,1.667353e-04
1,warm,11,-8.022040174327e-01,2.574614e-05
1,warm,12,-8.022040180146e-01,8.672859e-06
1,warm,13,-8.022040180742e-01,4.110134e-07
2,random,0,-4.999218784239e-01,4.706455e-03
2,random,1,-5.001340870004e-01,2.966550e-03
2,random,2,-5.009030423593e-01,1.066071e-02
2,random,3,-5.009094429344e-01,1.089211e-02
2,random,4,-5.013508287626e-01,1.848030e-02
2,random,5,-5.293439688439e-01,5.618402e-01
2,random,6,-5.293777828398e-01,5.771058e-01
2,random,7,-6.431701061257e-01,6.272770e-01
2,random,8,-6.448988614091e-01,3.321203e-01
2,random,9,-6.832704442316e-01,2.212945e-01
2,random,10,-6.850862306078e-01,2.074415e-01
2,random,11,-6.969995769485e-01,1.389922e-01
2,random,12,-7.080771036132e-01,2.902777e-01
2,random,13,-7.250664567880e-01,2.241966e-01
2,random,14,-7.400280684395e-01,9.028256e-02
2,random,15,-7.435271260352e-01,1.008308e-01
2,random,16,-7.469347261927e-01,7.798794e-02
2,random,17,-7.580711537915e-01,1.876268e-01
2,random,18,-7.647517998312e-01,1.405272e-01
2,random,19,-7.689190912392e-01,1.232449e-01
2,random,20,-7.743030415656e-01,9.619953e-02
2,random,21,-7.769274092038e-01,3.780119e-02
2,random,22,-7.776187442094e-01,3.443133e-02
2,random,23,-7.779505991994e-01,1.095747e-02
2,random,24,-7.779943758403e-01,3.398453e-03
2,random,25,-7.779997774303e-01,4.013174e-03
2,random,26,-7.780585786944e-01,1.409112e-02
2,random,27,-7.789382785735e-01,3.167313e-02
2,random,28,-7.791161233289e-01,3.427889e-02
2,random,29,-7.794394402743e-01,2.136264e-02
2,random,30,-7.795097602387e-01,8.747660e-03
2,random,31,-7.795211085587e-01,3.754783e-03
2,random,32,-7.795248445861e-01,1.028945e-03
2,random,33,-7.795252546142e-01,6.376095e-05
2,random,34,-7.795252560946e-01,1.326215e-05
2,random,35,-7.795252561730e-01,1.135964e-06
2,random,36,-7.795252561738e-01,1.760854e-07
3,random,0,-5.000002801402e-01,1.995455e-05
3,random,1,-5.114256886317e-01,1.050053e-01
3,random,2,-5.114413728905e-01,1.048117e-01
3,random,3,-5.397601414605e-01,2.560216e-01
3,random,4,-5.658758375568e-01,7.130044e-01
3,random,5,-5.717538249067e-01,7.375857e-01
3,random,6,-6.386260961732e-01,5.257498e-01
3,random,7,-6.549033222393e-01,2.952502e-01
3,random,8,-6.752457835975e-01,2.792842e-01
3,random,9,-6.852529939063e-01,5.320865e-02
3,random,10,-6.870111107516e-01,3.610746e-02
3,random,11,-6.929004706693e-01,2.264070e-01
3,random,12,-7.009174143623e-01,2.387793e-01
3,random,13,-7.098971182011e-01,2.257542e-01
3,random,14,-7.428460075331e-01,1.249463e-01
3,random,15,-7.489926791092e-01,7.415090e-02
3,random,16,-7.513010777522e-01,1.157751e-01
3,random,17,-7.532874941162e-01,6.818941e-02
3,random,18,-7.540062580608e-01,5.765714e-02
3,random,19,-7.548236802508e-01,4.823020e-02
3,random,20,-7.591024459212e-01,5.199915e-02
3,random,21,-7.617076753730e-01,7.354563e-02
3,random,22,-7.634568098772e-01,6.011043e-02
3,random,23,-7.639045116906e-01,1.324699e-02
3,random,24,-7.639767308849e-01,1.074239e-02
3,random,25,-7.640275679878e-01,7.132361e-03
3,random,26,-7.642050245121e-01,1.826107e-02
3,random,27,-7.655144014970e-01,3.570796e-02
3,random,28,-7.658338884386e-01,3.780635e-02
3,random,29,-7.662643402589e-01,1.148019e-02
3,random,30,-7.663529098113e-01,4.872181e-03
3,random,31,-7.663727069826e-01,2.967847e-03
3,random,32,-7.663756375423e-01,7.135489e-04
3,random,33,-7.663763366188e-01,3.862711e-04
3,random,34,-7.663763571950e-01,2.414409e-04
3,random,35,-7.663763680206e-01,5.937970e-05
3,random,36,-7.663763699613e-01,9.615464e-06
3,random,37,-7.663763700258e-01,1.260884e-06
3,random,38,-7.663763700276e-01,2.673983e-08
