start,kind,iteration,value,g_norm
1,warm,0,-7.110589324221e-01,1.928458e-01
1,warm,1,-7.214736874351e-01,5.506124e-02
1,warm,2,-7.230953679376e-01,3.468761e-02
1,warm,3,-7.241850882744e-01,2.372761e-02
1,warm,4,-7.244271703782e-01,1.952943e-02
1,warm,5,-7.244875700948e-01,6.349412e-03
1,warm,6,-7.245135633586e-01,5.863291e-03
1,warm,7,-7.245255184441e-01,1.513978e-03
1,warm,8,-7.245265265700e-01,9.367385e-04
1,warm,9,-7.245269150975e-01,4.456934e-04
1,warm,10,-7.245270099164e-01,1.717467e-04
1,warm,11,-7.245270372808e-01,3.753879e-05
1,warm,12,-7.245270388440e-01,1.550166e-05
1,warm,13,-7.245270391130e-01,2.369765e-06
1,warm,14,-7.245270391560e-01,6.362279e-08
2,random,0,-4.996131075753e-01,6.245582e-03
2,random,1,-5.000245023125e-01,7.158863e-04
2,random,2,-5.019603619358e-01,4.063941e-02
2,random,3,-5.025482818343e-01,2.723399e-02
2,random,4,-5.070490196504e-01,8.301662e-02
2,random,5,-5.446065757040e-01,3.452656e-01
2,random,6,-5.511551682051e-01,2.031027e-01
2,random,7,-5.893147218814e-01,3.004342e-01
2,random,8,-6.094975268851e-01,2.809096e-01
2,random,9,-6.367845960541e-01,3.870212e-01
2,random,10,-6.647713234465e-01,1.544040e-01
2,random,11,-6.770026576416e-01,1.025201e-01
2,random,12,-6.822012259337e-01,5.531134e-02
2,random,13,-6.832764197212e-01,4.580864e-02
2,random,14,-6.848949745261e-01,3.269784e-02
2,random,15,-6.857790136642e-01,4.975517e-02
2,random,16,-6.877468979941e-01,9.499528e-02
2,random,17,-6.906265985889e-01,8.679606e-02
2,random,18,-6.924684879809e-01,6.572122e-02
2,random,19,-6.934317284796e-01,3.342844e-02
2,random,20,-6.938646470218e-01,1.499806e-02
2,random,21,-6.943767711189e-01,2.672581e-02
2,random,22,-6.958157894693e-01,4.889749e-02
2,random,23,-6.969195377088e-01,3.040329e-02
2,random,24,-6.975185043957e-01,3.696655e-02
2,random,25,-6.977371524265e-01,1.670576e-02
2,random,26,-6.977836223135e-01,5.108702e-03
2,random,27,-6.978012536157e-01,3.074401e-03
2,random,28,-6.978076034275e-01,1.972869e-03
2,random,29,-6.978091941839e-01,8.091023e-04
2,random,30,-6.978093967166e-01,3.414835e-04
2,random,31,-6.978094577814e-01,1.577773e-04
2,random,32,-6.978094704521e-01,3.020729e-06
2,random,33,-6.978094705303e-01,1.658045e-07
3,random,0,-5.001103545664e-01,3.380367e-03
3,random,1,-5.028391160063e-01,5.118869e-02
3,random,2,-5.039221853341e-01,5.124572e-02
3,random,3,-6.000804034416e-01,3.264181e-01
