run_id,run_kind,runner_label,timestamp_utc,git_commit,git_branch,git_dirty,k,D,p,clause_sign,restarts,maxiters,seed,value,wall_time_seconds,best_start_wall_time_seconds,evaluations,starts,iterations,converged,retry_count,best_start_kind,g_abstol,gamma,beta
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,1,1,2,320,1234,0.652695526988,0.666694,0.510357,46,3,6,true,0,random,1.0e-06,3.59166425408145,2.965492877925421
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,2,1,2,320,1234,0.709563562342,0.047968,0.047418,118,3,11,true,0,warm,1.0e-06,3.500068280562815;3.6647236201636466,2.9461708221406027;0.13170928318101893
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,3,1,2,320,1234,0.744380869185,0.062218,0.035333,201,3,13,true,0,warm,1.0e-06,3.4574764929035378;3.6033116303350523;3.6447544307486153,2.9456390158183376;0.16230706058908215;3.0291257448453197
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,4,1,2,640,1234,0.768094242825,0.048835,0.048220,53,3,17,true,0,warm,1.0e-06,3.4327209699411507;3.565790603470763;3.5916321709669736;3.6323640723733974,2.949430547136918;0.16462771691026806;2.9895387714036827;0.0996586211660273
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,5,1,2,1280,1234,0.785559889308,0.402067,0.226307,252,3,21,true,0,warm,1.0e-06,3.4158616482738244;3.543695854964453;3.557800032706272;3.5796414532335437;3.6233753636921393,2.952942759540051;0.1626042825626685;2.98487167209743;0.1455669550407308;3.0514879053834707
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,6,1,2,1280,1234,0.799027993793,3.164426,1.357660,831,3,40,true,0,warm,1.0e-06,3.403869248985404;3.5279460377961245;3.5380529214749172;3.5458389636769607;3.568839741877028;3.6169658196925427,2.9560108954670516;0.15944066811256352;2.985205553959736;0.1527033390008225;3.0014963324402917;0.08242914169995075
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,7,1,2,1280,1234,0.809751963849,31.685034,17.901636,1291,3,24,true,0,warm,1.0e-06,3.394540121370167;3.5154979637536528;3.5242115729343713;3.5257552982154903;3.5341169289738814;3.5611503649474807;3.6132551679580867,2.9589065604130056;0.15627927804203232;2.987601604511614;0.15404485625307118;2.9917322538814908;0.13513866510204112;3.0654487135936597
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,8,1,2,1280,1234,0.819282871487,320.233505,298.040524,4207,3,42,true,0,warm,1.0e-06,3.3870876616586965;3.504757367630458;3.5125258343595096;3.512893055244551;3.51437093557126;3.5251190594925443;3.560233470724154;3.617866367027907,2.961781416690674;0.15310056395332233;2.9905768160300883;0.15250971936167207;2.9890670322502335;0.14739772577097837;3.0100352842509155;0.0706236298828653
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,9,1,2,1280,1234,0.846686598714,540.034079,529.167383,1273,3,14,true,0,warm,1.0e-06,3.3864109881154567;3.5027666090800915;3.508739124123366;3.512377810577692;3.513406435888166;3.5250800490466156;3.5626749053723;3.621166684548485;3.6172331873407093,2.959875443403533;0.15107707437336243;2.991642752016308;0.15303244993115056;2.9876935989863234;0.14706020399287736;3.0141361078042195;0.05898820209040495;0.005952737515487312
20260331T233021-k6-d7-p1-15-r2-i320-s1234,cluster,slurm-987288-13,2026-03-31T23:30:21,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,6,7,10,1,2,1280,1234,7.711354581627,1057.198677,509.092733,342,4,2,true,1,retry,1.0e-05,3.3864109881153857;3.5027666090798624;3.5087391241231742;3.5123778105777768;3.5134064358877932;3.525080049046491;3.562674905372481;3.6211666845480304;3.617233187340617;3.617233187340724,2.959875443404089;0.15107707437326875;2.9916427520163986;0.1530324499314374;2.98769359898645;0.1470602039928595;3.0141361078043816;0.05898820209030907;0.00595273751544366;0.005952737515413019
