start,iteration,value,g_norm
3,1,-5.000906902302e-01,1.716412e-03
3,2,-5.337780140665e-01,2.234938e-01
3,3,-5.345027025937e-01,2.299629e-01
3,4,-5.445917749982e-01,2.653663e-01
3,5,-6.919087435878e-01,1.676608e-01
3,6,-7.074230981932e-01,2.254102e-01
3,7,-7.150262326071e-01,1.593557e-01
3,8,-7.180843555773e-01,8.987757e-02
3,9,-7.201236732044e-01,7.156765e-02
3,10,-7.216416920279e-01,5.497999e-02
3,11,-7.236837375084e-01,7.362202e-02
3,12,-7.266405826005e-01,4.695745e-02
3,13,-7.273314171878e-01,4.027677e-02
3,14,-7.277880026072e-01,1.722328e-02
3,15,-7.279981449151e-01,1.984612e-02
3,16,-7.286792808674e-01,2.716513e-02
3,17,-7.298876375104e-01,3.923276e-02
3,18,-7.307601837929e-01,4.833048e-02
3,19,-7.316263375587e-01,4.986409e-02
3,20,-7.327647773279e-01,4.395955e-02
3,21,-7.334345562374e-01,3.648527e-02
3,22,-7.340494647700e-01,2.476880e-02
3,23,-7.347295938040e-01,3.481768e-02
3,24,-7.353939846009e-01,3.472194e-02
3,25,-7.357319026630e-01,2.490409e-02
3,26,-7.360760007100e-01,1.510209e-02
3,27,-7.362164246939e-01,1.188646e-02
3,28,-7.362575481147e-01,5.567787e-03
3,29,-7.362756526830e-01,6.044674e-03
3,30,-7.362969857528e-01,6.759664e-03
3,31,-7.363226789088e-01,3.018247e-03
3,32,-7.363386723110e-01,3.548962e-03
3,33,-7.363409026573e-01,3.206363e-03
3,34,-7.363419702162e-01,1.587234e-03
3,35,-7.363452683204e-01,2.049339e-03
3,36,-7.363879996258e-01,1.328989e-02
3,37,-7.367050853013e-01,3.573817e-02
3,38,-7.367219928290e-01,3.960462e-02
3,39,-7.369523841521e-01,5.969111e-02
3,40,-7.375833792756e-01,6.877913e-02
3,41,-7.384388416934e-01,6.321944e-02
3,42,-7.394671115210e-01,4.957359e-02
3,43,-7.399985493583e-01,3.376662e-02
3,44,-7.402213603337e-01,3.379646e-02
3,45,-7.405964360990e-01,4.644250e-02
3,46,-7.411952647084e-01,4.887405e-02
3,47,-7.416338728092e-01,2.321373e-02
3,48,-7.417848229161e-01,2.610448e-02
3,49,-7.420797611014e-01,4.556535e-02
3,50,-7.426204244428e-01,2.342019e-02
3,51,-7.432887979213e-01,2.132426e-02
3,52,-7.434809358461e-01,2.568078e-02
3,53,-7.439553056777e-01,1.522820e-02
3,54,-7.442471541271e-01,2.198646e-02
3,55,-7.444240212418e-01,1.871683e-02
3,56,-7.445698232645e-01,1.156563e-02
3,57,-7.446428553224e-01,8.506351e-03
3,58,-7.446701429801e-01,7.502154e-03
3,59,-7.446926005169e-01,5.027796e-03
3,60,-7.446930948037e-01,2.896678e-03
3,61,-7.447039394787e-01,2.522131e-03
3,62,-7.447047945546e-01,2.355646e-03
3,63,-7.447093663313e-01,1.703303e-03
3,64,-7.447100944770e-01,2.395408e-03
3,65,-7.447103600714e-01,2.085081e-03
3,66,-7.447253106738e-01,2.678685e-03
3,67,-7.447344098605e-01,3.609917e-03
3,68,-7.447309820218e-01,3.056330e-03
3,69,-7.447354162524e-01,1.801807e-03
3,70,-7.447360253288e-01,1.460645e-03
3,71,-7.447419728228e-01,4.463819e-03
3,72,-7.447426114686e-01,3.919437e-03
3,73,-7.447424788565e-01,3.477498e-03
3,74,-7.447437792969e-01,2.015510e-03
3,75,-7.447526765926e-01,2.726765e-03
3,76,-7.447623570260e-01,6.116170e-03
3,77,-7.447799712647e-01,6.412343e-03
3,78,-7.448040159128e-01,6.773065e-03
3,79,-7.448217721681e-01,4.676724e-03
3,80,-7.448459500568e-01,7.339191e-03
3,81,-7.448663550625e-01,5.229548e-03
3,82,-7.448819983291e-01,2.855170e-03
3,83,-7.448878009441e-01,2.509930e-03
3,84,-7.448963974788e-01,2.757953e-03
3,85,-7.449030571819e-01,2.041673e-03
3,86,-7.449032645543e-01,1.826509e-03
3,87,-7.449048512983e-01,1.824486e-03
3,88,-7.449031073772e-01,1.807970e-03
3,89,-7.449036700437e-01,1.809482e-03
3,90,-7.449047176368e-01,1.490686e-03
3,91,-7.449014572138e-01,1.275435e-03
3,92,-7.449027606864e-01,1.543471e-03
3,93,-7.449018369620e-01,1.088556e-03
3,94,-7.449036279119e-01,8.505847e-04
3,95,-7.449107737981e-01,1.133803e-03
3,96,-7.449108756207e-01,1.138198e-03
3,97,-7.449097682177e-01,1.170474e-03
3,98,-7.449117818376e-01,1.115233e-03
3,99,-7.449111347004e-01,1.122537e-03
3,100,-7.449109779819e-01,1.114808e-03
3,101,-7.449087027181e-01,1.137481e-03
3,102,-7.449092957650e-01,1.153085e-03
3,103,-7.449110883692e-01,1.087106e-03
3,104,-7.449109561987e-01,1.112444e-03
3,105,-7.449102057053e-01,1.121933e-03
3,106,-7.449101092493e-01,1.113694e-03
3,107,-7.449093829086e-01,1.111248e-03
3,108,-7.449087175992e-01,1.123846e-03
3,109,-7.449090676971e-01,1.144878e-03
3,110,-7.449091334075e-01,1.132567e-03
3,111,-7.449089862737e-01,1.157387e-03
3,112,-7.449086022507e-01,1.160397e-03
3,113,-7.449087492129e-01,1.115486e-03
3,114,-7.449093420492e-01,5.927549e-04
3,115,-7.449093691746e-01,6.156777e-04
3,116,-7.449086863418e-01,5.886037e-04
3,117,-7.449087578463e-01,5.882183e-04
3,118,-7.449088265420e-01,6.442956e-04
3,119,-7.449080348990e-01,5.874443e-04
