start,iteration,value,g_norm
3,1,-4.999791034333e-01,5.443867e-04
3,2,-5.000026505568e-01,6.241496e-05
3,3,-6.042252188231e-01,2.608781e-01
3,4,-6.054090792971e-01,3.135943e-01
3,5,-6.067819416901e-01,3.225071e-01
3,6,-6.439675965187e-01,2.637895e-01
3,7,-6.603578949727e-01,1.841623e-01
3,8,-6.680177969947e-01,1.149217e-01
3,9,-6.722377904747e-01,1.374332e-01
3,10,-6.774403105735e-01,1.239799e-01
3,11,-6.837236011864e-01,1.251408e-01
3,12,-6.897622365305e-01,6.059839e-02
3,13,-6.931717327565e-01,4.872127e-02
3,14,-6.942567938911e-01,5.363953e-02
3,15,-6.952489474161e-01,2.652788e-02
3,16,-6.955732445972e-01,2.327800e-02
3,17,-6.957801614984e-01,2.866353e-02
3,18,-6.963154399112e-01,1.615995e-02
3,19,-6.963569427603e-01,5.427701e-03
3,20,-6.963654125583e-01,1.560619e-03
3,21,-6.963658750630e-01,9.304697e-04
3,22,-6.963660042503e-01,6.553243e-05
3,23,-6.963660046021e-01,2.448853e-05
3,24,-6.963660075336e-01,1.426098e-04
3,25,-6.963662192713e-01,6.006765e-04
3,26,-6.973776869310e-01,6.360794e-02
3,27,-6.973921534840e-01,6.468441e-02
3,28,-6.978441668061e-01,1.123427e-02
3,29,-6.978654293396e-01,4.276792e-03
3,30,-6.978766185191e-01,7.127427e-03
3,31,-6.978813083248e-01,5.361395e-03
3,32,-6.978950719713e-01,4.252875e-03
3,33,-6.978977808191e-01,3.090271e-03
3,34,-6.979008639477e-01,7.177058e-04
3,35,-6.979010826566e-01,3.571649e-04
3,36,-6.979011741354e-01,4.418425e-04
3,37,-6.979012734424e-01,4.639889e-04
3,38,-6.979014453175e-01,6.789246e-04
3,39,-6.979018725292e-01,8.562670e-04
3,40,-6.979040819849e-01,1.664347e-03
3,41,-6.979145626907e-01,3.881191e-03
3,42,-6.979192564924e-01,3.562239e-03
3,43,-6.979232040277e-01,1.060041e-03
3,44,-6.979255217434e-01,1.723174e-03
3,45,-6.979265797916e-01,9.790582e-04
3,46,-6.979275870277e-01,7.050523e-04
3,47,-6.979278717764e-01,4.069848e-04
3,48,-6.979279838865e-01,2.431511e-04
3,49,-6.979280294896e-01,1.681674e-04
3,50,-6.979280424477e-01,9.804191e-05
3,51,-6.979280455579e-01,4.936280e-05
3,52,-6.979280472106e-01,2.641007e-05
3,53,-6.979280465977e-01,1.541265e-05
3,54,-6.979280474776e-01,5.446791e-06
3,55,-6.979280468656e-01,2.840727e-06
3,56,-6.979280471480e-01,1.525707e-06
3,57,-6.979280472921e-01,1.764074e-07
