start,kind,iteration,value,g_norm
1,warm,1,-6.856447609790e-01,1.352743e-01
1,warm,2,-6.899215435842e-01,1.340079e-01
1,warm,3,-6.930858607942e-01,8.401781e-02
1,warm,4,-6.956176516737e-01,4.837043e-02
1,warm,5,-6.967944458273e-01,2.675589e-02
1,warm,6,-6.974851737593e-01,3.046393e-02
1,warm,7,-6.976688094226e-01,1.579586e-02
1,warm,8,-6.977240925206e-01,5.010199e-03
1,warm,9,-6.977331823257e-01,3.105126e-03
1,warm,10,-6.977442850543e-01,5.958999e-03
1,warm,11,-6.977851825753e-01,4.930871e-03
1,warm,12,-6.979817141340e-01,1.665749e-02
1,warm,13,-6.982662997973e-01,1.345422e-02
1,warm,14,-6.983129601351e-01,1.812227e-02
1,warm,15,-6.984546066269e-01,4.173400e-03
1,warm,16,-6.984672254760e-01,4.863789e-03
1,warm,17,-6.984892865265e-01,4.582557e-03
1,warm,18,-6.985274700785e-01,1.057488e-02
1,warm,19,-6.985811361900e-01,5.920582e-03
1,warm,20,-6.985969289530e-01,4.493786e-03
1,warm,21,-6.985995185993e-01,8.302988e-04
1,warm,22,-6.985996712356e-01,2.093841e-04
1,warm,23,-6.985997167469e-01,1.219009e-04
1,warm,24,-6.985997141016e-01,1.229682e-04
1,warm,25,-6.985997545996e-01,2.426165e-04
1,warm,26,-6.985997958094e-01,4.416118e-04
1,warm,27,-6.985998542307e-01,2.972946e-04
1,warm,28,-6.986001772364e-01,3.564107e-04
1,warm,29,-6.986003701117e-01,2.679007e-04
1,warm,30,-6.986003673568e-01,5.259608e-05
1,warm,31,-6.986003930898e-01,1.438498e-05
1,warm,32,-6.986003641186e-01,7.781418e-06
1,warm,33,-6.986003814905e-01,2.489887e-06
1,warm,34,-6.986003918303e-01,7.419803e-07
2,random,1,-4.996363936477e-01,3.149099e-03
2,random,2,-4.998232184626e-01,8.295364e-03
2,random,3,-5.000509637882e-01,1.763233e-03
2,random,4,-5.183863768263e-01,9.067271e-02
2,random,5,-5.226229419153e-01,1.292461e-01
2,random,6,-5.228076979785e-01,1.601023e-01
2,random,7,-5.290235609842e-01,1.617939e-01
2,random,8,-5.926875687890e-01,4.394680e-01
2,random,9,-6.031415789283e-01,4.945251e-01
2,random,10,-6.056234174884e-01,5.648981e-01
2,random,11,-6.097224761890e-01,4.892782e-01
2,random,12,-6.358445723308e-01,3.585539e-01
2,random,13,-6.634224428501e-01,1.288457e-01
2,random,14,-6.677284198003e-01,1.738637e-01
2,random,15,-6.715469807559e-01,1.041908e-01
2,random,16,-6.757070103492e-01,1.138989e-01
2,random,17,-6.815685630808e-01,1.427456e-01
2,random,18,-6.831141690360e-01,3.132285e-02
2,random,19,-6.836904330754e-01,2.750325e-02
2,random,20,-6.841275108029e-01,3.692508e-02
2,random,21,-6.847183620917e-01,4.366917e-02
2,random,22,-6.866254740458e-01,5.555258e-02
2,random,23,-6.880549275158e-01,4.845099e-02
2,random,24,-6.884823160403e-01,2.908793e-02
2,random,25,-6.886710734567e-01,2.014259e-02
2,random,26,-6.888190839114e-01,1.582817e-02
2,random,27,-6.889645323713e-01,2.077017e-02
2,random,28,-6.891033121419e-01,1.292181e-02
2,random,29,-6.893571385527e-01,3.288090e-02
2,random,30,-6.901807026975e-01,1.724979e-02
2,random,31,-6.905304999911e-01,2.473009e-02
2,random,32,-6.910105763882e-01,3.533514e-02
2,random,33,-6.915780709289e-01,8.039708e-02
2,random,34,-6.925137749975e-01,5.661922e-02
2,random,35,-6.931058285525e-01,3.786800e-02
2,random,36,-6.937331714838e-01,3.411811e-02
2,random,37,-6.941574484033e-01,1.759041e-02
2,random,38,-6.944667566280e-01,2.243777e-02
2,random,39,-6.946039571121e-01,6.587514e-03
2,random,40,-6.946177145819e-01,2.829856e-03
2,random,41,-6.946228790703e-01,2.154829e-03
2,random,42,-6.946241671324e-01,5.207756e-04
2,random,43,-6.946243072378e-01,4.129972e-04
2,random,44,-6.946244167313e-01,4.563635e-04
2,random,45,-6.946246082050e-01,1.448561e-03
2,random,46,-6.946250630792e-01,6.116926e-04
2,random,47,-6.946256955509e-01,1.258381e-03
2,random,48,-6.946267354611e-01,1.967974e-03
2,random,49,-6.946290339698e-01,2.590355e-03
2,random,50,-6.948800865450e-01,1.839621e-02
2,random,51,-6.950111993386e-01,1.268185e-02
2,random,52,-6.950826798625e-01,1.353113e-02
2,random,53,-6.951325596589e-01,1.093696e-02
2,random,54,-6.952155802018e-01,4.476383e-03
2,random,55,-6.952207767506e-01,3.756186e-03
2,random,56,-6.952252668938e-01,2.223347e-03
2,random,57,-6.952268558989e-01,1.166369e-03
2,random,58,-6.952272698626e-01,4.027169e-04
2,random,59,-6.952273994365e-01,5.088917e-04
2,random,60,-6.952277349962e-01,4.467840e-04
2,random,61,-6.952278449543e-01,8.657336e-05
2,random,62,-6.952278440009e-01,5.036108e-05
2,random,63,-6.952278307481e-01,2.792996e-05
2,random,64,-6.952278317703e-01,2.714719e-05
2,random,65,-6.952278407841e-01,1.052470e-05
2,random,66,-6.952278721199e-01,3.135830e-06
2,random,67,-6.952278268911e-01,1.155431e-06
2,random,68,-6.952278497805e-01,1.233680e-06
2,random,69,-6.952278574467e-01,2.232580e-06
2,random,70,-6.952278422605e-01,5.707672e-07
3,random,1,-4.994722153945e-01,6.142193e-03
3,random,2,-4.999950696293e-01,3.691287e-04
3,random,3,-5.000138369890e-01,1.386730e-04
3,random,4,-5.000293686660e-01,2.378727e-03
3,random,5,-5.001561619536e-01,1.725987e-03
3,random,6,-5.004436624420e-01,3.305027e-03
3,random,7,-5.004732579673e-01,6.522313e-03
3,random,8,-5.010311498683e-01,5.207986e-03
3,random,9,-5.012961397420e-01,9.233779e-03
3,random,10,-5.016881642824e-01,1.860616e-02
3,random,11,-5.021508414251e-01,2.879611e-02
3,random,12,-5.030035059754e-01,4.883550e-02
3,random,13,-5.039587017595e-01,5.344349e-02
3,random,14,-5.048597205284e-01,4.935393e-02
3,random,15,-5.061834781726e-01,5.221823e-02
3,random,16,-5.093824095222e-01,1.381646e-01
3,random,17,-5.098403142605e-01,1.753636e-01
3,random,18,-5.141518824893e-01,1.413568e-01
3,random,19,-5.191444598860e-01,7.050120e-02
3,random,20,-5.207978812069e-01,3.004414e-02
3,random,21,-5.224747165599e-01,2.985980e-02
3,random,22,-5.235942064776e-01,6.276608e-02
3,random,23,-5.243948149920e-01,9.869901e-03
3,random,24,-5.246182736355e-01,2.964814e-02
3,random,25,-5.251976182439e-01,6.087911e-02
3,random,26,-5.262446285892e-01,1.037007e-01
3,random,27,-5.300122690281e-01,2.059525e-01
3,random,28,-5.311732255891e-01,2.481226e-01
3,random,29,-5.344419282584e-01,3.054607e-01
3,random,30,-5.380482768247e-01,3.577246e-01
3,random,31,-5.460174886017e-01,3.749391e-01
3,random,32,-5.608913635353e-01,2.745363e-01
3,random,33,-5.813287873637e-01,2.794571e-01
3,random,34,-6.103083658724e-01,1.623032e-01
3,random,35,-6.326894079902e-01,1.639677e-01
3,random,36,-6.506136692901e-01,1.149329e-01
3,random,37,-6.533475191580e-01,4.746482e-02
3,random,38,-6.551332568961e-01,7.909778e-02
3,random,39,-6.595891454702e-01,1.056696e-01
3,random,40,-6.662734657733e-01,1.807177e-01
3,random,41,-6.805752487822e-01,1.983869e-01
3,random,42,-6.972664636371e-01,2.609436e-01
3,random,43,-7.094767402712e-01,8.946189e-02
3,random,44,-7.129696840942e-01,1.124804e-01
3,random,45,-7.185061930827e-01,8.226796e-02
3,random,46,-7.198918098298e-01,5.997046e-02
3,random,47,-7.216334968241e-01,4.478023e-02
3,random,48,-7.235474021837e-01,6.231010e-02
3,random,49,-7.256817461854e-01,5.336342e-02
3,random,50,-7.271844730475e-01,7.775837e-02
3,random,51,-7.310924516927e-01,6.122039e-02
3,random,52,-7.333687243299e-01,5.902788e-02
3,random,53,-7.344982406348e-01,4.401639e-02
3,random,54,-7.354819314390e-01,2.603962e-02
3,random,55,-7.357392954168e-01,1.597762e-02
3,random,56,-7.358746639076e-01,2.186102e-02
3,random,57,-7.359266897915e-01,9.673132e-03
3,random,58,-7.359596386493e-01,1.019604e-02
3,random,59,-7.360946178207e-01,1.572792e-02
3,random,60,-7.362018407807e-01,1.266764e-02
3,random,61,-7.364442168198e-01,2.786484e-02
3,random,62,-7.367553464015e-01,1.194702e-02
3,random,63,-7.368002390744e-01,8.483438e-03
3,random,64,-7.368293105715e-01,1.129638e-03
3,random,65,-7.368296924610e-01,2.382434e-04
3,random,66,-7.368296940192e-01,1.440689e-04
3,random,67,-7.368296970419e-01,2.114966e-05
3,random,68,-7.368296767134e-01,2.699469e-05
3,random,69,-7.368296924713e-01,4.408982e-06
3,random,70,-7.368296941939e-01,2.152534e-06
3,random,71,-7.368297049522e-01,9.716532e-07
