start,iteration,value,g_norm
3,1,-5.000075837432e-01,5.160941e-04
3,2,-5.128360474287e-01,9.066598e-02
3,3,-5.131697251011e-01,9.009156e-02
3,4,-5.980467543088e-01,2.071601e-01
3,5,-5.997920215546e-01,1.658843e-01
3,6,-6.304207874151e-01,1.469173e-01
3,7,-6.388204761697e-01,1.518621e-01
3,8,-6.470805872407e-01,1.819863e-01
3,9,-6.516861848927e-01,1.839634e-01
3,10,-6.559619202671e-01,7.026155e-02
3,11,-6.582778500945e-01,5.467831e-02
3,12,-6.599306666102e-01,4.406774e-02
3,13,-6.608059645048e-01,2.148091e-02
3,14,-6.609250201523e-01,1.867279e-02
3,15,-6.611882100010e-01,1.323099e-02
3,16,-6.612258956520e-01,6.839041e-03
3,17,-6.612345168741e-01,3.343412e-03
3,18,-6.612401329389e-01,4.360144e-03
3,19,-6.617530935955e-01,6.777985e-02
3,20,-6.621763336024e-01,1.261674e-01
3,21,-6.625154711514e-01,1.463597e-01
3,22,-6.659300650617e-01,2.154246e-01
3,23,-6.669141853698e-01,3.881829e-01
3,24,-6.716456870558e-01,2.561500e-01
3,25,-6.761882084215e-01,1.965950e-01
3,26,-6.855046837342e-01,1.765593e-01
3,27,-6.950218664442e-01,3.680688e-01
3,28,-7.034562584783e-01,1.294692e-01
3,29,-7.052110394016e-01,3.190869e-02
3,30,-7.054858437316e-01,5.562646e-02
3,31,-7.059121188865e-01,4.689557e-02
3,32,-7.064481301500e-01,3.828478e-02
3,33,-7.068673350052e-01,5.678562e-02
3,34,-7.074230745226e-01,3.092074e-02
3,35,-7.076683378887e-01,2.278257e-02
3,36,-7.080146405588e-01,5.534559e-02
3,37,-7.105459527846e-01,7.780048e-02
3,38,-7.121997008740e-01,8.131693e-02
3,39,-7.143414922675e-01,6.891275e-02
3,40,-7.152955600789e-01,7.392542e-02
3,41,-7.158513667656e-01,3.918120e-02
3,42,-7.160875656496e-01,2.294710e-02
3,43,-7.161544987264e-01,7.200462e-03
3,44,-7.161723357054e-01,5.532123e-03
3,45,-7.161766056380e-01,3.157968e-03
3,46,-7.161794210629e-01,2.989613e-03
3,47,-7.161826790514e-01,2.912123e-03
3,48,-7.161847761600e-01,4.961196e-04
3,49,-7.161842409150e-01,3.644135e-04
3,50,-7.161845504407e-01,5.777394e-04
3,51,-7.161851440501e-01,1.371997e-03
3,52,-7.161873811046e-01,3.768549e-03
3,53,-7.161909984300e-01,2.784208e-03
3,54,-7.161938779273e-01,2.450930e-03
3,55,-7.161987538029e-01,4.496378e-03
3,56,-7.162102025850e-01,3.724085e-03
3,57,-7.162138730703e-01,4.698313e-03
