start,iteration,value,g_norm
2,1,-4.977365180116e-01,2.419742e-02
2,2,-4.990617180977e-01,7.418583e-03
2,3,-5.000003238111e-01,9.313845e-06
2,4,-5.000160074469e-01,4.133741e-04
2,5,-5.000160606919e-01,4.145409e-04
2,6,-5.001270826947e-01,3.110082e-03
2,7,-5.001433415941e-01,3.758536e-03
2,8,-5.001869144433e-01,2.289647e-03
2,9,-5.013986968158e-01,2.112235e-02
2,10,-5.015531829064e-01,1.633767e-02
2,11,-5.016172191705e-01,1.325459e-02
2,12,-5.051185247321e-01,2.621721e-02
2,13,-5.096900244769e-01,7.662616e-02
2,14,-5.312476219919e-01,2.234370e-01
2,15,-5.486149272825e-01,7.017038e-01
2,16,-5.541768414566e-01,9.696969e-01
2,17,-5.548131400737e-01,1.002786e+00
2,18,-5.752072374899e-01,8.150387e-01
2,19,-6.239510848897e-01,3.688364e-01
2,20,-6.564364430336e-01,2.698894e-01
2,21,-6.656186742206e-01,4.047537e-01
2,22,-6.731344696429e-01,4.701902e-01
2,23,-6.809761376077e-01,2.720392e-01
2,24,-6.824736551278e-01,6.772017e-02
2,25,-6.830736703956e-01,7.825851e-02
2,26,-6.835774577605e-01,4.194101e-02
2,27,-6.840508161194e-01,2.828473e-02
2,28,-6.845170268053e-01,5.735529e-02
2,29,-6.848785158690e-01,3.022997e-02
2,30,-6.850037394504e-01,5.167258e-02
2,31,-6.851575043737e-01,1.302736e-02
2,32,-6.853100903304e-01,2.520531e-02
2,33,-6.854757591071e-01,4.292917e-02
2,34,-6.858747062393e-01,4.117447e-02
2,35,-6.863125404514e-01,5.091732e-02
2,36,-6.864778974803e-01,5.127517e-02
2,37,-6.868611582567e-01,4.763786e-02
2,38,-6.873528312351e-01,5.626445e-02
2,39,-6.881548432499e-01,1.083807e-01
2,40,-6.891917434059e-01,1.635624e-01
2,41,-6.911352904910e-01,9.871431e-02
2,42,-6.922625261380e-01,1.281964e-01
2,43,-6.925880705149e-01,6.934152e-02
2,44,-6.930958218171e-01,6.963876e-02
2,45,-6.935708392252e-01,6.238788e-02
2,46,-6.948478874478e-01,8.869487e-02
2,47,-6.964678447472e-01,6.629121e-02
2,48,-7.004041909265e-01,1.458445e-01
2,49,-7.033814894328e-01,1.320987e-01
2,50,-7.076694542196e-01,1.160163e-01
2,51,-7.100985005729e-01,1.463631e-01
2,52,-7.141955514033e-01,8.000483e-02
2,53,-7.179478982697e-01,1.339533e-01
2,54,-7.222722652928e-01,1.121600e-01
2,55,-7.229035553696e-01,5.202007e-02
2,56,-7.240378196810e-01,6.777068e-02
2,57,-7.246952125907e-01,5.282385e-02
2,58,-7.252996455105e-01,4.550743e-02
2,59,-7.260018500164e-01,5.416369e-02
2,60,-7.265652018389e-01,4.961377e-02
2,61,-7.270606444937e-01,3.443330e-02
2,62,-7.273466667711e-01,1.609341e-02
2,63,-7.274012176228e-01,1.212263e-02
2,64,-7.274496873129e-01,8.897356e-03
2,65,-7.274918800125e-01,1.423271e-02
2,66,-7.274933480711e-01,7.797039e-03
2,67,-7.275541217065e-01,2.255351e-02
2,68,-7.277803849505e-01,2.572015e-02
2,69,-7.278722127338e-01,2.635736e-02
2,70,-7.280596185788e-01,3.286827e-02
2,71,-7.281836441007e-01,2.901325e-02
2,72,-7.283936954985e-01,2.092375e-02
2,73,-7.285436241805e-01,2.059431e-02
2,74,-7.287119912717e-01,4.490659e-02
2,75,-7.288979583849e-01,2.230976e-02
2,76,-7.291511781655e-01,1.495012e-02
2,77,-7.291713294231e-01,1.335082e-02
2,78,-7.291968296976e-01,4.362494e-03
2,79,-7.291935502587e-01,4.418254e-03
2,80,-7.292215312424e-01,3.845349e-03
2,81,-7.292387025634e-01,7.186720e-03
2,82,-7.292703315075e-01,7.462306e-03
2,83,-7.292708684444e-01,7.540720e-03
2,84,-7.293088799530e-01,7.645614e-03
2,85,-7.293088802843e-01,7.526274e-03
2,86,-7.293105409900e-01,7.446751e-03
2,87,-7.293012048759e-01,7.506602e-03
2,88,-7.293036990074e-01,7.598311e-03
2,89,-7.293043411464e-01,7.591884e-03
2,90,-7.293134960034e-01,7.620351e-03
2,91,-7.293128797397e-01,7.681863e-03
2,92,-7.293132533292e-01,7.613974e-03
2,93,-7.293132533292e-01,7.613974e-03
