run_id,run_kind,runner_label,timestamp_utc,git_commit,git_branch,git_dirty,k,D,p,clause_sign,restarts,maxiters,seed,value,wall_time_seconds,best_start_wall_time_seconds,evaluations,starts,iterations,converged,gamma,beta
20260323T192911-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T19:29:11,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,1,1,8,100,1234,0.676056660061,0.598609,0.588518,889,9,7,true,3.6916431696544545,0.28737134807810527
20260323T192911-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T19:29:11,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,2,1,8,100,1234,0.739122784672,0.035556,0.002200,3402,9,10,true,5.860724485518708;3.862785933767188,1.9343887484187667;0.21145739998366236
20260323T192911-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T19:29:11,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,3,1,8,100,1234,0.777144062579,0.546415,0.029113,8602,9,11,true,5.921790570854449;3.765841282811016;3.8700221552576393,1.9545683201281856;0.2954713541937662;0.17591776149420163
20260323T192911-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T19:29:11,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,4,1,8,100,1234,0.802204018074,9.514625,1.015540,26784,9,60,true,5.958874533516937;3.705175524665677;3.783233481273309;3.8748790841382696,1.957896377290465;0.3147950526901933;0.2661397636222402;0.15295435254999018
20260323T192911-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T19:29:11,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,5,1,8,100,1234,0.820480966925,108.412502,11.349401,52656,9,100,false,5.983716068566766;3.669913301619184;3.7264530151402298;3.78942119682449;3.8795683529877016,1.9596365066464172;0.32072703490883525;0.28570742103263824;0.2467063745509173;0.1354052118358093
