start,iteration,value,g_norm
3,0,-5.000000328290e-01,1.863930e-06
3,1,-5.357504737888e-01,2.019457e-01
3,2,-5.357504743770e-01,2.019467e-01
3,3,-6.759114269092e-01,3.642765e-01
3,4,-6.874189371020e-01,1.549615e-01
3,5,-6.923873215469e-01,8.573576e-02
3,6,-6.942136792567e-01,3.502106e-02
3,7,-6.952896299205e-01,6.392937e-02
3,8,-6.974846691311e-01,1.238319e-01
3,9,-6.991152124483e-01,1.478583e-01
3,10,-7.064281768589e-01,1.010371e-01
3,11,-7.094050940509e-01,9.154372e-02
3,12,-7.124228142908e-01,3.396477e-02
3,13,-7.129751646046e-01,2.783253e-02
3,14,-7.135787947922e-01,3.025225e-02
3,15,-7.138969173246e-01,2.152533e-02
3,16,-7.140502171421e-01,9.894481e-03
3,17,-7.140987215243e-01,6.551656e-03
3,18,-7.141531834236e-01,1.697234e-02
3,19,-7.144335511884e-01,1.066789e-02
3,20,-7.144715657134e-01,1.199364e-02
3,21,-7.145058864535e-01,3.852809e-03
3,22,-7.145211703959e-01,3.452007e-03
3,23,-7.146120087380e-01,7.869382e-03
3,24,-7.147497268910e-01,2.143081e-02
3,25,-7.147995550443e-01,2.388389e-02
3,26,-7.151274506201e-01,3.763870e-02
3,27,-7.153037802959e-01,4.408350e-02
3,28,-7.156491186726e-01,5.137929e-02
3,29,-7.161119801496e-01,6.001138e-02
3,30,-7.164081263089e-01,6.128038e-02
3,31,-7.172322592507e-01,6.531857e-02
3,32,-7.183430465180e-01,6.788297e-02
3,33,-7.194451910185e-01,8.065401e-02
3,34,-7.242476203415e-01,9.851394e-02
3,35,-7.263838457795e-01,6.378204e-02
3,36,-7.280386502927e-01,4.864001e-02
3,37,-7.292961751322e-01,3.705153e-02
3,38,-7.298037572302e-01,2.831629e-02
3,39,-7.302560295909e-01,2.981090e-02
3,40,-7.304583113039e-01,5.025748e-03
3,41,-7.305183931423e-01,6.354865e-03
3,42,-7.307785415288e-01,4.826708e-02
3,43,-7.329742167442e-01,5.974344e-02
3,44,-7.331320430304e-01,5.981464e-02
3,45,-7.347003441417e-01,6.527557e-02
3,46,-7.354117126799e-01,7.396069e-02
3,47,-7.373168139549e-01,6.417595e-02
3,48,-7.401074004671e-01,8.250976e-02
3,49,-7.412152816044e-01,5.920218e-02
3,50,-7.428102043451e-01,3.960224e-02
3,51,-7.433460979641e-01,1.817623e-02
3,52,-7.435280130829e-01,1.103522e-02
3,53,-7.436071277625e-01,9.923282e-03
3,54,-7.436961548946e-01,6.973761e-03
3,55,-7.437199642374e-01,3.278655e-03
3,56,-7.437233881002e-01,3.286163e-04
3,57,-7.437234703824e-01,6.443756e-05
3,58,-7.437234716916e-01,1.202142e-05
3,59,-7.437234717353e-01,1.649782e-06
3,60,-7.437234717381e-01,5.798641e-07
