start,kind,iteration,value,g_norm
1,warm,0,-7.113658140613e-01,2.522896e-01
1,warm,1,-7.294368029801e-01,7.169598e-02
1,warm,2,-7.320029487313e-01,4.525817e-02
1,warm,3,-7.331075206744e-01,2.713335e-02
1,warm,4,-7.332907994294e-01,7.927566e-03
1,warm,5,-7.333189774104e-01,6.399383e-03
1,warm,6,-7.333559923819e-01,1.017088e-02
1,warm,7,-7.333951088293e-01,4.236090e-03
1,warm,8,-7.334422382582e-01,5.183876e-03
1,warm,9,-7.334785821860e-01,4.000447e-03
1,warm,10,-7.334865447775e-01,8.664433e-04
1,warm,11,-7.334869909686e-01,6.638419e-05
1,warm,12,-7.334869924857e-01,4.121281e-06
1,warm,13,-7.334869924928e-01,1.838118e-07
2,random,0,-4.999812627565e-01,9.190329e-04
2,random,1,-4.999996567616e-01,3.819283e-05
2,random,2,-5.144632256470e-01,1.855504e-01
2,random,3,-5.196026913419e-01,1.343824e-01
2,random,4,-5.586265642685e-01,3.137038e-01
2,random,5,-5.586694761822e-01,3.058491e-01
2,random,6,-6.102713656031e-01,3.253314e-01
2,random,7,-6.425080356090e-01,3.797531e-01
2,random,8,-6.745883774460e-01,1.202411e-01
2,random,9,-6.835377797728e-01,6.327045e-02
2,random,10,-6.873568548657e-01,7.955856e-02
2,random,11,-6.921606291721e-01,7.713262e-02
2,random,12,-6.938308999453e-01,4.772050e-02
2,random,13,-6.944005781972e-01,1.268981e-02
2,random,14,-6.945057255718e-01,9.713291e-03
2,random,15,-6.945650782152e-01,5.609578e-03
2,random,16,-6.945735098530e-01,1.222113e-03
2,random,17,-6.945766388768e-01,2.009457e-03
2,random,18,-6.945789472074e-01,2.453041e-04
2,random,19,-6.945789920462e-01,5.136092e-05
2,random,20,-6.945789939811e-01,9.863543e-06
2,random,21,-6.945789940450e-01,1.558873e-07
3,random,0,-4.999999980320e-01,1.711249e-07
