start,iteration,value,g_norm
3,1,-5.000070588423e-01,3.973354e-04
3,2,-5.000355420680e-01,8.506116e-04
3,3,-5.000444707924e-01,1.001244e-03
3,4,-5.000514400113e-01,1.034950e-03
3,5,-5.000669779735e-01,9.592641e-04
3,6,-5.000783513855e-01,8.158852e-04
3,7,-5.001037100756e-01,1.673757e-03
3,8,-5.001440538093e-01,3.493194e-03
3,9,-5.002154832268e-01,9.076741e-03
3,10,-5.003029542188e-01,1.746713e-02
3,11,-5.003788681454e-01,6.273853e-02
3,12,-5.041328663104e-01,2.351281e-02
3,13,-5.066703596298e-01,1.310284e-01
3,14,-5.529899649185e-01,3.941252e-01
3,15,-5.566909896325e-01,3.806034e-01
3,16,-5.604694461704e-01,1.606447e-01
3,17,-5.801238593034e-01,2.478617e-01
3,18,-6.242112473930e-01,2.034203e-01
3,19,-6.391691013325e-01,2.760380e-01
3,20,-6.544923439725e-01,2.417292e-01
3,21,-6.763248450601e-01,2.805559e-01
3,22,-6.942269878342e-01,1.701951e-01
3,23,-7.094488864057e-01,2.177581e-01
3,24,-7.228538262411e-01,1.206921e-01
3,25,-7.255593504766e-01,6.217091e-02
3,26,-7.277193268344e-01,6.623961e-02
3,27,-7.285480086177e-01,5.187542e-02
3,28,-7.301207200635e-01,4.863693e-02
3,29,-7.327528170764e-01,5.202260e-02
3,30,-7.343958049120e-01,6.516125e-02
3,31,-7.366881854877e-01,7.934207e-02
3,32,-7.386505715320e-01,5.414432e-02
3,33,-7.391607036470e-01,3.351533e-02
3,34,-7.399454561256e-01,4.625485e-02
3,35,-7.404050220426e-01,2.857008e-02
3,36,-7.406594394706e-01,3.269465e-02
3,37,-7.409359954974e-01,1.430020e-02
3,38,-7.410105295007e-01,9.040830e-03
3,39,-7.410803745438e-01,1.080707e-02
3,40,-7.411654602098e-01,1.787655e-02
3,41,-7.413034434074e-01,2.317948e-02
3,42,-7.414593997300e-01,1.595528e-02
3,43,-7.416432829333e-01,1.460098e-02
3,44,-7.417140224280e-01,7.826371e-03
3,45,-7.417484663097e-01,8.999876e-03
3,46,-7.417708312447e-01,6.637278e-03
3,47,-7.417881189744e-01,4.633659e-03
3,48,-7.418285753775e-01,8.018646e-03
3,49,-7.418503771633e-01,6.506300e-03
3,50,-7.418746829987e-01,8.562991e-03
3,51,-7.419155373218e-01,1.364605e-02
3,52,-7.419447509867e-01,1.717673e-02
3,53,-7.420090676509e-01,2.567576e-02
3,54,-7.421448435058e-01,3.921076e-02
3,55,-7.422064733057e-01,3.174884e-02
3,56,-7.424795422997e-01,2.541077e-02
3,57,-7.425939606041e-01,3.668765e-02
3,58,-7.427608060717e-01,2.281964e-02
3,59,-7.429083659174e-01,1.510381e-02
3,60,-7.430061125311e-01,2.139938e-02
3,61,-7.430864332246e-01,1.716237e-02
3,62,-7.431590072768e-01,1.231761e-02
3,63,-7.434047152234e-01,2.048379e-02
3,64,-7.435652902110e-01,1.129566e-02
3,65,-7.436474757791e-01,1.070628e-02
3,66,-7.437336653246e-01,1.712513e-02
3,67,-7.437883780254e-01,1.333845e-02
3,68,-7.438033422147e-01,4.785146e-03
3,69,-7.438085642547e-01,2.920239e-03
3,70,-7.438119576826e-01,3.590138e-03
3,71,-7.438158986731e-01,2.050469e-03
3,72,-7.438222110520e-01,2.812635e-03
3,73,-7.438253208830e-01,2.686823e-03
3,74,-7.438287101198e-01,1.463417e-03
3,75,-7.438293823150e-01,7.015555e-04
3,76,-7.438296868921e-01,3.752256e-04
3,77,-7.438297597020e-01,4.160312e-04
3,78,-7.438300629538e-01,1.000586e-03
3,79,-7.438303637926e-01,6.636607e-04
3,80,-7.438305334692e-01,6.247598e-04
3,81,-7.438306415603e-01,9.506412e-04
3,82,-7.438309567463e-01,5.210858e-04
3,83,-7.438317018077e-01,5.545110e-04
3,84,-7.438319488240e-01,8.906180e-04
3,85,-7.438331779116e-01,2.030155e-03
3,86,-7.438350446262e-01,1.990952e-03
3,87,-7.438376423631e-01,1.367472e-03
3,88,-7.438457675698e-01,2.483935e-03
3,89,-7.438484117814e-01,1.482598e-03
3,90,-7.438488066253e-01,4.196775e-04
3,91,-7.438489306279e-01,4.878137e-04
3,92,-7.438489295215e-01,5.915396e-04
3,93,-7.438490973641e-01,2.272176e-04
3,94,-7.438490916693e-01,1.344169e-04
3,95,-7.438490641819e-01,1.545464e-04
3,96,-7.438491180927e-01,1.130999e-04
3,97,-7.438491454861e-01,6.921955e-05
3,98,-7.438491034718e-01,1.055239e-04
3,99,-7.438490750638e-01,3.175013e-05
3,100,-7.438491543810e-01,3.353421e-05
3,101,-7.438491521268e-01,1.868202e-05
3,102,-7.438491483810e-01,7.975743e-06
3,103,-7.438491290466e-01,1.301053e-05
3,104,-7.438491266279e-01,5.236326e-06
3,105,-7.438492194138e-01,7.848667e-06
3,106,-7.438490919311e-01,7.791425e-06
3,107,-7.438491690108e-01,3.013736e-06
3,108,-7.438491008178e-01,3.074057e-06
3,109,-7.438491113803e-01,4.094741e-06
3,110,-7.438490831070e-01,1.526717e-06
3,111,-7.438491795877e-01,1.159444e-06
3,112,-7.438491755251e-01,1.539605e-06
3,113,-7.438491446780e-01,9.543925e-07
