start,iteration,value,g_norm
3,0,-4.999713843377e-01,1.398051e-02
3,1,-5.088440391311e-01,8.896654e-02
3,2,-5.091460820545e-01,8.149207e-02
3,3,-6.028734114387e-01,4.090681e-01
3,4,-6.076264595608e-01,4.670789e-01
3,5,-6.164089978477e-01,3.070211e-01
3,6,-6.453181757165e-01,2.695083e-01
3,7,-6.586496246756e-01,1.128681e-01
3,8,-6.610828786225e-01,2.451981e-02
3,9,-6.612888267681e-01,5.502079e-03
3,10,-6.613160185419e-01,6.581796e-03
3,11,-6.613864512507e-01,9.555687e-03
3,12,-6.613960168503e-01,1.564921e-03
3,13,-6.613992141672e-01,3.702203e-03
3,14,-6.618494769659e-01,7.755299e-02
3,15,-6.624732968460e-01,3.563443e-02
3,16,-6.648727401731e-01,6.970167e-02
3,17,-6.651358890880e-01,6.070365e-02
3,18,-6.696897592635e-01,7.738402e-02
3,19,-6.709306365646e-01,6.489082e-02
3,20,-6.723018419531e-01,2.194053e-02
3,21,-6.725836315002e-01,8.448893e-03
3,22,-6.726465053459e-01,6.027810e-03
3,23,-6.726549404204e-01,1.255019e-03
3,24,-6.726555386833e-01,6.296619e-04
3,25,-6.726558526104e-01,1.543334e-04
3,26,-6.726558568848e-01,4.311725e-05
3,27,-6.726558575634e-01,1.298363e-06
3,28,-6.726558575641e-01,2.903900e-08
