start,kind,iteration,value,g_norm
1,warm,1,-7.416990211172e-01,3.056820e-01
1,warm,2,-7.541864334727e-01,7.568329e-02
1,warm,3,-7.550243754650e-01,6.065491e-02
1,warm,4,-7.558219493613e-01,5.863853e-02
1,warm,5,-7.564422673688e-01,2.877157e-02
1,warm,6,-7.566242904769e-01,1.787759e-02
1,warm,7,-7.567524011880e-01,1.187138e-02
1,warm,8,-7.567759001212e-01,5.555438e-03
1,warm,9,-7.567881443811e-01,5.708422e-03
1,warm,10,-7.567929492237e-01,8.098828e-04
1,warm,11,-7.567933166432e-01,8.545872e-04
1,warm,12,-7.567938092709e-01,2.891431e-04
1,warm,13,-7.567938697182e-01,6.929957e-05
1,warm,14,-7.567938634442e-01,3.115740e-05
1,warm,15,-7.567938633116e-01,1.157215e-05
1,warm,16,-7.567938646018e-01,9.690411e-07
2,random,1,-4.999942048645e-01,1.636853e-04
2,random,2,-4.999999006258e-01,1.458339e-05
2,random,3,-5.000001783893e-01,1.490499e-05
2,random,4,-5.000514236870e-01,1.395156e-03
2,random,5,-5.000516821154e-01,1.486288e-03
2,random,6,-5.032571314573e-01,4.100193e-02
2,random,7,-5.032595688244e-01,4.182762e-02
2,random,8,-6.055126008216e-01,4.106343e-01
2,random,9,-6.057835318099e-01,4.047402e-01
2,random,10,-6.059650355938e-01,3.854195e-01
2,random,11,-6.148478586444e-01,3.259508e-01
2,random,12,-6.639712675485e-01,3.424711e-01
2,random,13,-6.792065590079e-01,2.522550e-01
2,random,14,-6.981142278562e-01,2.488320e-01
2,random,15,-7.082536849374e-01,1.223398e-01
2,random,16,-7.119247722034e-01,9.320314e-02
2,random,17,-7.150895035262e-01,9.771012e-02
2,random,18,-7.170169867705e-01,6.430334e-02
2,random,19,-7.175021850407e-01,6.926801e-02
2,random,20,-7.178333336417e-01,3.569896e-02
2,random,21,-7.179650479861e-01,1.346979e-02
2,random,22,-7.180084674782e-01,4.589297e-03
2,random,23,-7.180174609810e-01,2.858361e-03
2,random,24,-7.180203047766e-01,1.487025e-03
2,random,25,-7.180209135005e-01,6.166690e-04
2,random,26,-7.180212412150e-01,3.726701e-04
2,random,27,-7.180212855388e-01,4.449289e-05
2,random,28,-7.180212893564e-01,3.742223e-05
2,random,29,-7.180212956251e-01,1.178614e-04
2,random,30,-7.180234435718e-01,4.871683e-03
2,random,31,-7.180254124646e-01,6.174034e-03
2,random,32,-7.180272702534e-01,6.970007e-03
2,random,33,-7.180299897759e-01,7.258003e-03
2,random,34,-7.180357732344e-01,6.747987e-03
2,random,35,-7.180371752117e-01,6.371217e-03
2,random,36,-7.180427571325e-01,1.344605e-03
2,random,37,-7.180430077666e-01,3.924024e-04
2,random,38,-7.180430585581e-01,9.100519e-05
2,random,39,-7.180430600728e-01,4.256675e-05
2,random,40,-7.180430609493e-01,3.037196e-05
2,random,41,-7.180430662869e-01,2.407663e-05
2,random,42,-7.180430615653e-01,7.014432e-06
2,random,43,-7.180430631629e-01,2.096692e-06
2,random,44,-7.180430619033e-01,4.174253e-07
3,random,1,-5.000041545572e-01,1.494418e-04
3,random,2,-5.179927796708e-01,1.696201e-01
3,random,3,-5.179937493287e-01,1.690372e-01
3,random,4,-6.222933944587e-01,4.189128e-01
3,random,5,-6.584907461959e-01,1.195318e-01
3,random,6,-6.600247800335e-01,1.489761e-01
3,random,7,-6.633556012976e-01,1.636100e-01
3,random,8,-6.688860610554e-01,1.029176e-01
3,random,9,-6.703141859746e-01,7.923535e-02
3,random,10,-6.718246760710e-01,1.628224e-02
3,random,11,-6.718793148826e-01,1.328388e-02
3,random,12,-6.719726514667e-01,2.877907e-02
3,random,13,-6.721394625873e-01,1.423155e-02
3,random,14,-6.721639762357e-01,2.605826e-03
3,random,15,-6.721781175344e-01,1.021672e-02
3,random,16,-6.723465934166e-01,2.742278e-02
3,random,17,-6.723977090542e-01,3.399434e-02
3,random,18,-6.726988179219e-01,5.444833e-02
3,random,19,-6.732707261302e-01,8.294359e-02
3,random,20,-6.747107673444e-01,5.696521e-02
3,random,21,-6.769265261136e-01,3.566161e-02
3,random,22,-6.771903650530e-01,3.186111e-02
3,random,23,-6.775068503844e-01,4.217688e-02
3,random,24,-6.776618761695e-01,2.923506e-02
3,random,25,-6.777994296537e-01,1.081642e-02
3,random,26,-6.778240856372e-01,5.035486e-03
3,random,27,-6.778332124691e-01,7.366895e-03
3,random,28,-6.778514517505e-01,2.585720e-03
3,random,29,-6.778533354770e-01,2.060524e-03
3,random,30,-6.778554109477e-01,2.465782e-03
3,random,31,-6.784431591924e-01,2.890555e-02
3,random,32,-6.785204058253e-01,3.555445e-02
3,random,33,-6.786852153184e-01,3.740447e-02
3,random,34,-6.787092806113e-01,3.706514e-02
3,random,35,-6.788989234125e-01,9.583592e-03
3,random,36,-6.789076076179e-01,9.853844e-04
3,random,37,-6.789080208741e-01,3.662785e-04
3,random,38,-6.789080496878e-01,1.209722e-04
3,random,39,-6.789080436116e-01,1.534324e-05
3,random,40,-6.789080379903e-01,3.942589e-06
3,random,41,-6.789080462816e-01,1.564196e-06
3,random,42,-6.789080435744e-01,3.990890e-07
