start,kind,iteration,value,g_norm
1,warm,1,-7.763773709163e-01,2.815552e-01
1,warm,2,-7.832289255120e-01,1.218109e-01
1,warm,3,-7.846994019057e-01,8.645630e-02
1,warm,4,-7.854498712119e-01,4.419708e-02
1,warm,5,-7.860532040688e-01,4.717255e-02
1,warm,6,-7.865381125480e-01,5.330658e-02
1,warm,7,-7.875019805424e-01,2.330017e-02
1,warm,8,-7.875041502169e-01,2.409363e-02
1,warm,9,-7.875083601132e-01,2.294922e-02
1,warm,10,-7.874129633597e-01,2.377319e-02
1,warm,11,-7.874490941890e-01,1.644897e-02
1,warm,12,-7.874491525059e-01,1.596069e-02
1,warm,13,-7.874869728146e-01,1.562500e-02
1,warm,14,-7.875191475236e-01,1.544189e-02
1,warm,15,-7.875524453463e-01,1.586914e-02
1,warm,16,-7.875524453463e-01,1.586914e-02
2,random,1,-5.000762965037e-01,2.512818e-03
2,random,2,-5.042432509730e-01,2.101390e-02
2,random,3,-5.048805464271e-01,2.401785e-02
2,random,4,-5.314228562688e-01,1.874233e-01
2,random,5,-5.417560239285e-01,2.772603e-01
2,random,6,-5.692909603932e-01,4.101489e-01
2,random,7,-5.781221215189e-01,4.373768e-01
2,random,8,-5.860193921371e-01,3.160106e-01
2,random,9,-6.193843587594e-01,4.311373e-01
2,random,10,-6.215624997280e-01,5.300703e-01
2,random,11,-6.505142486892e-01,4.220003e-01
2,random,12,-6.564852037340e-01,2.240175e-01
2,random,13,-6.602104713652e-01,1.955430e-01
2,random,14,-6.626469288006e-01,1.510649e-01
2,random,15,-6.646530494888e-01,1.551490e-01
2,random,16,-6.670402616671e-01,9.272493e-02
2,random,17,-6.686887465235e-01,5.759419e-02
2,random,18,-6.702625640522e-01,7.114117e-02
2,random,19,-6.707309125576e-01,3.186429e-02
2,random,20,-6.708468130619e-01,2.033513e-02
2,random,21,-6.711514503727e-01,4.962865e-02
2,random,22,-6.716599286220e-01,4.102293e-02
2,random,23,-6.720158802195e-01,3.709695e-02
2,random,24,-6.723787454682e-01,3.595783e-02
2,random,25,-6.726079203049e-01,3.472465e-02
2,random,26,-6.729957410066e-01,4.036950e-02
2,random,27,-6.739887831068e-01,6.956531e-02
2,random,28,-6.746131760196e-01,5.764494e-02
2,random,29,-6.754735809055e-01,9.628963e-02
2,random,30,-6.765677912680e-01,1.115092e-01
2,random,31,-6.776303962920e-01,4.026721e-02
2,random,32,-6.781363408903e-01,4.846017e-02
2,random,33,-6.790804931372e-01,5.505770e-02
2,random,34,-6.802400338885e-01,3.846569e-02
2,random,35,-6.804445190141e-01,2.910298e-02
2,random,36,-6.807542459287e-01,4.970369e-02
2,random,37,-6.813022299853e-01,4.747990e-02
2,random,38,-6.822975239616e-01,8.580148e-02
2,random,39,-6.839703534983e-01,1.323727e-01
2,random,40,-6.861900393796e-01,8.895113e-02
2,random,41,-6.917906992780e-01,2.112039e-01
2,random,42,-6.963397643778e-01,9.072748e-02
2,random,43,-6.969857522244e-01,6.313995e-02
2,random,44,-6.979177383614e-01,8.992631e-02
2,random,45,-6.983012855607e-01,4.449599e-02
2,random,46,-6.990664846351e-01,4.878670e-02
2,random,47,-6.995738993774e-01,4.636875e-02
2,random,48,-7.004188711313e-01,3.027208e-02
2,random,49,-7.006986082427e-01,2.295938e-02
2,random,50,-7.008303231840e-01,2.302363e-02
2,random,51,-7.008509832760e-01,2.297377e-02
2,random,52,-7.008825504961e-01,2.300864e-02
2,random,53,-7.008818795344e-01,2.304217e-02
2,random,54,-7.008816269965e-01,2.301556e-02
2,random,55,-7.009153956488e-01,2.301335e-02
2,random,56,-7.009217224640e-01,2.298556e-02
2,random,57,-7.008273619459e-01,2.299815e-02
2,random,58,-7.008272962931e-01,2.297694e-02
2,random,59,-7.008222132595e-01,2.299155e-02
2,random,60,-7.008285586712e-01,2.084113e-02
2,random,61,-7.008410855446e-01,2.077788e-02
2,random,62,-7.008411041472e-01,2.141189e-02
2,random,63,-7.009203566160e-01,2.076365e-02
2,random,64,-7.009209923427e-01,2.050463e-02
2,random,65,-7.012331542281e-01,2.036750e-02
2,random,66,-7.012402495623e-01,2.014616e-02
2,random,67,-7.013834852742e-01,1.687929e-02
2,random,68,-7.014655574716e-01,1.992035e-02
2,random,69,-7.020061513008e-01,2.758789e-02
2,random,70,-7.023440325164e-01,3.066635e-02
2,random,71,-7.024530766266e-01,1.451517e-02
2,random,72,-7.025137767245e-01,9.805409e-03
2,random,73,-7.026814383323e-01,1.804125e-02
2,random,74,-7.027566332583e-01,1.587230e-02
2,random,75,-7.029076273492e-01,1.104943e-02
2,random,76,-7.029879863138e-01,6.883144e-03
2,random,77,-7.030657915777e-01,1.050222e-02
2,random,78,-7.031175491886e-01,1.192544e-02
2,random,79,-7.031623706890e-01,2.336343e-02
2,random,80,-7.032564738284e-01,1.509737e-02
2,random,81,-7.032711338193e-01,1.572000e-02
2,random,82,-7.034692105389e-01,1.078766e-02
2,random,83,-7.034911534068e-01,1.073164e-02
2,random,84,-7.035352193755e-01,1.191002e-02
2,random,85,-7.035366537452e-01,1.223892e-02
2,random,86,-7.035691412678e-01,1.137894e-02
2,random,87,-7.035757040796e-01,1.132607e-02
2,random,88,-7.035949545662e-01,9.862483e-03
2,random,89,-7.036311626938e-01,1.289797e-02
2,random,90,-7.036311626938e-01,1.289797e-02
2,random,91,-7.036307924509e-01,1.117837e-02
2,random,92,-7.036247135194e-01,1.220864e-02
2,random,93,-7.037114536507e-01,1.037216e-02
2,random,94,-7.037021427110e-01,1.237381e-02
2,random,95,-7.037051051188e-01,1.080763e-02
2,random,96,-7.037051051188e-01,1.080763e-02
3,random,1,-5.000189108797e-01,2.992108e-04
3,random,2,-5.107710307434e-01,4.033510e-01
3,random,3,-5.311737904763e-01,3.413110e-01
3,random,4,-5.662916194061e-01,2.474876e-01
3,random,5,-5.766786062829e-01,2.625945e-01
3,random,6,-5.866807111418e-01,6.940789e-01
3,random,7,-6.268470442689e-01,3.605672e-01
3,random,8,-6.592569643945e-01,2.047049e-01
3,random,9,-6.775888669414e-01,2.295938e-01
3,random,10,-6.876845519566e-01,8.311192e-02
3,random,11,-6.889064884008e-01,8.324850e-02
3,random,12,-6.899826697298e-01,8.540677e-02
3,random,13,-6.903375696193e-01,3.852937e-02
3,random,14,-6.910257037460e-01,4.751369e-02
3,random,15,-6.933073109254e-01,4.444224e-02
3,random,16,-6.940829385302e-01,5.000292e-02
3,random,17,-6.950060385520e-01,2.840542e-02
3,random,18,-6.953674280621e-01,2.398496e-02
3,random,19,-6.957282213590e-01,2.478293e-02
3,random,20,-6.959079491314e-01,8.177087e-03
3,random,21,-6.959248569706e-01,8.058667e-03
3,random,22,-6.959402988465e-01,1.846711e-02
3,random,23,-6.959804906755e-01,1.658966e-02
3,random,24,-6.960602508373e-01,1.649429e-02
3,random,25,-6.960626991757e-01,1.647264e-02
3,random,26,-6.960626991757e-01,1.647264e-02
3,random,27,-6.961231974327e-01,7.453354e-03
3,random,28,-6.962224072517e-01,7.425213e-03
3,random,29,-6.962224072517e-01,7.425213e-03
3,random,30,-6.962224072517e-01,7.425213e-03
