run_id,run_kind,runner_label,timestamp_utc,git_commit,git_branch,git_dirty,k,D,p,clause_sign,restarts,maxiters,seed,value,wall_time_seconds,best_start_wall_time_seconds,evaluations,starts,iterations,converged,retry_count,best_start_kind,gamma,beta
20260323T193457-k3-d4-p1-5-r8-i100-s1234,experiment,unknown,2026-03-23T19:34:57,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,1,1,8,100,1234,0.676056660061,0.654823,0.643733,889,9,7,true,0,unknown,3.6916431696544545,0.28737134807810527
20260323T193457-k3-d4-p1-5-r8-i100-s1234,experiment,unknown,2026-03-23T19:34:57,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,2,1,8,100,1234,0.739122784672,0.036800,0.002349,3402,9,10,true,0,unknown,5.860724485518708;3.862785933767188,1.9343887484187667;0.21145739998366236
20260323T193457-k3-d4-p1-5-r8-i100-s1234,experiment,unknown,2026-03-23T19:34:57,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,3,1,8,100,1234,0.777144062579,0.574266,0.028607,8602,9,11,true,0,unknown,5.921790570854449;3.765841282811016;3.8700221552576393,1.9545683201281856;0.2954713541937662;0.17591776149420163
20260323T193457-k3-d4-p1-5-r8-i100-s1234,experiment,unknown,2026-03-23T19:34:57,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,4,1,8,100,1234,0.802204018074,10.079157,1.094786,26784,9,60,true,0,unknown,5.958874533516937;3.705175524665677;3.783233481273309;3.8748790841382696,1.957896377290465;0.3147950526901933;0.2661397636222402;0.15295435254999018
20260323T193457-k3-d4-p1-5-r8-i100-s1234,experiment,unknown,2026-03-23T19:34:57,f8c3382ff89c3aff73fd4da99de2f3bab28a7d28,feature/phase4-optimization,true,3,4,5,1,8,100,1234,0.820480966925,114.409581,11.989593,52656,9,100,false,0,unknown,5.983716068566766;3.669913301619184;3.7264530151402298;3.78942119682449;3.8795683529877016,1.9596365066464172;0.32072703490883525;0.28570742103263824;0.2467063745509173;0.1354052118358093
20260323T203040-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:30:40,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,2,3,1,-1,8,100,1234,0.692450089730,0.585747,0.000141,794,9,5,true,0,random,0.6154797087641387,0.39269908134113113
20260323T203040-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:30:40,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,2,3,2,-1,8,100,1234,0.755906458453,0.067814,0.002382,3474,9,12,true,0,random,0.48783553586550377;4.039431847818213,0.5549041860733214;2.8492119132201448
20260323T203040-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:30:40,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,2,3,3,-1,8,100,1234,0.792398428764,0.573260,0.031677,9278,9,15,true,0,warm,0.42186113316138546;3.939995127070577;4.078573273083863,0.6089502072636294;2.682024935052651;0.2356701764481084
20260323T203040-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:30:40,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,2,3,4,-1,4,200,1234,0.816876564852,3.543058,0.326184,10290,5,20,true,0,warm,0.4087516344784715;3.9221618988106557;4.129628007023221;4.298499941801516,0.5995603247737983;2.7072502692158915;0.2967582915261642;2.9825571664751127
20260323T203040-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:30:40,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,2,3,5,-1,2,400,1234,0.836380825133,18.586279,2.469386,9327,3,22,true,0,warm,0.35923629420705433;3.8476788989036943;3.9636825301498266;4.145789431061988;4.295528976111517,0.6316660118950476;2.6190652114458883;0.3901385088190669;2.865600421384846;0.1492956243287522
20260323T203508-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:35:08,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,3,4,1,1,8,100,1234,0.676056660061,0.617248,0.606953,889,9,7,true,0,random,3.6916431696544545,0.28737134807810527
20260323T203508-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:35:08,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,3,4,2,1,8,100,1234,0.739122784672,0.033975,0.002172,3402,9,10,true,0,random,5.860724485518708;3.862785933767188,1.9343887484187667;0.21145739998366236
20260323T203508-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:35:08,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,3,4,3,1,8,100,1234,0.777144062579,0.537875,0.026471,8602,9,11,true,0,warm,5.921790570854449;3.765841282811016;3.8700221552576393,1.9545683201281856;0.2954713541937662;0.17591776149420163
20260323T203508-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:35:08,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,3,4,4,1,4,200,1234,0.802204018074,4.805334,1.002878,13571,5,60,true,0,warm,5.958874533516937;3.705175524665677;3.783233481273309;3.8748790841382696,1.957896377290465;0.3147950526901933;0.2661397636222402;0.15295435254999018
20260323T203508-k3-d4-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:35:08,b74226c1d8c984768196160b53cc3f376a1f4c48,main,true,3,4,5,1,2,800,1234,0.820480966927,237.980307,45.907550,120607,4,400,false,1,warm,5.983716062834658;3.6699133057483966;3.7264530063036907;3.7894211762314245;3.8795683406926535,1.9596365002817981;0.32072701895427164;0.28570739971871856;0.246706311904454;0.13540516269482952
20260323T204737-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:47:37,71e795d55bcb451307784d6287917e996763ad0f,main,true,2,3,1,-1,8,100,1234,0.692450089730,0.587576,0.000144,794,9,5,true,0,random,0.6154797087641387,0.39269908134113113
20260323T204737-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:47:37,71e795d55bcb451307784d6287917e996763ad0f,main,true,2,3,2,-1,8,100,1234,0.755906458453,0.068090,0.002218,3501,9,12,true,0,random,0.48783553589888645;4.039431847818153,0.5549041860139214;2.849211913252166
20260323T204737-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:47:37,71e795d55bcb451307784d6287917e996763ad0f,main,true,2,3,3,-1,8,100,1234,0.792398428764,0.578650,0.034504,9278,9,15,true,0,warm,0.4218611331008112;3.939995127057334;4.078573273109397,0.6089502074145646;2.682024934952086;0.23567017651732858
20260323T204737-k2-d3-p1-5-r8-i100-s1234,experiment,devbox,2026-03-23T20:47:37,71e795d55bcb451307784d6287917e996763ad0f,main,true,2,3,4,-1,4,200,1234,0.816876564852,3.642819,0.334208,10341,5,20,true,0,warm,0.40875163476776694;3.9221618992742537;4.12962800735057;4.298499941749388,0.5995603248809865;2.7072502692114715;0.2967582914197397;2.9825571663964197
