step,N,rank_1e-12,rank_1e-10,rank_1e-8,rank_1e-6,rank_1e-4,rank_1e-2
0,128,1,1,1,1,1,1
1,128,32,32,32,32,32,32
2,128,32,32,32,32,32,32
3,128,32,32,32,32,32,32
