step,N,rank_1e-12,rank_1e-10,rank_1e-8,rank_1e-6,rank_1e-4,rank_1e-2
0,512,1,1,1,1,1,1
1,512,128,128,128,128,128,114
2,512,128,128,128,128,128,108
3,512,128,128,128,128,128,108
4,512,128,128,128,128,128,108
