step,N,rank_1e-12,rank_1e-10,rank_1e-8,rank_1e-6,rank_1e-4,rank_1e-2
0,8192,1,1,1,1,1,1
1,8192,2048,2048,2048,2048,2048,1042
2,8192,2048,2048,2048,2048,2048,366
3,8192,2048,2048,2048,2048,2048,460
4,8192,2048,2048,2048,2048,2044,544
5,8192,2048,2048,2048,2048,2048,601
6,8192,2048,2048,2048,2048,2048,617
