step,N,rank_1e-12,rank_1e-10,rank_1e-8,rank_1e-6,rank_1e-4,rank_1e-2
0,2048,1,1,1,1,1,1
1,2048,512,512,512,512,512,393
2,2048,512,512,512,512,512,237
3,2048,512,512,512,512,512,244
4,2048,512,512,512,512,512,279
5,2048,512,512,512,512,512,289
