start,kind,iteration,value,g_norm
1,warm,1,-5.133128830609e-01,1.056986e+00
1,warm,2,-5.208818879068e-01,4.662239e-01
1,warm,3,-5.341899037539e-01,3.922781e-01
1,warm,4,-5.416939755606e-01,3.880297e-01
1,warm,5,-5.504089296476e-01,3.357786e-01
1,warm,6,-5.627726865978e-01,5.110298e-01
1,warm,7,-5.754963085033e-01,2.849816e-01
1,warm,8,-5.782335467120e-01,7.161255e-02
1,warm,9,-5.783170067402e-01,1.006158e-02
1,warm,10,-5.783277112686e-01,9.866874e-03
1,warm,11,-5.787225777876e-01,1.131191e-02
1,warm,12,-5.787444082248e-01,5.506035e-04
1,warm,13,-5.787444491492e-01,2.450408e-05
1,warm,14,-5.787444491617e-01,7.756468e-07
2,random,1,-4.517366206804e-01,5.852296e-01
2,random,2,-4.999978335209e-01,1.374536e-04
2,random,3,-4.999999999989e-01,5.975815e-09
3,random,1,-4.814618115274e-01,1.846928e-01
3,random,2,-5.000778556589e-01,1.049809e-02
3,random,3,-5.010976463734e-01,1.338307e-02
3,random,4,-5.013530528474e-01,1.652390e-02
3,random,5,-5.018556379482e-01,2.284825e-02
3,random,6,-5.034170554417e-01,7.679848e-02
3,random,7,-5.074666537816e-01,9.772568e-02
3,random,8,-5.810144374231e-01,2.914793e-01
3,random,9,-5.824181169891e-01,3.179109e-01
3,random,10,-6.433759619370e-01,2.872763e-01
3,random,11,-6.497150753489e-01,2.614558e-01
3,random,12,-6.634567893679e-01,2.167166e-01
3,random,13,-6.712769904990e-01,3.246301e-02
3,random,14,-6.714160133655e-01,8.596652e-03
3,random,15,-6.714193206751e-01,1.921149e-03
3,random,16,-6.714194909705e-01,8.895228e-05
3,random,17,-6.714194941417e-01,3.234944e-07
