start,iteration,value,g_norm
3,1,-4.697991987162e-01,1.880463e-01
3,2,-4.978770833207e-01,4.341326e-02
3,3,-5.290398460647e-01,2.335274e-01
3,4,-5.306706407943e-01,3.174180e-01
3,5,-5.715601241755e-01,5.299363e-01
3,6,-5.948346007067e-01,2.303450e-01
3,7,-6.270389574122e-01,1.062934e-01
3,8,-6.291988199789e-01,1.880835e-02
3,9,-6.292963785400e-01,3.654596e-03
3,10,-6.293048621814e-01,6.562731e-03
3,11,-6.434391707809e-01,2.164182e-01
3,12,-6.437958081560e-01,2.359825e-01
3,13,-6.561700017348e-01,1.306663e-01
3,14,-6.592312588003e-01,5.685290e-02
3,15,-6.597014644626e-01,2.261946e-02
3,16,-6.601584594218e-01,2.907432e-02
3,17,-6.604245285373e-01,3.236522e-03
3,18,-6.604259714290e-01,1.415386e-04
3,19,-6.604259824272e-01,8.723804e-06
3,20,-6.604259824448e-01,3.149332e-07
