start,iteration,value,g_norm
1,1,-5.010088201273e-01,1.563723e-02
1,2,-5.026995865317e-01,2.901919e-02
1,3,-5.036233698359e-01,5.742155e-02
1,4,-5.046305289067e-01,7.726059e-02
1,5,-5.062818575973e-01,1.530530e-01
1,6,-5.281111744999e-01,2.432074e-01
1,7,-5.310296890509e-01,2.569334e-01
1,8,-5.454606823958e-01,2.451685e-01
1,9,-5.531909761446e-01,5.154541e-01
1,10,-6.240835984409e-01,5.148020e-01
1,11,-6.611307683529e-01,2.795216e-01
1,12,-6.733828230673e-01,1.901520e-01
1,13,-6.831161863128e-01,1.364604e-01
1,14,-6.889498913969e-01,1.699226e-01
1,15,-7.195088811846e-01,2.302060e-01
1,16,-7.329543555000e-01,2.198629e-01
1,17,-7.422133755585e-01,1.297605e-01
1,18,-7.445399878307e-01,4.888290e-02
1,19,-7.457942020216e-01,5.855770e-02
1,20,-7.479140753498e-01,4.695042e-02
1,21,-7.507842161713e-01,7.691317e-02
1,22,-7.527521907604e-01,1.032140e-01
1,23,-7.548924361307e-01,1.809227e-01
1,24,-7.627367596668e-01,1.441451e-01
1,25,-7.636620471484e-01,1.464837e-01
1,26,-7.702944048217e-01,1.386098e-01
1,27,-7.753996204417e-01,7.317564e-02
1,28,-7.768511528300e-01,7.899446e-02
1,29,-7.785315804035e-01,8.564309e-02
1,30,-7.798546564365e-01,5.102546e-02
1,31,-7.815793771399e-01,1.034317e-01
1,32,-7.841616229991e-01,8.412896e-02
1,33,-7.859749383799e-01,3.320511e-02
1,34,-7.862070991475e-01,1.345015e-02
1,35,-7.867426661926e-01,3.164489e-02
1,36,-7.886722626417e-01,5.265331e-02
1,37,-7.892117389834e-01,6.089663e-02
1,38,-7.907796121221e-01,7.258008e-02
1,39,-7.935742715128e-01,1.310440e-01
1,40,-7.968932211759e-01,1.304156e-01
1,41,-7.981800624885e-01,9.113904e-02
1,42,-8.002390194119e-01,8.589719e-02
1,43,-8.015619160806e-01,4.772152e-02
1,44,-8.021330262455e-01,2.748692e-02
1,45,-8.028261307692e-01,4.067524e-02
1,46,-8.037977518284e-01,2.125370e-02
1,47,-8.041725686147e-01,3.010736e-02
1,48,-8.045284077268e-01,4.780356e-02
1,49,-8.047497632031e-01,1.743336e-02
1,50,-8.048589228041e-01,1.539221e-02
1,51,-8.052606916293e-01,1.309071e-02
1,52,-8.056401058710e-01,1.879435e-02
1,53,-8.058635761485e-01,3.752964e-02
1,54,-8.063326539725e-01,1.712430e-02
1,55,-8.067045758555e-01,4.078307e-02
1,56,-8.069431236108e-01,3.563612e-02
1,57,-8.073774012910e-01,3.198719e-02
1,58,-8.075983539598e-01,2.258467e-02
1,59,-8.076614559201e-01,1.497105e-02
1,60,-8.079381766982e-01,3.507348e-02
1,61,-8.086803079031e-01,2.602273e-02
1,62,-8.089958051365e-01,3.480531e-02
1,63,-8.094650781556e-01,3.672323e-02
1,64,-8.101316003268e-01,5.642945e-02
1,65,-8.112659724607e-01,3.641476e-02
1,66,-8.122196862160e-01,3.949086e-02
1,67,-8.127009282162e-01,4.798866e-02
1,68,-8.141361704898e-01,3.572107e-02
1,69,-8.143654373679e-01,4.030003e-02
1,70,-8.147222044366e-01,4.598768e-02
1,71,-8.152138341449e-01,4.223698e-02
1,72,-8.160169047646e-01,4.371058e-02
1,73,-8.163531931775e-01,1.872981e-02
1,74,-8.164716103774e-01,2.808323e-02
1,75,-8.167371180373e-01,1.803613e-02
1,76,-8.169308917434e-01,2.721560e-02
1,77,-8.173418139271e-01,3.771273e-02
1,78,-8.178112100549e-01,1.877511e-02
1,79,-8.180716318965e-01,2.342964e-02
1,80,-8.181496015318e-01,1.835784e-02
1,81,-8.183742180779e-01,2.158844e-02
1,82,-8.194355951971e-01,6.937787e-02
1,83,-8.204076411769e-01,5.121480e-02
1,84,-8.211925103756e-01,5.438569e-02
1,85,-8.218716372077e-01,3.355960e-02
1,86,-8.223470005498e-01,4.924878e-02
1,87,-8.232048109823e-01,3.979239e-02
1,88,-8.235863267801e-01,5.058681e-02
1,89,-8.244066900847e-01,3.398596e-02
1,90,-8.248072855049e-01,3.615586e-02
1,91,-8.256072590329e-01,3.436657e-02
1,92,-8.259212518934e-01,3.168619e-02
1,93,-8.261463995701e-01,2.361441e-02
1,94,-8.262720828196e-01,1.137285e-02
1,95,-8.263464025034e-01,1.053850e-02
1,96,-8.264279599037e-01,1.835070e-02
1,97,-8.265293107018e-01,1.241834e-02
1,98,-8.266045167008e-01,1.091845e-02
1,99,-8.268173217716e-01,2.796519e-02
1,100,-8.271647278745e-01,1.700242e-02
1,101,-8.273041767542e-01,1.698430e-02
1,102,-8.273581782141e-01,1.580110e-02
1,103,-8.273942537102e-01,5.811030e-03
1,104,-8.274502841234e-01,1.160574e-02
1,105,-8.275510532525e-01,9.409568e-03
1,106,-8.276106905999e-01,8.384025e-03
1,107,-8.276522726658e-01,5.558827e-03
1,108,-8.276821742237e-01,4.471336e-03
1,109,-8.276964222479e-01,8.919659e-03
1,110,-8.277057050614e-01,4.872688e-03
1,111,-8.277102588735e-01,2.263401e-03
1,112,-8.277170232688e-01,3.945307e-03
1,113,-8.277252070070e-01,5.342733e-03
1,114,-8.277365283425e-01,3.300491e-03
1,115,-8.277427257860e-01,4.549269e-03
1,116,-8.277841287790e-01,1.008737e-02
1,117,-8.278749004245e-01,6.503212e-03
1,118,-8.279333676647e-01,8.944922e-03
1,119,-8.279758211773e-01,1.037207e-02
1,120,-8.281088633527e-01,1.559828e-02
1,121,-8.282357055215e-01,3.235431e-02
1,122,-8.282901925121e-01,2.864070e-02
1,123,-8.284296136284e-01,1.063892e-02
1,124,-8.284632703178e-01,6.168735e-03
1,125,-8.284747350044e-01,5.733608e-03
1,126,-8.284796989672e-01,5.670866e-03
1,127,-8.284860528866e-01,4.131808e-03
1,128,-8.284926742471e-01,5.294719e-03
1,129,-8.285174094336e-01,7.347361e-03
1,130,-8.285557407794e-01,7.543988e-03
1,131,-8.285753960046e-01,5.168654e-03
1,132,-8.285963280263e-01,7.953949e-03
1,133,-8.286260460199e-01,5.461277e-03
1,134,-8.286538032962e-01,7.369066e-03
1,135,-8.286747655356e-01,5.567580e-03
1,136,-8.286867521133e-01,7.549937e-03
1,137,-8.286934446230e-01,6.316123e-03
1,138,-8.286986065436e-01,7.291149e-03
1,139,-8.287044534141e-01,3.631347e-03
1,140,-8.287066152406e-01,2.229316e-03
1,141,-8.287089918560e-01,2.474231e-03
1,142,-8.287131170247e-01,1.700033e-03
1,143,-8.287152407482e-01,9.398140e-04
1,144,-8.287164034117e-01,1.011469e-03
1,145,-8.287173290341e-01,1.026443e-03
1,146,-8.287180611497e-01,1.449058e-03
1,147,-8.287189194015e-01,1.041024e-03
1,148,-8.287203775220e-01,1.817149e-03
1,149,-8.287214334138e-01,2.266550e-03
1,150,-8.287225428311e-01,1.303855e-03
1,151,-8.287229649165e-01,9.923596e-04
1,152,-8.287232959484e-01,6.132140e-04
1,153,-8.287238205243e-01,1.013609e-03
1,154,-8.287247324703e-01,1.004498e-03
1,155,-8.287263457567e-01,1.019706e-03
1,156,-8.287274824004e-01,1.323357e-03
1,157,-8.287289084105e-01,1.454809e-03
1,158,-8.287299267052e-01,2.454248e-03
1,159,-8.287328773643e-01,2.773211e-03
1,160,-8.287344659286e-01,2.348715e-03
1,161,-8.287355130679e-01,1.669666e-03
1,162,-8.287368658983e-01,1.736306e-03
1,163,-8.287373122303e-01,1.290999e-03
1,164,-8.287385674828e-01,1.018272e-03
1,165,-8.287424906088e-01,2.500830e-03
1,166,-8.287453395760e-01,1.876790e-03
1,167,-8.287468772970e-01,1.230973e-03
1,168,-8.287511802710e-01,3.858679e-03
1,169,-8.287549461002e-01,2.534358e-03
1,170,-8.287568255310e-01,1.604709e-03
1,171,-8.287578039983e-01,1.329772e-03
1,172,-8.287588297266e-01,2.487415e-03
1,173,-8.287609229981e-01,3.166950e-03
1,174,-8.287633273564e-01,2.504752e-03
1,175,-8.287658747727e-01,1.785403e-03
1,176,-8.287696988264e-01,1.357245e-03
1,177,-8.287706246998e-01,1.313894e-03
1,178,-8.287717798030e-01,1.399904e-03
1,179,-8.287726978808e-01,9.243620e-04
1,180,-8.287730431462e-01,7.655402e-04
1,181,-8.287734587207e-01,8.257514e-04
1,182,-8.287737376791e-01,5.796870e-04
1,183,-8.287742999170e-01,1.082031e-03
1,184,-8.287746779337e-01,4.915581e-04
1,185,-8.287747335290e-01,1.069896e-03
1,186,-8.287748021415e-01,5.715580e-04
1,187,-8.287751699334e-01,5.769528e-04
1,188,-8.287754667206e-01,7.891150e-04
1,189,-8.287758594384e-01,6.850017e-04
1,190,-8.287759019041e-01,5.604069e-04
1,191,-8.287762189455e-01,3.327072e-04
1,192,-8.287766488919e-01,7.848464e-04
1,193,-8.287766388284e-01,1.014382e-03
1,194,-8.287771805971e-01,6.360568e-04
1,195,-8.287773598506e-01,1.352101e-03
1,196,-8.287781045722e-01,1.026515e-03
1,197,-8.287788092365e-01,1.167477e-03
1,198,-8.287792922685e-01,8.060041e-04
1,199,-8.287805394282e-01,1.257339e-03
1,200,-8.287812788469e-01,1.436530e-03
