start,iteration,value,g_norm
3,1,-5.412791048645e-01,1.861289e-01
3,2,-5.735438091746e-01,1.840732e-01
3,3,-5.949901019515e-01,3.269212e-01
3,4,-6.690578878234e-01,2.473268e-01
3,5,-6.780283754316e-01,2.288300e-01
3,6,-6.933407692267e-01,1.000639e-01
3,7,-6.976520702024e-01,7.045054e-02
3,8,-7.140602703630e-01,2.116594e-01
3,9,-7.192070452477e-01,1.948741e-01
3,10,-7.280862005134e-01,1.881887e-01
3,11,-7.361014904968e-01,9.002667e-02
3,12,-7.385989273279e-01,5.764897e-02
3,13,-7.389887262394e-01,3.137114e-02
3,14,-7.391168442575e-01,3.397335e-03
3,15,-7.391227798181e-01,9.818996e-05
3,16,-7.391227846714e-01,1.807386e-06
3,17,-7.391227846722e-01,1.713256e-08
