run_id,run_kind,runner_label,timestamp_utc,git_commit,git_branch,git_dirty,k,D,p,clause_sign,restarts,maxiters,seed,value,wall_time_seconds,best_start_wall_time_seconds,evaluations,starts,iterations,converged,retry_count,best_start_kind,g_abstol,gamma,beta
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,1,1,2,320,1234,0.620630694864,0.542967,0.192562,63,3,4,true,0,random,1.0e-06,0.3802188543050168,0.288791111189221
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,2,1,2,320,1234,0.664733284711,0.004580,0.001791,118,3,7,true,0,warm,1.0e-06,0.2901085028115522;0.4800435424927932,0.3528686056653027;0.20850517616827527
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,3,1,2,320,1234,0.692062773065,0.023559,0.023311,219,3,43,true,0,random,1.0e-06,2.892806339902555;0.4132519655478043;0.4704942389769398,1.945518769825441;0.27752592556244565;0.17068046935493872
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,4,1,2,640,1234,0.710680775125,0.018348,0.017968,42,3,11,true,0,warm,1.0e-06,2.918364065994681;0.37389127483772544;0.41462544662197354;0.4676394243499714,1.9513371594561693;0.3006823867921928;0.24504039006467307;0.1461716842170567
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,5,1,2,1280,1234,0.724527039156,0.582470,0.161305,406,3,14,true,0,warm,1.0e-06,2.936058052589071;0.34928642744702787;0.37753343879018436;0.41425547254615497;0.46592755763931615,1.954601663768727;0.30928861350354275;0.27040195656583044;0.22443535499335285;0.12853646358096515
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,6,1,2,1280,1234,0.735252691000,1.987107,0.658934,389,3,18,true,0,warm,1.0e-06,2.9490949359886467;0.33095625722354083;0.35506460755970576;0.3766946946111349;0.41312289633685434;0.4652406608382713,1.9557076206205122;0.31251618105320084;0.28125022623166496;0.253250026121064;0.20816016113129102;0.11503380730509144
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,7,1,2,1280,1234,0.743840505974,28.768360,3.457487,1063,3,21,true,0,warm,1.0e-06,2.9592649608501302;0.31687764110327005;0.33903705300832215;0.35487052681663167;0.3739615503461838;0.4128121278252096;0.46518835771326605,1.955842169747464;0.31351213315476417;0.2857648959354931;0.26688631535829727;0.23993773360389642;0.19454005473945418;0.10435866247547593
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,8,1,2,1280,1234,0.750894040158,696.880830,0.122943,5309,4,0,true,1,retry,1.0e-05,2.9674395638969058;0.3055184818727726;0.3267674139566095;0.3398964355464627;0.3519949567842411;0.3716394653033357;0.4133710775378661;0.46558010907569003,1.9554471099632695;0.31322092742753765;0.2874065236976969;0.2734166479786021;0.25591381822364984;0.22867231222181725;0.18273531182141486;0.09562027946558102
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,9,1,2,1280,1234,0.756813040268,2126.313899,1978.128424,4755,3,50,true,0,warm,1.0e-06,2.9741770303168815;0.29589782148272886;0.31676806087384246;0.3285787762218839;0.33698609684350833;0.34899629675677446;0.37023095820407664;0.41477810216000216;0.4666023711932035,1.9546388028237964;0.3120919155314429;0.28745279319545325;0.27615842293388093;0.2642019224577911;0.2466417682984778;0.21866395301523656;0.17231916635828562;0.08827903422126707
20260331T043309-k3-d8-p1-12-r2-i320-s1234,experiment,unknown,2026-03-31T04:33:09,beea0a0b8e0a6fab6f285bf4bbafd8a6d7a3c628,main,false,3,8,10,1,2,1280,1234,0.761919255789,4116.201419,2339.617325,1769,3,18,true,0,warm,1.0e-06,2.979177992986338;0.2912932189515457;0.31270026434558756;0.3211710579008019;0.32786098133523167;0.3368880471996123;0.35143934250224557;0.3761043840288172;0.4259901735367773;0.48064698499411335,1.9559234556693093;0.3154466373167047;0.2892494298276348;0.2774249455155956;0.27036564737039703;0.26016727609431445;0.24048983844027852;0.21186222579489428;0.16346705088980581;0.08107780073884373
