start,kind,iteration,value,g_norm
1,warm,1,-7.285959435348e-01,2.509206e-01
1,warm,2,-7.357018101041e-01,1.934146e-01
1,warm,3,-7.414110233047e-01,3.212204e-02
1,warm,4,-7.425078994742e-01,4.548267e-02
1,warm,5,-7.428853642351e-01,1.339096e-02
1,warm,6,-7.429437766002e-01,1.161565e-02
1,warm,7,-7.430573621227e-01,1.106870e-02
1,warm,8,-7.430738462418e-01,2.449598e-03
1,warm,9,-7.430761897878e-01,2.161779e-03
1,warm,10,-7.430776556417e-01,5.376129e-04
1,warm,11,-7.430779917901e-01,2.953012e-04
1,warm,12,-7.430780587872e-01,4.163221e-05
1,warm,13,-7.430780598694e-01,1.360925e-05
1,warm,14,-7.430780606511e-01,4.541245e-06
1,warm,15,-7.430780607872e-01,2.633693e-07
2,random,1,-5.000131577375e-01,4.003070e-04
2,random,2,-5.000311150386e-01,4.199481e-04
2,random,3,-5.064117581192e-01,6.313945e-02
2,random,4,-5.067369074030e-01,4.946581e-02
2,random,5,-5.721546462672e-01,2.574497e-01
2,random,6,-5.733919216157e-01,2.791230e-01
2,random,7,-5.811211547904e-01,1.829341e-01
2,random,8,-5.997228658422e-01,1.998484e-01
2,random,9,-6.083149962453e-01,2.899843e-01
2,random,10,-6.167880091880e-01,2.681634e-01
2,random,11,-6.559949008074e-01,2.254601e-01
2,random,12,-6.690194130332e-01,1.868286e-01
2,random,13,-6.786822945622e-01,9.267521e-02
2,random,14,-6.812793354902e-01,7.320254e-02
2,random,15,-6.825633459688e-01,5.386281e-02
2,random,16,-6.843032861759e-01,3.444976e-02
2,random,17,-6.851574645830e-01,2.282473e-02
2,random,18,-6.854466001249e-01,1.300854e-02
2,random,19,-6.855389150672e-01,1.438115e-02
2,random,20,-6.857421086384e-01,3.374377e-02
2,random,21,-6.860310942217e-01,1.972556e-02
2,random,22,-6.863554397812e-01,1.784756e-02
2,random,23,-6.864831136780e-01,6.094684e-03
2,random,24,-6.864949173541e-01,2.182145e-03
2,random,25,-6.864968587206e-01,5.550801e-04
2,random,26,-6.864969718291e-01,1.582813e-04
2,random,27,-6.864969792264e-01,1.662701e-05
2,random,28,-6.864969785960e-01,1.321349e-05
2,random,29,-6.864969788471e-01,1.943977e-05
2,random,30,-6.864969794327e-01,5.371000e-05
2,random,31,-6.864978489164e-01,1.954852e-03
2,random,32,-6.864979226484e-01,2.430580e-03
2,random,33,-6.864996177476e-01,4.778881e-04
2,random,34,-6.865002407697e-01,1.661007e-04
2,random,35,-6.865002476914e-01,9.642755e-05
2,random,36,-6.865002543487e-01,4.414538e-05
2,random,37,-6.865002551822e-01,1.150981e-05
2,random,38,-6.865002553019e-01,3.233296e-06
2,random,39,-6.865002553843e-01,1.202004e-06
2,random,40,-6.865002553804e-01,4.631948e-07
3,random,1,-5.000000204924e-01,1.503542e-06
3,random,2,-5.010411059758e-01,7.438156e-03
3,random,3,-5.011934008628e-01,8.835942e-03
3,random,4,-5.239806230835e-01,3.535555e-01
3,random,5,-5.258776909556e-01,2.739511e-01
3,random,6,-5.287765851055e-01,2.830244e-01
3,random,7,-5.641192261723e-01,7.094076e-01
3,random,8,-5.803147768235e-01,9.044318e-01
3,random,9,-6.284023074217e-01,9.414452e-02
3,random,10,-6.311763246004e-01,1.855341e-01
3,random,11,-6.325878118605e-01,6.795320e-02
3,random,12,-6.332412158182e-01,6.548557e-02
3,random,13,-6.342367127510e-01,5.103621e-02
3,random,14,-6.633370206234e-01,3.054598e-01
3,random,15,-6.647214977826e-01,3.252004e-01
3,random,16,-6.793188775850e-01,3.991373e-01
3,random,17,-6.912261614112e-01,8.576086e-02
3,random,18,-6.926945939263e-01,2.329337e-02
3,random,19,-6.928036898123e-01,1.738630e-02
3,random,20,-6.930428145445e-01,3.646087e-02
3,random,21,-6.931579006905e-01,3.027135e-02
3,random,22,-6.931887857956e-01,9.293958e-03
3,random,23,-6.931979050697e-01,3.105556e-03
3,random,24,-6.932002920962e-01,2.119607e-03
3,random,25,-6.975080245140e-01,3.836267e-01
3,random,26,-6.982279579539e-01,3.090656e-01
3,random,27,-7.062042597726e-01,2.631367e-01
3,random,28,-7.127185111611e-01,1.896910e-01
3,random,29,-7.150166581811e-01,1.272320e-01
3,random,30,-7.184514827250e-01,1.431423e-01
3,random,31,-7.225098028594e-01,8.281853e-02
3,random,32,-7.242100577735e-01,4.285715e-02
3,random,33,-7.246298539659e-01,6.844765e-02
3,random,34,-7.259660438256e-01,5.591518e-02
3,random,35,-7.277998243258e-01,3.546238e-02
3,random,36,-7.281133407066e-01,1.300184e-02
3,random,37,-7.282021029550e-01,1.352580e-02
3,random,38,-7.282582471364e-01,6.771192e-03
3,random,39,-7.282830502728e-01,4.707781e-03
3,random,40,-7.282973686593e-01,5.542337e-03
