start,iteration,value,g_norm
3,1,-4.999479072199e-01,4.965881e-04
3,2,-4.999980634891e-01,4.833280e-05
3,3,-5.000000632847e-01,2.874722e-06
3,4,-5.117408169974e-01,1.723326e-01
3,5,-5.346478163965e-01,2.046783e-01
3,6,-5.440905982862e-01,2.369750e-01
3,7,-5.473974286524e-01,1.901976e-01
3,8,-5.627182738338e-01,2.053162e-01
3,9,-6.194795952662e-01,3.338783e-01
3,10,-6.267452901566e-01,3.637078e-01
3,11,-6.572985045814e-01,3.745702e-01
3,12,-6.824606478229e-01,1.953082e-01
3,13,-6.864835210463e-01,2.025309e-01
3,14,-6.902549750287e-01,9.405959e-02
3,15,-6.916871641977e-01,9.180589e-02
3,16,-6.924603475796e-01,3.616915e-02
3,17,-6.932231809831e-01,4.865380e-02
3,18,-6.946216331471e-01,6.770325e-02
3,19,-6.964171277346e-01,7.550998e-02
3,20,-6.976555998668e-01,8.335175e-02
3,21,-6.992690172478e-01,7.707357e-02
3,22,-7.006946528537e-01,7.596708e-02
3,23,-7.037718122191e-01,9.276493e-02
3,24,-7.049632160142e-01,5.877747e-02
3,25,-7.058583801122e-01,5.546388e-02
3,26,-7.070356247939e-01,7.253701e-02
3,27,-7.082149764565e-01,4.298902e-02
3,28,-7.095249902432e-01,6.947228e-02
3,29,-7.105797450877e-01,3.947390e-02
3,30,-7.124662537138e-01,1.076923e-01
3,31,-7.150388487857e-01,1.820160e-01
3,32,-7.176809041243e-01,2.301093e-01
3,33,-7.211196067904e-01,2.995878e-01
3,34,-7.239363532197e-01,2.331087e-01
3,35,-7.284200248417e-01,1.775237e-01
3,36,-7.303893292284e-01,9.369327e-02
3,37,-7.320901721192e-01,6.765481e-02
3,38,-7.326659432653e-01,3.645648e-02
3,39,-7.331695227481e-01,6.283347e-02
3,40,-7.335848118315e-01,2.245585e-02
3,41,-7.340504455407e-01,4.379714e-02
3,42,-7.342799622002e-01,4.892707e-03
3,43,-7.342945812558e-01,2.940092e-03
3,44,-7.342967229469e-01,2.137218e-03
3,45,-7.342977829978e-01,8.502005e-04
3,46,-7.342984237935e-01,1.336350e-03
