start,kind,iteration,value,g_norm
1,warm,1,-6.676572666045e-01,3.684524e-01
1,warm,2,-6.971746604962e-01,1.213266e-01
1,warm,3,-7.025353570124e-01,1.156774e-01
1,warm,4,-7.058506398897e-01,4.705432e-02
1,warm,5,-7.060928838410e-01,1.453594e-02
1,warm,6,-7.062124199930e-01,3.229760e-03
1,warm,7,-7.062141759980e-01,1.612080e-04
1,warm,8,-7.062141793429e-01,4.711597e-06
1,warm,9,-7.062141793469e-01,3.174940e-09
2,random,1,-5.026862409079e-01,3.657555e-01
2,random,2,-5.723805023512e-01,3.044151e-01
2,random,3,-5.924234974131e-01,2.631923e-01
2,random,4,-6.295983821243e-01,3.198588e-01
2,random,5,-6.408436089188e-01,1.920332e-01
2,random,6,-6.467830121356e-01,1.312908e-01
2,random,7,-6.563359966770e-01,3.941076e-01
2,random,8,-6.715128581900e-01,4.923320e-02
2,random,9,-6.740606306079e-01,1.830808e-02
2,random,10,-6.747057546283e-01,4.792054e-02
2,random,11,-6.753117635899e-01,9.984164e-02
2,random,12,-6.757033983421e-01,1.248451e-01
2,random,13,-6.765815042358e-01,1.673683e-01
2,random,14,-6.773797985308e-01,1.938990e-01
2,random,15,-6.790867452703e-01,2.167054e-01
2,random,16,-6.852003890407e-01,5.894465e-02
2,random,17,-6.859421192836e-01,2.997635e-02
2,random,18,-6.860509896016e-01,2.385196e-02
2,random,19,-6.861251325335e-01,2.081576e-03
2,random,20,-6.861258680132e-01,6.368523e-05
2,random,21,-6.861258696590e-01,1.191889e-06
2,random,22,-6.861258696593e-01,1.063942e-08
3,random,1,-5.001378529840e-01,6.671435e-02
3,random,2,-5.626873873573e-01,2.968417e-01
3,random,3,-5.634394760206e-01,2.916125e-01
3,random,4,-6.447749212752e-01,2.953354e-01
3,random,5,-6.584180844426e-01,7.859726e-02
3,random,6,-6.594007016014e-01,3.687373e-02
3,random,7,-6.597447451443e-01,3.988609e-02
3,random,8,-6.697816372528e-01,8.102468e-02
3,random,9,-6.721971579963e-01,1.096482e-01
3,random,10,-6.757959553739e-01,5.749774e-02
3,random,11,-6.762173002134e-01,6.204506e-03
3,random,12,-6.762485163439e-01,2.547053e-03
3,random,13,-6.762494677378e-01,3.634217e-04
3,random,14,-6.762495006443e-01,1.920486e-05
3,random,15,-6.762495006821e-01,1.938298e-08
