start,kind,iteration,value,g_norm
1,warm,1,-7.327911474887e-01,1.900313e-01
1,warm,2,-7.400169903552e-01,2.156535e-01
1,warm,3,-7.435052565804e-01,1.647489e-01
1,warm,4,-7.465297654028e-01,9.760303e-02
1,warm,5,-7.502657438118e-01,9.511143e-02
1,warm,6,-7.510779090130e-01,3.427399e-02
1,warm,7,-7.514952807721e-01,3.673066e-02
1,warm,8,-7.522425276227e-01,3.062803e-02
1,warm,9,-7.524575577866e-01,1.576803e-02
1,warm,10,-7.525734106758e-01,1.993888e-02
1,warm,11,-7.526034261122e-01,6.953794e-03
1,warm,12,-7.526187434433e-01,6.181629e-03
1,warm,13,-7.526835604021e-01,8.816742e-03
1,warm,14,-7.527463968177e-01,7.441767e-03
1,warm,15,-7.527642395659e-01,2.478974e-03
1,warm,16,-7.527718220788e-01,3.968974e-03
1,warm,17,-7.527779284724e-01,1.387817e-03
1,warm,18,-7.527783050216e-01,3.859364e-04
1,warm,19,-7.527783234080e-01,3.834196e-05
1,warm,20,-7.527783244665e-01,4.966794e-06
1,warm,21,-7.527783242989e-01,1.124135e-07
2,random,1,-5.284881634281e-01,7.621300e-01
2,random,2,-5.485100447954e-01,6.208907e-01
2,random,3,-5.689748884612e-01,4.121528e-01
2,random,4,-6.324561383840e-01,6.975004e-01
2,random,5,-7.017526343814e-01,5.108370e-01
2,random,6,-7.096270177086e-01,4.746317e-01
2,random,7,-7.211366961996e-01,1.704677e-01
2,random,8,-7.330722103095e-01,2.845264e-01
2,random,9,-7.431560644216e-01,1.437410e-01
2,random,10,-7.444743412986e-01,4.192076e-02
2,random,11,-7.448689424063e-01,3.154009e-02
2,random,12,-7.459112598643e-01,5.976982e-02
2,random,13,-7.486792051976e-01,5.034386e-02
2,random,14,-7.514055995007e-01,1.135960e-01
2,random,15,-7.542225269675e-01,1.245585e-01
2,random,16,-7.582247635338e-01,1.239056e-01
2,random,17,-7.601132600779e-01,8.977089e-02
2,random,18,-7.620463268366e-01,1.032132e-01
2,random,19,-7.655194216847e-01,1.133850e-01
2,random,20,-7.690982367918e-01,4.480361e-02
2,random,21,-7.703775786620e-01,5.217696e-02
2,random,22,-7.712248754448e-01,3.304680e-02
2,random,23,-7.720179178040e-01,2.027043e-02
2,random,24,-7.723387271506e-01,3.306982e-02
2,random,25,-7.726259959525e-01,1.463634e-02
2,random,26,-7.727047165508e-01,5.386431e-03
2,random,27,-7.727098654415e-01,4.069741e-03
2,random,28,-7.727107311615e-01,8.659937e-04
2,random,29,-7.727109854229e-01,7.250249e-04
2,random,30,-7.727110958235e-01,6.305811e-04
2,random,31,-7.727111807150e-01,5.133496e-04
2,random,32,-7.727114346420e-01,8.456775e-04
2,random,33,-7.727141257893e-01,1.316439e-03
2,random,34,-7.727148966258e-01,3.377808e-04
2,random,35,-7.727149294113e-01,1.134604e-04
2,random,36,-7.727149313986e-01,3.274460e-05
2,random,37,-7.727149318375e-01,2.036757e-06
2,random,38,-7.727149339512e-01,2.307853e-07
3,random,1,-4.999361483813e-01,7.159882e-04
3,random,2,-4.999939536860e-01,1.667633e-04
3,random,3,-4.999989908139e-01,7.294411e-05
3,random,4,-5.000012108407e-01,1.139855e-04
3,random,5,-5.000257794161e-01,7.866098e-04
3,random,6,-5.001569333894e-01,1.722953e-03
3,random,7,-5.001840616559e-01,2.665366e-03
3,random,8,-5.002409032260e-01,2.813021e-03
3,random,9,-5.003474185686e-01,3.255379e-03
3,random,10,-5.004863051865e-01,3.168638e-03
3,random,11,-5.208917712317e-01,2.614956e-01
3,random,12,-5.599362356206e-01,3.298936e-01
3,random,13,-5.672323532120e-01,3.227339e-01
3,random,14,-5.710105133001e-01,4.715419e-01
3,random,15,-5.749555232960e-01,4.564597e-01
3,random,16,-5.959672210496e-01,8.737373e-01
3,random,17,-6.520557210478e-01,8.991478e-01
3,random,18,-6.767154327040e-01,4.476421e-01
3,random,19,-6.958361323984e-01,2.206065e-01
3,random,20,-7.039199238722e-01,1.598606e-01
3,random,21,-7.097608099206e-01,1.533196e-01
3,random,22,-7.178651808985e-01,1.131994e-01
3,random,23,-7.191913560810e-01,3.688685e-02
3,random,24,-7.196976801344e-01,2.536935e-02
3,random,25,-7.198473566602e-01,2.158533e-02
3,random,26,-7.199921581622e-01,3.724566e-02
3,random,27,-7.201356579285e-01,1.872931e-02
3,random,28,-7.202046646924e-01,7.592947e-03
3,random,29,-7.202126880935e-01,1.893095e-03
3,random,30,-7.202130632654e-01,1.285743e-04
3,random,31,-7.202130680497e-01,3.291340e-05
3,random,32,-7.202130756396e-01,2.483546e-04
3,random,33,-7.202133499886e-01,1.372883e-03
3,random,34,-7.202139548079e-01,1.478363e-03
3,random,35,-7.202145624953e-01,1.328764e-03
3,random,36,-7.202146266763e-01,1.422622e-04
3,random,37,-7.202146279783e-01,2.921976e-05
3,random,38,-7.202146293622e-01,3.677156e-06
3,random,39,-7.202146301945e-01,7.018378e-07
