start,iteration,value,g_norm
1,1,-7.650192608965e-01,3.910583e-01
1,2,-7.851551146450e-01,9.932883e-02
1,3,-7.867974076398e-01,7.136605e-02
1,4,-7.885784441187e-01,5.802969e-02
1,5,-7.891428938838e-01,2.907795e-02
1,6,-7.893587105738e-01,2.206290e-02
1,7,-7.894559621657e-01,7.731231e-03
1,8,-7.894774054848e-01,6.195687e-03
1,9,-7.894904222385e-01,2.074760e-03
1,10,-7.894936227272e-01,1.483947e-03
1,11,-7.894959640765e-01,2.507641e-04
1,12,-7.894960278523e-01,3.114169e-05
1,13,-7.894960281131e-01,2.059179e-06
1,14,-7.894960281074e-01,1.600317e-08
