start,iteration,value,g_norm
3,1,-5.000871527628e-01,2.166229e-03
3,2,-5.519530148409e-01,3.774111e-01
3,3,-5.812601314854e-01,4.329836e-01
3,4,-5.870199142005e-01,3.710234e-01
3,5,-6.634661678634e-01,2.443331e-01
3,6,-6.722106065152e-01,2.679913e-01
3,7,-6.790445267794e-01,1.097754e-01
3,8,-6.829772433236e-01,6.115145e-02
3,9,-6.834613401965e-01,6.298803e-02
3,10,-6.839838290029e-01,3.446773e-02
3,11,-6.855028060414e-01,5.145102e-02
3,12,-6.860393199633e-01,7.182422e-02
3,13,-6.868739978205e-01,8.222736e-02
3,14,-6.882131389565e-01,6.792557e-02
3,15,-6.886162945683e-01,2.938074e-02
3,16,-6.887255649771e-01,1.714809e-02
3,17,-6.888987348802e-01,6.107848e-02
3,18,-6.898278079688e-01,8.867921e-02
3,19,-6.909298240821e-01,2.232526e-02
3,20,-6.912832831596e-01,2.755902e-02
3,21,-6.919992013205e-01,7.291458e-02
3,22,-6.921786609351e-01,9.374526e-02
3,23,-6.927108083167e-01,1.256107e-01
3,24,-6.939050761833e-01,1.806488e-01
3,25,-6.986674222319e-01,3.822670e-01
3,26,-7.011903935859e-01,4.014128e-01
3,27,-7.052560887783e-01,3.613402e-01
3,28,-7.159228362327e-01,2.404237e-01
3,29,-7.236542164508e-01,1.777161e-01
3,30,-7.287559549136e-01,1.953838e-01
3,31,-7.327825911832e-01,5.440785e-02
3,32,-7.334265419890e-01,3.115611e-02
3,33,-7.338638606905e-01,1.599996e-02
3,34,-7.340154389978e-01,1.887749e-02
3,35,-7.341787829932e-01,1.489214e-02
3,36,-7.343887248003e-01,4.763479e-02
3,37,-7.347649739720e-01,7.610247e-02
3,38,-7.355435130898e-01,5.148645e-02
3,39,-7.360202994918e-01,4.022629e-02
3,40,-7.367372955805e-01,1.108294e-01
3,41,-7.376936030420e-01,1.003394e-01
3,42,-7.383286440942e-01,4.544584e-02
3,43,-7.385900849609e-01,3.382605e-02
3,44,-7.386537837127e-01,1.353765e-02
3,45,-7.386874340084e-01,6.261694e-03
3,46,-7.387012488142e-01,7.953065e-03
3,47,-7.387070071378e-01,1.529024e-03
3,48,-7.387083178280e-01,1.687936e-03
3,49,-7.387085637618e-01,6.860272e-04
3,50,-7.387088320101e-01,1.622363e-03
3,51,-7.387170818541e-01,6.900856e-03
3,52,-7.388109582889e-01,2.377261e-02
3,53,-7.388475762567e-01,2.462669e-02
3,54,-7.388983502535e-01,1.131290e-02
3,55,-7.389173405085e-01,3.283909e-03
3,56,-7.389184396736e-01,8.029743e-04
3,57,-7.389184898734e-01,1.378719e-04
3,58,-7.389184912656e-01,7.186746e-05
3,59,-7.389184926049e-01,3.065247e-05
3,60,-7.389184914895e-01,2.143762e-05
3,61,-7.389184925238e-01,1.037042e-05
3,62,-7.389184911888e-01,4.196540e-06
3,63,-7.389184919543e-01,2.610438e-06
3,64,-7.389184927598e-01,2.363231e-08
