start,iteration,value,g_norm
1,1,-7.571042332831e-01,3.999461e-01
1,2,-7.750922555137e-01,8.402801e-02
1,3,-7.763625072727e-01,6.109784e-02
1,4,-7.773838057011e-01,3.921316e-02
1,5,-7.776609384309e-01,3.396559e-02
1,6,-7.779459470720e-01,3.258138e-02
1,7,-7.780743211274e-01,8.404454e-03
1,8,-7.781030399617e-01,7.196879e-03
1,9,-7.781263441157e-01,1.941761e-03
1,10,-7.781291831351e-01,1.535686e-03
1,11,-7.781295738272e-01,1.312023e-04
1,12,-7.781295836712e-01,1.013945e-04
1,13,-7.781295889479e-01,5.209491e-06
1,14,-7.781295889867e-01,1.232329e-07
