run_id,run_kind,runner_label,timestamp_utc,git_commit,git_branch,git_dirty,k,D,p,clause_sign,restarts,maxiters,seed,value,wall_time_seconds,best_start_wall_time_seconds,evaluations,starts,iterations,converged,retry_count,best_start_kind,g_abstol,gamma,beta
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,1,1,2,320,1234,0.636280516324,0.732363,0.569386,49,3,6,true,0,random,1.0e-06,3.550393879368669,0.20041636820674302
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,2,1,2,320,1234,0.687409029389,0.042261,0.041545,105,3,18,true,0,random,1.0e-06,2.8206599705963473;3.623920474066226,1.7978451140174683;0.14858445635938766
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,3,1,2,320,1234,0.718981135454,0.107109,0.076302,195,3,10,true,0,warm,1.0e-06,2.8612405575639657;3.563699620612238;3.606340686609661,1.8016962498452267;0.18539608350713738;0.125539403529018
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,4,1,2,640,1234,0.740669009249,0.044497,0.043631,42,3,13,true,0,warm,1.0e-06,2.885069796941789;3.5276329394487997;3.55543833125153;3.5958875752467163,1.7992372147155804;0.19102703063444756;0.17091484013305042;0.11030598605020422
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,5,1,2,1280,1234,0.756793863728,0.403772,0.165967,326,3,15,true,0,warm,1.0e-06,2.9013632953206008;3.5060234093022067;3.5229387867232176;3.546646912743326;3.5885692063734727,1.7965152565913978;0.1904383430853734;0.17907895236526467;0.16177974702932207;0.09904632539401405
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,6,1,2,1280,1234,0.769319380985,1.164123,0.547164,232,3,23,true,0,warm,1.0e-06,2.913022906697888;3.4904710494142703;3.503620181260453;3.5141801305213964;3.5385964066431197;3.5835201021742025,1.7938392723713275;0.18793205325240142;0.18025679881816814;0.17274265439174905;0.15434423114957882;0.090115216670507
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,7,1,2,1280,1234,0.779365676982,65.365104,37.341286,2619,3,31,true,0,warm,1.0e-06,2.9219092740386787;3.478479332206868;3.4901656928082723;3.4956046134917296;3.504995405485793;3.532532367172244;3.580144479697263,1.7912544069025464;0.18513348222072185;0.17883628258239548;0.17589778905095182;0.16800486418693192;0.14767520508466078;0.08282650856925272
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,8,1,2,1280,1234,0.787939273886,213.866126,69.249183,2613,3,15,true,0,warm,1.0e-06,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.0762931518828213
20260331T232833-k5-d8-p1-15-r2-i320-s1234,cluster,slurm-987287-12,2026-03-31T23:28:33,7e19a0dd88b7c04828eed77b885de33207dbcefb,main,true,5,8,9,1,2,1280,1234,0.794470653795,540.813544,95.538970,845,3,2,true,0,warm,1.0e-06,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.07629315188282135;0.07629315188282126
20260401T022616-k5-d8-p10-15-r2-i320-s1234,experiment,unknown,2026-04-01T02:26:16,de204b9d86cf233799b0f6d1633b672af81bbd46,main,true,5,8,10,1,2,1280,1234,1.129335549807,2369.199555,5.436231,661,3,0,true,0,warm,1.0e-06,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584;3.5797490160181584;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.07629315188282135;0.07629315188282126;0.07629315188282126
20260401T022616-k5-d8-p10-15-r2-i320-s1234,experiment,unknown,2026-04-01T02:26:16,de204b9d86cf233799b0f6d1633b672af81bbd46,main,true,5,8,11,1,0,1280,1234,-7529056670668858.000000000000,29.845523,15.227226,1,1,0,true,0,warm,1.0e-05,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.07629315188282135;0.07629315188282126;0.07629315188282126;0.07629315188282126
20260401T022616-k5-d8-p10-15-r2-i320-s1234,experiment,unknown,2026-04-01T02:26:16,de204b9d86cf233799b0f6d1633b672af81bbd46,main,true,5,8,12,1,0,1280,1234,NaN,134.394656,69.711532,1,1,0,true,0,warm,1.0e-04,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.07629315188282135;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126
20260401T022616-k5-d8-p10-15-r2-i320-s1234,experiment,unknown,2026-04-01T02:26:16,de204b9d86cf233799b0f6d1633b672af81bbd46,main,true,5,8,13,1,0,1280,1234,NaN,618.664046,327.375390,1,1,0,true,0,warm,1.0e-04,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.07629315188282135;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126
20260401T022616-k5-d8-p10-15-r2-i320-s1234,experiment,unknown,2026-04-01T02:26:16,de204b9d86cf233799b0f6d1633b672af81bbd46,main,true,5,8,14,1,0,1280,1234,NaN,3041.165486,1675.725676,1,1,0,true,0,warm,1.0e-04,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.07629315188282135;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126
20260401T022616-k5-d8-p10-15-r2-i320-s1234,experiment,unknown,2026-04-01T02:26:16,de204b9d86cf233799b0f6d1633b672af81bbd46,main,true,5,8,15,1,0,1280,1234,NaN,14201.079353,8139.859606,1,1,0,true,0,warm,1.0e-04,2.9290064690627644;3.4681643223952427;3.4800621949675;3.4828655277217395;3.485854073983734;3.496994790836133;3.5295542011368437;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584;3.5797490160181584,1.7888022842213227;0.18188225650743042;0.17683140527132027;0.1752772582668841;0.17252569166935283;0.163386491958454;0.14114576026954698;0.07629315188282135;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126;0.07629315188282126
