start,kind,iteration,value,g_norm
1,warm,1,-4.999999996240e-01,4.386496e-08
2,random,1,-5.289267275822e-01,8.857870e-01
2,random,2,-5.971869739568e-01,8.577248e-01
2,random,3,-6.379169409748e-01,2.782118e-01
2,random,4,-6.640255379581e-01,1.141676e-01
2,random,5,-6.737924109923e-01,1.172723e-01
2,random,6,-6.757343009245e-01,1.337733e-01
2,random,7,-6.799444013696e-01,1.454193e-01
2,random,8,-6.901439235051e-01,3.047802e-01
2,random,9,-7.048767483189e-01,3.322679e-01
2,random,10,-7.115721405543e-01,1.843864e-01
2,random,11,-7.175322343958e-01,2.858150e-02
2,random,12,-7.175936347644e-01,2.415419e-03
2,random,13,-7.175961914008e-01,1.802319e-03
2,random,14,-7.175965613095e-01,1.691024e-04
2,random,15,-7.175965641359e-01,1.024399e-06
2,random,16,-7.175965641359e-01,1.326162e-09
3,random,1,-4.632372200640e-01,5.100227e-01
3,random,2,-4.999993851051e-01,5.089330e-05
3,random,3,-4.999999935324e-01,1.287043e-06
3,random,4,-5.000000000000e-01,3.873766e-13
