k,D,p,round,gamma
5,7,9,5,0.371529702438
5,7,9,6,0.382140108061
5,7,9,7,0.407690030399
5,7,9,8,0.454057006578
5,7,9,9,0.498444829059
5,7,10,1,0.228240135401
5,7,10,2,0.351528302574
5,7,10,3,0.365976204206
5,7,10,4,0.370216671455
5,7,10,5,0.373268593345
5,7,10,6,0.385111067561
5,7,10,7,0.423049609003
5,7,10,8,0.470790401373
5,7,10,9,0.478266943576
5,7,10,10,0.478309140187
5,7,11,1,0.223321495476
5,7,11,2,0.350591016566
5,7,11,3,0.365041611976
5,7,11,4,0.369465493766
5,7,11,5,0.370138291366
5,7,11,6,0.383676456481
5,7,11,7,0.408084998215
5,7,11,8,0.454388532160
5,7,11,9,0.497800613335
5,7,11,10,0.497641775637
5,7,11,11,0.499037089421
5,8,2,1,5.962252588651
5,8,2,2,0.482327734428
5,8,3,1,0.280352153665
5,8,3,2,0.422107017479
5,8,3,3,5.818437187380
5,8,4,1,2.885069796942
5,8,4,2,3.527632939449
5,8,4,3,3.555438331252
5,8,4,4,3.595887575247
5,8,5,1,3.381822012246
5,8,5,2,3.506023412471
5,8,5,3,3.522938790904
5,8,5,4,3.546646915903
5,8,5,5,3.588569208346
5,8,6,1,2.913023004522
5,8,6,2,3.490471154977
5,8,6,3,5.921157748621
5,8,6,4,5.910597664620
5,8,6,5,5.886181167776
5,8,6,6,5.841257421236
5,8,7,1,3.361264231716
5,8,7,2,3.478539367004
5,8,7,3,3.490208779215
5,8,7,4,3.495627564976
5,8,7,5,3.504982380607
5,8,7,6,3.532542357014
5,8,7,7,3.580116712974
5,8,8,1,2.929006469063
5,8,8,2,3.468164322395
5,8,8,3,3.480062194968
5,8,8,4,3.482865527722
5,8,8,5,3.485854073984
5,8,8,6,3.496994790836
5,8,8,7,3.529554201137
5,8,8,8,3.579749016018
5,8,9,1,2.931335576726
5,8,9,2,3.467768836367
5,8,9,3,5.941446714114
5,8,9,4,5.940407060305
5,8,9,5,5.937461490681
5,8,9,6,5.926390197789
5,8,9,7,5.894778181573
5,8,9,8,5.847606322985
5,8,9,9,5.837514329682
5,8,11,1,2.132583986074
5,8,11,2,1.647523712303
5,8,11,3,3.995931360571
5,8,11,4,2.834974507348
5,8,11,5,4.374024123497
5,8,11,6,5.389487959783
5,8,11,7,0.894317306203
5,8,11,8,0.810601578479
5,8,11,9,0.147922374678
5,8,11,10,4.706726450152
5,8,11,11,6.017955615148
6,7,2,1,3.500068280563
6,7,2,2,3.664723620164
6,7,3,1,2.825708691051
6,7,3,2,2.679873903212
6,7,3,3,2.638431124837
6,7,4,1,3.432720970122
6,7,4,2,3.565790603882
6,7,4,3,3.591632171056
6,7,4,4,3.632364072395
6,7,5,1,3.415861648274
6,7,5,2,3.543695854964
6,7,5,3,3.557800032706
6,7,5,4,3.579641453234
6,7,5,5,3.623375363692
6,7,6,1,2.879315772862
6,7,6,2,2.755238332333
6,7,6,3,2.745132302217
6,7,6,4,2.737346749627
6,7,6,5,2.714345770466
6,7,6,6,2.666219238975
6,7,7,1,2.888485264931
6,7,7,2,2.767424456301
6,7,7,3,2.759110858376
6,7,7,4,2.756944625259
6,7,7,5,2.748935081416
6,7,7,6,2.722118854382
6,7,7,7,2.670298628093
6,7,8,1,3.387087661659
6,7,8,2,3.504757367630
6,7,8,3,3.512525834360
6,7,8,4,3.512893055245
6,7,8,5,3.514370935571
6,7,8,6,3.525119059493
6,7,8,7,3.560233470724
6,7,8,8,3.617866367028
6,7,9,1,2.894553998010
6,7,9,2,2.766233283728
6,7,9,3,2.764145737919
6,7,9,4,2.765580110589
6,7,9,5,2.759140718735
6,7,9,6,2.747555302447
6,7,9,7,2.718933314896
6,7,9,8,2.652365742374
6,7,9,9,2.653066949604
6,7,10,1,3.648643469955
6,7,10,2,6.252290842315
6,7,10,3,4.959777478142
6,7,10,4,3.732909023671
6,7,10,5,2.484857621097
6,7,10,6,1.880689780431
6,7,10,7,1.728332870228
6,7,10,8,4.210061441318
6,7,10,9,3.206797078459
6,7,10,10,1.474111547908
6,8,2,1,3.475824615788
6,8,2,2,0.485060063813
6,8,3,1,3.436179727151
6,8,3,2,0.427924592138
6,8,3,3,0.464284410491
6,8,4,1,0.271536894201
6,8,4,2,0.393278670343
6,8,4,3,0.415440221168
6,8,4,4,0.451613201221
6,8,5,1,0.255759361078
6,8,5,2,0.372708132228
6,8,5,3,0.384384522343
6,8,5,4,0.403754257867
6,8,5,5,0.442694821702
6,8,6,1,0.244521171319
6,8,6,2,0.358051987944
6,8,6,3,0.365992885624
6,8,6,4,0.372637519763
6,8,6,5,0.393571477636
6,8,6,6,0.436361632269
6,8,7,1,3.377498033692
6,8,7,2,0.345951159572
6,8,7,3,0.353509967582
6,8,7,4,0.354828216118
6,8,7,5,0.360477103880
6,8,7,6,0.387385968851
6,8,7,7,0.434007410460
6,8,8,1,3.372226990994
6,8,8,2,0.341825774688
6,8,8,3,0.346847310271
6,8,8,4,0.346257420588
6,8,8,5,0.349327853517
6,8,8,6,0.359819350060
6,8,8,7,0.388268458871
6,8,8,8,0.440264574228
6,8,9,1,3.373688903978
6,8,9,2,0.343001591115
6,8,9,3,0.345517521743
6,8,9,4,0.342085262738
6,8,9,5,0.349112332018
6,8,9,6,0.361195339292
6,8,9,7,0.388657212635
6,8,9,8,0.437539548785
6,8,9,9,0.440149100667
6,8,10,1,3.866077145312
6,8,10,2,4.494928814899
6,8,10,3,3.064697535793
6,8,10,4,0.890734008431
6,8,10,5,1.246167583869
6,8,10,6,0.591874221590
6,8,10,7,0.656816019158
6,8,10,8,1.886885458675
6,8,10,9,2.997452251822
6,8,10,10,3.619624013347
7,8,1,1,3.571096158045
7,8,2,1,3.487702094844
7,8,2,2,0.487670332378
7,8,3,1,0.307381269062
7,8,3,2,2.708354474790
7,8,3,3,5.819013249400
7,8,4,1,3.426571882242
7,8,4,2,3.541398779902
7,8,4,3,3.558612401304
7,8,4,4,3.591362757320
7,8,5,1,3.411172944176
7,8,5,2,3.521670194901
7,8,5,3,3.528667223985
7,8,5,4,3.544541665198
7,8,5,5,3.581227553946
7,8,6,1,2.882983067736
7,8,6,2,3.507725196606
7,8,6,3,3.510988540555
7,8,6,4,3.514381220522
7,8,6,5,3.532672091407
7,8,6,6,3.573910222298
7,8,7,1,3.390160007637
7,8,7,2,3.497314021041
7,8,7,3,3.499895435518
7,8,7,4,3.499503096935
7,8,7,5,3.502862138673
7,8,7,6,3.525314910123
7,8,7,7,3.577926713599
7,8,8,1,3.390803763441
7,8,8,2,3.497935547970
7,8,8,3,3.500231409820
7,8,8,4,3.499987158691
7,8,8,5,3.502994409921
7,8,8,6,3.527033104245
7,8,8,7,3.574094501952
7,8,8,8,3.578556804355
7,8,9,1,1.517534700323
7,8,9,2,1.440182352025
7,8,9,3,1.697323225651
7,8,9,4,4.323862389722
7,8,9,5,5.478962207351
7,8,9,6,3.999462689005
7,8,9,7,3.460626161492
7,8,9,8,3.865514800550
7,8,9,9,1.060045897080
7,8,10,1,1.862225639781
7,8,10,2,4.289283030350
7,8,10,3,1.693285469923
7,8,10,4,4.911230273504
7,8,10,5,4.881133580446
7,8,10,6,0.016386254080
7,8,10,7,1.346486126534
7,8,10,8,1.726350923673
7,8,10,9,1.414773261131
7,8,10,10,1.231616986707
7,8,11,1,0.771331441192
7,8,11,2,2.786745761280
7,8,11,3,5.327514330674
7,8,11,4,4.276865410756
7,8,11,5,0.581735233245
7,8,11,6,4.291488410531
7,8,11,7,1.661336588555
7,8,11,8,5.688954356151
7,8,11,9,3.194059816879
7,8,11,10,5.796623873257
7,8,11,11,5.260278091668
