k,D,p,round,gamma
3,6,4,1,0.259943831700
3,6,4,2,0.440459905123
3,6,4,3,0.492889932301
3,6,4,4,0.558132788060
3,6,5,1,0.239476121627
3,6,5,2,0.411606095340
3,6,5,3,0.448241342849
3,6,5,4,0.494292142003
3,6,5,5,0.558222798337
3,6,6,1,0.224351992809
3,6,6,2,0.390072293987
3,6,6,3,0.421841928424
3,6,6,4,0.448665301558
3,6,6,5,0.493851418778
3,6,6,6,0.558797110778
3,6,7,1,0.212532699831
3,6,7,2,0.373542585629
3,6,7,3,0.402832733634
3,6,7,4,0.423091248794
3,6,7,5,0.446266673699
3,6,7,6,0.493839306349
3,6,7,7,0.559768931097
3,6,8,1,0.203042870076
3,6,8,2,0.360186565008
3,6,8,3,0.388372277909
3,6,8,4,0.405240718292
3,6,8,5,0.420621584411
3,6,8,6,0.443946110579
3,6,8,7,0.494698749574
3,6,8,8,0.561116608037
3,6,9,1,0.195214233854
3,6,9,2,0.349091057128
3,6,9,3,0.376801237316
3,6,9,4,0.391977433490
3,6,9,5,0.402931398040
3,6,9,6,0.417770788746
3,6,9,7,0.442494129491
3,6,9,8,0.496363316611
3,6,9,9,0.562856752519
3,6,10,1,0.188590996834
3,6,10,2,0.339575132187
3,6,10,3,0.367113529820
3,6,10,4,0.381405931104
3,6,10,5,0.389887166449
3,6,10,6,0.399482046904
3,6,10,7,0.415478942531
3,6,10,8,0.441824778680
3,6,10,9,0.498436761406
3,6,10,10,0.564654144592
3,6,11,1,0.182739636248
3,6,11,2,0.330203746742
3,6,11,3,0.359073817928
3,6,11,4,0.372403249985
3,6,11,5,0.379914726643
3,6,11,6,0.387473748037
3,6,11,7,0.398199961411
3,6,11,8,0.413990716030
3,6,11,9,0.441026324407
3,6,11,10,0.505867237155
3,6,11,11,0.575641280698
3,6,12,1,0.181848923827
3,6,12,2,0.331226397505
3,6,12,3,0.359997209001
3,6,12,4,0.375120484259
3,6,12,5,0.379145686852
3,6,12,6,0.386450318226
3,6,12,7,0.396647937787
3,6,12,8,0.413730734363
3,6,12,9,0.444341019608
3,6,12,10,0.498132548208
3,6,12,11,0.566178751450
3,6,12,12,0.576326077747
3,6,13,1,0.181848937603
3,6,13,2,0.331226410666
3,6,13,3,0.359997243408
3,6,13,4,0.375120435919
3,6,13,5,0.379145723480
3,6,13,6,0.386450387448
3,6,13,7,0.396647796120
3,6,13,8,0.413730744060
3,6,13,9,0.444340945347
3,6,13,10,0.498132507692
3,6,13,11,0.566178894435
3,6,13,12,0.576326184240
3,6,13,13,0.576326070877
3,6,14,1,0.173706102485
3,6,14,2,0.341884894508
3,6,14,3,0.333682411351
3,6,14,4,0.372516739359
3,6,14,5,0.385638892319
3,6,14,6,0.384518990413
3,6,14,7,0.434471283913
3,6,14,8,0.444407440961
3,6,14,9,0.453701501119
3,6,14,10,0.529999537465
3,6,14,11,0.608361779177
3,6,14,12,0.523957382039
3,6,14,13,0.545900866098
3,6,14,14,0.577083766311
3,7,2,1,0.311293033176
3,7,2,2,2.624379030584
3,7,3,1,2.976573601464
3,7,3,2,2.696874184206
3,7,3,3,2.630607677249
3,7,4,1,3.410000106116
3,7,4,2,2.693908240360
3,7,4,3,1.979763968533
3,7,4,4,5.630164561253
3,7,5,1,0.210504728027
3,7,5,2,0.137163652929
3,7,5,3,3.611578307900
3,7,5,4,3.023879947664
3,7,5,5,0.672642978945
3,7,6,1,3.280558772994
3,7,6,2,3.501419133143
3,7,6,3,2.728745045261
3,7,6,4,3.025724677178
3,7,6,5,0.605248822171
3,7,6,6,5.770953670824
3,7,7,1,3.273212802205
3,7,7,2,3.481033655699
3,7,7,3,2.750267945929
3,7,7,4,3.023877716517
3,7,7,5,0.559507009400
3,7,7,6,5.834124498819
3,7,7,7,5.778055132395
3,7,8,1,3.267703373426
3,7,8,2,3.466505247535
3,7,8,3,2.766470576383
3,7,8,4,3.027252698274
3,7,8,5,0.530229442640
3,7,8,6,5.877044796740
3,7,8,7,5.835300502147
3,7,8,8,5.777261462997
3,7,9,1,3.262989033219
3,7,9,2,3.454420132482
3,7,9,3,2.780023367395
3,7,9,4,3.031244283769
3,7,9,5,0.508328243012
3,7,9,6,5.900788762494
3,7,9,7,5.879929950432
3,7,9,8,5.834409808357
3,7,9,9,5.776058073673
3,7,10,1,3.258543192035
3,7,10,2,3.443812955846
3,7,10,3,2.789991140413
