k,D,p,round,beta
3,6,4,1,0.382605272853
3,6,4,2,0.305127371454
3,6,4,3,0.251282810002
3,6,4,4,0.147946669199
3,6,5,1,0.385397260648
3,6,5,2,0.312774799550
3,6,5,3,0.275431755668
3,6,5,4,0.231380938563
3,6,5,5,0.130445426533
3,6,6,1,0.386093904124
3,6,6,2,0.315431351472
3,6,6,3,0.285481920695
3,6,6,4,0.258704368064
3,6,6,5,0.215581433540
3,6,6,6,0.117100742873
3,6,7,1,0.385924895621
3,6,7,2,0.315907472908
3,6,7,3,0.289302789184
3,6,7,4,0.271876880063
3,6,7,5,0.245770032715
3,6,7,6,0.202321638675
3,6,7,7,0.106574873268
3,6,8,1,0.385272021399
3,6,8,2,0.315191493563
3,6,8,3,0.290349169064
3,6,8,4,0.277474197057
3,6,8,5,0.261698485562
3,6,8,6,0.234859725177
3,6,8,7,0.190773581004
3,6,8,8,0.097938606167
3,6,9,1,0.384374561379
3,6,9,2,0.313925428948
3,6,9,3,0.289992704862
3,6,9,4,0.279660501064
3,6,9,5,0.268940588079
3,6,9,6,0.253265670050
3,6,9,7,0.225138203496
3,6,9,8,0.180498391491
3,6,9,9,0.090667249026
3,6,10,1,0.383317793364
3,6,10,2,0.312312184679
3,6,10,3,0.288872944173
3,6,10,4,0.279964862922
3,6,10,5,0.272250569950
3,6,10,6,0.262036230469
3,6,10,7,0.245743240017
3,6,10,8,0.216296424927
3,6,10,9,0.171321408251
3,6,10,10,0.084502778301
3,6,11,1,0.381236576535
3,6,11,2,0.310200395238
3,6,11,3,0.287690050913
3,6,11,4,0.279138896292
3,6,11,5,0.273800799128
3,6,11,6,0.267543389748
3,6,11,7,0.256184682861
3,6,11,8,0.237490004751
3,6,11,9,0.207900866489
3,6,11,10,0.163747664535
3,6,11,11,0.078821517710
3,6,12,1,0.375297045472
3,6,12,2,0.312825412264
3,6,12,3,0.286894151616
3,6,12,4,0.282115503422
3,6,12,5,0.274120947318
3,6,12,6,0.267215980089
3,6,12,7,0.255714441364
3,6,12,8,0.239495020724
3,6,12,9,0.211884179282
3,6,12,10,0.173221694429
3,6,12,11,0.111446128760
3,6,12,12,0.044518584177
3,6,13,1,0.375297119962
3,6,13,2,0.312825256240
3,6,13,3,0.286894135686
3,6,13,4,0.282115514850
3,6,13,5,0.274120991165
3,6,13,6,0.267215979709
3,6,13,7,0.255714446078
3,6,13,8,0.239495069664
3,6,13,9,0.211884201494
3,6,13,10,0.173221681833
